City/Town,Leading Candidate,Charity Clark (D),Michael Tagliavia (R),Write-Ins,Blanks,OverVotes,Total Votes Cast,Charity Clark (D) Percent Votes Cast,Michael Tagliavia (R) Percent Votes Cast,OverVotes Percent
Addison,Michael Tagliavia (R),333,367,2,78,0,780,42.69%,47.05%,0.00%
Albany,Charity Clark (D),239,199,0,22,0,460,51.96%,43.26%,0.00%
Alburgh,Michael Tagliavia (R),367,380,6,62,0,815,45.03%,46.63%,0.00%
Andover,Charity Clark (D),175,132,0,26,0,333,52.55%,39.64%,0.00%
Arlington,Charity Clark (D),678,450,0,140,0,1268,53.47%,35.49%,0.00%
Athens,Charity Clark (D),93,74,0,28,0,195,47.69%,37.95%,0.00%
Bakersfield,Charity Clark (D),292,241,2,80,0,615,47.48%,39.19%,0.00%
Baltimore,Michael Tagliavia (R),54,56,0,14,0,124,43.55%,45.16%,0.00%
Barnard,Charity Clark (D),361,159,0,68,0,588,61.39%,27.04%,0.00%
Barnet,Charity Clark (D),480,368,2,106,0,956,50.21%,38.49%,0.00%
Barre City,Charity Clark (D),1610,1081,38,262,0,2991,53.83%,36.14%,0.00%
Barre Town,Michael Tagliavia (R),1751,1831,30,368,0,3980,43.99%,46.01%,0.00%
Barton,Charity Clark (D),498,388,0,102,0,988,50.40%,39.27%,0.00%
Belvidere,Michael Tagliavia (R),63,74,0,24,0,161,39.13%,45.96%,0.00%
Bennington,Charity Clark (D),3153,1897,0,0,0,5050,62.44%,37.56%,0.00%
Benson,Michael Tagliavia (R),163,269,0,40,0,472,34.53%,56.99%,0.00%
Berkshire,Michael Tagliavia (R),202,304,2,40,0,548,36.86%,55.47%,0.00%
Berlin,Charity Clark (D),697,465,14,174,0,1350,51.63%,34.44%,0.00%
Bethel,Charity Clark (D),513,299,2,118,0,932,55.04%,32.08%,0.00%
Bloomfield,Michael Tagliavia (R),40,61,0,6,0,107,37.38%,57.01%,0.00%
Bolton,Charity Clark (D),443,173,0,52,0,668,66.32%,25.90%,0.00%
Bradford,Charity Clark (D),650,483,2,130,0,1265,51.38%,38.18%,0.00%
Braintree,Charity Clark (D),335,246,0,44,0,625,53.60%,39.36%,0.00%
Brandon,Charity Clark (D),909,723,4,184,0,1820,49.95%,39.73%,0.00%
Brattleboro,Charity Clark (D),4092,795,16,0,0,4903,83.46%,16.21%,0.00%
Bridgewater,Charity Clark (D),241,167,0,48,0,456,52.85%,36.62%,0.00%
Bridport,Charity Clark (D),294,292,0,78,0,664,44.28%,43.98%,0.00%
Brighton,Michael Tagliavia (R),185,238,0,42,0,465,39.78%,51.18%,0.00%
Bristol,Charity Clark (D),1142,601,10,198,0,1951,58.53%,30.80%,0.00%
Brookfield,Charity Clark (D),418,298,2,76,0,794,52.64%,37.53%,0.00%
Brookline,Charity Clark (D),175,90,0,34,0,299,58.53%,30.10%,0.00%
Brownington,Michael Tagliavia (R),167,170,4,38,0,379,44.06%,44.85%,0.00%
Brunswick,Michael Tagliavia (R),18,31,0,12,0,61,29.51%,50.82%,0.00%
Burke,Charity Clark (D),416,302,0,94,0,812,51.23%,37.19%,0.00%
Burlington,Charity Clark (D),13583,2071,88,1960,0,17702,76.73%,11.70%,0.00%
Cabot,Charity Clark (D),419,255,36,132,0,842,49.76%,30.29%,0.00%
Calais,Charity Clark (D),675,197,14,122,0,1008,66.96%,19.54%,0.00%
Cambridge,Charity Clark (D),1134,521,8,0,0,1663,68.19%,31.33%,0.00%
Canaan,Michael Tagliavia (R),149,187,0,40,0,376,39.63%,49.73%,0.00%
Castleton,Michael Tagliavia (R),747,851,4,168,0,1770,42.20%,48.08%,0.00%
Cavendish,Charity Clark (D),370,266,6,74,0,716,51.68%,37.15%,0.00%
Charleston,Michael Tagliavia (R),189,209,0,28,0,426,44.37%,49.06%,0.00%
Charlotte,Charity Clark (D),1689,497,12,360,0,2558,66.03%,19.43%,0.00%
Chelsea,Michael Tagliavia (R),263,298,8,80,0,649,40.52%,45.92%,0.00%
Chester,Charity Clark (D),828,512,2,150,0,1492,55.50%,34.32%,0.00%
Chittenden,Charity Clark (D),327,316,6,102,0,751,43.54%,42.08%,0.00%
Clarendon,Michael Tagliavia (R),450,627,0,122,0,1199,37.53%,52.29%,0.00%
Colchester,Charity Clark (D),4477,2309,22,902,0,7710,58.07%,29.95%,0.00%
Concord,Michael Tagliavia (R),195,268,0,52,0,515,37.86%,52.04%,0.00%
Corinth,Michael Tagliavia (R),332,333,0,34,0,699,47.50%,47.64%,0.00%
Cornwall,Charity Clark (D),530,152,0,82,0,764,69.37%,19.90%,0.00%
Coventry,Michael Tagliavia (R),180,201,4,38,0,423,42.55%,47.52%,0.00%
Craftsbury,Charity Clark (D),433,174,0,100,0,707,61.24%,24.61%,0.00%
Danby,Michael Tagliavia (R),273,325,4,64,0,666,40.99%,48.80%,0.00%
Danville,Charity Clark (D),691,520,4,164,0,1379,50.11%,37.71%,0.00%
Derby,Michael Tagliavia (R),879,963,4,208,0,2054,42.79%,46.88%,0.00%
Dorset,Charity Clark (D),787,334,0,116,0,1237,63.62%,27.00%,0.00%
Dover,Charity Clark (D),430,231,8,70,0,739,58.19%,31.26%,0.00%
Dummerston,Charity Clark (D),790,234,0,126,0,1150,68.70%,20.35%,0.00%
Duxbury,Charity Clark (D),470,200,1,165,0,836,56.22%,23.92%,0.00%
East Haven,Charity Clark (D),55,43,0,18,0,116,47.41%,37.07%,0.00%
East Montpelier,Charity Clark (D),1035,353,12,154,0,1554,66.60%,22.72%,0.00%
Eden,Michael Tagliavia (R),216,217,0,56,0,489,44.17%,44.38%,0.00%
Elmore,Charity Clark (D),330,134,2,102,0,568,58.10%,23.59%,0.00%
Enosburgh,Charity Clark (D),510,505,6,124,0,1145,44.54%,44.10%,0.00%
Essex Junction,Charity Clark (D),3175,1333,24,568,0,5100,62.25%,26.14%,0.00%
Essex,Charity Clark (D),3583,1730,28,764,0,6105,58.69%,28.34%,0.00%
Fair Haven,Michael Tagliavia (R),415,524,0,98,0,1037,40.02%,50.53%,0.00%
Fairfax,Charity Clark (D),1250,1034,8,0,0,2292,54.54%,45.11%,0.00%
Fairfield,Charity Clark (D),463,388,0,94,0,945,48.99%,41.06%,0.00%
Fairlee,Charity Clark (D),330,149,0,54,0,533,61.91%,27.95%,0.00%
Fayston,Charity Clark (D),586,166,6,116,0,874,67.05%,18.99%,0.00%
Ferrisburgh,Charity Clark (D),963,554,2,168,0,1687,57.08%,32.84%,0.00%
Fletcher,Charity Clark (D),389,260,8,64,0,721,53.95%,36.06%,0.00%
Franklin,Michael Tagliavia (R),221,317,8,88,0,634,34.86%,50.00%,0.00%
Georgia,Charity Clark (D),1050,1049,8,228,0,2335,44.97%,44.93%,0.00%
Glover,Charity Clark (D),308,195,2,74,0,579,53.20%,33.68%,0.00%
Goshen,Charity Clark (D),74,37,0,8,0,119,62.18%,31.09%,0.00%
Grafton,Charity Clark (D),215,108,0,36,0,359,59.89%,30.08%,0.00%
Granby,Michael Tagliavia (R),10,20,0,6,0,36,27.78%,55.56%,0.00%
Grand Isle,Charity Clark (D),667,454,2,104,0,1227,54.36%,37.00%,0.00%
Granville,Charity Clark (D),92,36,0,14,0,142,64.79%,25.35%,0.00%
Greensboro,Charity Clark (D),301,93,2,34,0,430,70.00%,21.63%,0.00%
Groton,Michael Tagliavia (R),186,249,2,44,0,481,38.67%,51.77%,0.00%
Guildhall,Michael Tagliavia (R),66,73,2,16,0,157,42.04%,46.50%,0.00%
Guilford,Charity Clark (D),780,287,4,132,0,1203,64.84%,23.86%,0.00%
Halifax,Charity Clark (D),230,152,1,90,0,473,48.63%,32.14%,0.00%
Hancock,Charity Clark (D),94,50,0,8,0,152,61.84%,32.89%,0.00%
Hardwick,Charity Clark (D),653,418,2,98,0,1171,55.76%,35.70%,0.00%
Hartford,Charity Clark (D),3267,1308,14,502,0,5091,64.17%,25.69%,0.00%
Hartland,Charity Clark (D),1099,560,4,156,0,1819,60.42%,30.79%,0.00%
Highgate,Michael Tagliavia (R),474,732,0,90,0,1296,36.57%,56.48%,0.00%
Hinesburg,Charity Clark (D),1702,610,2,340,0,2654,64.13%,22.98%,0.00%
Holland,Michael Tagliavia (R),111,156,0,24,0,291,38.14%,53.61%,0.00%
Hubbardton,Charity Clark (D),173,149,0,28,0,350,49.43%,42.57%,0.00%
Huntington,Charity Clark (D),818,271,0,116,0,1205,67.88%,22.49%,0.00%
Hyde Park,Charity Clark (D),813,476,8,0,0,1297,62.68%,36.70%,0.00%
Ira,Michael Tagliavia (R),93,115,0,24,0,232,40.09%,49.57%,0.00%
Irasburg,Michael Tagliavia (R),183,327,2,32,0,544,33.64%,60.11%,0.00%
Isle La Motte,Charity Clark (D),154,144,0,22,0,320,48.12%,45.00%,0.00%
Jamaica,Charity Clark (D),286,117,0,42,0,445,64.27%,26.29%,0.00%
Jay,Michael Tagliavia (R),112,128,0,20,0,260,43.08%,49.23%,0.00%
Jericho,Charity Clark (D),2046,856,8,356,0,3266,62.65%,26.21%,0.00%
Johnson,Charity Clark (D),676,431,8,142,0,1257,53.78%,34.29%,0.00%
Killington,Charity Clark (D),369,240,0,88,0,697,52.94%,34.43%,0.00%
Kirby,Charity Clark (D),168,112,1,30,0,311,54.02%,36.01%,0.00%
Landgrove,Charity Clark (D),82,20,0,22,0,124,66.13%,16.13%,0.00%
Leicester,Charity Clark (D),241,189,0,48,0,478,50.42%,39.54%,0.00%
Lemington,Charity Clark (D),18,16,0,8,0,42,42.86%,38.10%,0.00%
