City/Town,Leading Candidate,Brooke Paige (R),Sarah Copeland Hanzas (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Brooke Paige (R) Percent Votes Cast,Sarah Copeland Hanzas (D) Percent Votes Cast,OverVotes Percent
Addison,Brooke Paige (R),365,328,6,88,0,787,46.38%,41.68%,0.00%
Albany,Sarah Copeland Hanzas (D),202,234,0,26,0,462,43.72%,50.65%,0.00%
Alburgh,Brooke Paige (R),406,349,6,46,0,807,50.31%,43.25%,0.00%
Andover,Sarah Copeland Hanzas (D),128,175,0,34,0,337,37.98%,51.93%,0.00%
Arlington,Sarah Copeland Hanzas (D),462,675,0,122,0,1259,36.70%,53.61%,0.00%
Athens,Sarah Copeland Hanzas (D),73,95,0,26,0,194,37.63%,48.97%,0.00%
Bakersfield,Sarah Copeland Hanzas (D),235,291,12,84,0,622,37.78%,46.78%,0.00%
Baltimore,Brooke Paige (R),60,45,0,24,0,129,46.51%,34.88%,0.00%
Barnard,Sarah Copeland Hanzas (D),150,376,2,54,0,582,25.77%,64.60%,0.00%
Barnet,Sarah Copeland Hanzas (D),356,493,2,106,0,957,37.20%,51.52%,0.00%
Barre City,Sarah Copeland Hanzas (D),1044,1669,32,224,0,2969,35.16%,56.21%,0.00%
Barre Town,Sarah Copeland Hanzas (D),1756,1826,50,348,0,3980,44.12%,45.88%,0.00%
Barton,Sarah Copeland Hanzas (D),403,497,0,74,0,974,41.38%,51.03%,0.00%
Belvidere,Brooke Paige (R),75,62,0,24,0,161,46.58%,38.51%,0.00%
Bennington,Sarah Copeland Hanzas (D),1932,3106,0,0,0,5038,38.35%,61.65%,0.00%
Benson,Brooke Paige (R),269,167,0,32,0,468,57.48%,35.68%,0.00%
Berkshire,Brooke Paige (R),295,210,10,32,0,547,53.93%,38.39%,0.00%
Berlin,Sarah Copeland Hanzas (D),444,716,38,154,0,1352,32.84%,52.96%,0.00%
Bethel,Sarah Copeland Hanzas (D),295,517,4,116,0,932,31.65%,55.47%,0.00%
Bloomfield,Brooke Paige (R),56,45,0,6,0,107,52.34%,42.06%,0.00%
Bolton,Sarah Copeland Hanzas (D),178,432,4,60,0,674,26.41%,64.09%,0.00%
Bradford,Sarah Copeland Hanzas (D),448,710,10,72,0,1240,36.13%,57.26%,0.00%
Braintree,Sarah Copeland Hanzas (D),257,330,2,30,0,619,41.52%,53.31%,0.00%
Brandon,Sarah Copeland Hanzas (D),718,896,16,208,0,1838,39.06%,48.75%,0.00%
Brattleboro,Sarah Copeland Hanzas (D),814,4091,24,0,0,4929,16.51%,83.00%,0.00%
Bridgewater,Sarah Copeland Hanzas (D),166,243,3,66,0,478,34.73%,50.84%,0.00%
Bridport,Sarah Copeland Hanzas (D),287,300,2,76,0,665,43.16%,45.11%,0.00%
Brighton,Brooke Paige (R),244,178,0,46,0,468,52.14%,38.03%,0.00%
Bristol,Sarah Copeland Hanzas (D),613,1136,6,190,0,1945,31.52%,58.41%,0.00%
Brookfield,Sarah Copeland Hanzas (D),292,424,2,76,0,794,36.78%,53.40%,0.00%
Brookline,Sarah Copeland Hanzas (D),90,177,0,30,0,297,30.30%,59.60%,0.00%
Brownington,Sarah Copeland Hanzas (D),165,170,0,46,0,381,43.31%,44.62%,0.00%
Brunswick,Sarah Copeland Hanzas (D),24,25,0,12,0,61,39.34%,40.98%,0.00%
Burke,Sarah Copeland Hanzas (D),306,415,2,84,0,807,37.92%,51.43%,0.00%
Burlington,Sarah Copeland Hanzas (D),2036,13592,94,2006,0,17728,11.48%,76.67%,0.00%
Cabot,Sarah Copeland Hanzas (D),249,448,10,112,0,819,30.40%,54.70%,0.00%
Calais,Sarah Copeland Hanzas (D),198,676,14,120,0,1008,19.64%,67.06%,0.00%
Cambridge,Sarah Copeland Hanzas (D),550,1105,8,0,0,1663,33.07%,66.45%,0.00%
Canaan,Brooke Paige (R),191,144,2,38,0,375,50.93%,38.40%,0.00%
Castleton,Brooke Paige (R),870,735,0,156,0,1761,49.40%,41.74%,0.00%
Cavendish,Sarah Copeland Hanzas (D),277,366,4,62,0,709,39.07%,51.62%,0.00%
Charleston,Brooke Paige (R),214,182,0,32,0,428,50.00%,42.52%,0.00%
Charlotte,Sarah Copeland Hanzas (D),495,1682,10,378,0,2565,19.30%,65.58%,0.00%
Chelsea,Sarah Copeland Hanzas (D),270,291,8,80,0,649,41.60%,44.84%,0.00%
Chester,Sarah Copeland Hanzas (D),531,805,6,154,0,1496,35.49%,53.81%,0.00%
Chittenden,Sarah Copeland Hanzas (D),310,342,0,90,0,742,41.78%,46.09%,0.00%
Clarendon,Brooke Paige (R),627,456,8,102,0,1193,52.56%,38.22%,0.00%
Colchester,Sarah Copeland Hanzas (D),2354,4410,44,926,0,7734,30.44%,57.02%,0.00%
Concord,Brooke Paige (R),271,194,0,48,0,513,52.83%,37.82%,0.00%
Corinth,Sarah Copeland Hanzas (D),276,391,2,39,0,708,38.98%,55.23%,0.00%
Cornwall,Sarah Copeland Hanzas (D),148,538,0,74,0,760,19.47%,70.79%,0.00%
Coventry,Brooke Paige (R),211,171,0,40,0,422,50.00%,40.52%,0.00%
Craftsbury,Sarah Copeland Hanzas (D),176,433,1,144,0,754,23.34%,57.43%,0.00%
Danby,Brooke Paige (R),334,261,8,66,0,669,49.93%,39.01%,0.00%
Danville,Sarah Copeland Hanzas (D),502,709,8,158,0,1377,36.46%,51.49%,0.00%
Derby,Brooke Paige (R),1020,831,8,188,0,2047,49.83%,40.60%,0.00%
Dorset,Sarah Copeland Hanzas (D),360,750,1,207,0,1318,27.31%,56.90%,0.00%
Dover,Sarah Copeland Hanzas (D),234,435,4,58,0,731,32.01%,59.51%,0.00%
Dummerston,Sarah Copeland Hanzas (D),238,792,4,110,0,1144,20.80%,69.23%,0.00%
Duxbury,Sarah Copeland Hanzas (D),199,478,5,176,0,858,23.19%,55.71%,0.00%
East Haven,Sarah Copeland Hanzas (D),35,65,0,14,0,114,30.70%,57.02%,0.00%
East Montpelier,Sarah Copeland Hanzas (D),354,1034,20,146,0,1554,22.78%,66.54%,0.00%
Eden,Brooke Paige (R),230,204,0,54,0,488,47.13%,41.80%,0.00%
Elmore,Sarah Copeland Hanzas (D),145,324,2,92,0,563,25.75%,57.55%,0.00%
Enosburgh,Brooke Paige (R),555,470,2,108,0,1135,48.90%,41.41%,0.00%
Essex Junction,Sarah Copeland Hanzas (D),1305,3189,14,608,0,5116,25.51%,62.33%,0.00%
Essex,Sarah Copeland Hanzas (D),1705,3582,52,792,0,6131,27.81%,58.42%,0.00%
Fair Haven,Brooke Paige (R),511,427,6,94,0,1038,49.23%,41.14%,0.00%
Fairfax,Sarah Copeland Hanzas (D),1023,1247,18,0,0,2288,44.71%,54.50%,0.00%
Fairfield,Sarah Copeland Hanzas (D),395,456,10,86,0,947,41.71%,48.15%,0.00%
Fairlee,Sarah Copeland Hanzas (D),135,360,2,20,0,517,26.11%,69.63%,0.00%
Fayston,Sarah Copeland Hanzas (D),181,569,8,118,0,876,20.66%,64.95%,0.00%
Ferrisburgh,Sarah Copeland Hanzas (D),570,943,4,174,0,1691,33.71%,55.77%,0.00%
Fletcher,Sarah Copeland Hanzas (D),245,395,12,78,0,730,33.56%,54.11%,0.00%
Franklin,Brooke Paige (R),306,234,6,86,0,632,48.42%,37.03%,0.00%
