Race,County,District,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL,ADDISON,ADDISON 1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 4,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 4,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 4,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 5,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 5,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON 5,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON-RUTLAND,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON-RUTLAND,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON-RUTLAND,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ORANGE-WASHINGTON-ADDISON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ORANGE-WASHINGTON-ADDISON,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ORANGE-WASHINGTON-ADDISON,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 2-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 2-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 2-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 2-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 2-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 2-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 4,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 4,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON 4,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON-RUTLAND,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON-RUTLAND,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,BENNINGTON-RUTLAND,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,RUTLAND-BENNINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,RUTLAND-BENNINGTON,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,RUTLAND-BENNINGTON,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,WINDHAM-BENNINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,WINDHAM-BENNINGTON,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,WINDHAM-BENNINGTON,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,WINDHAM-BENNINGTON-WINDSOR,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,WINDHAM-BENNINGTON-WINDSOR,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,WINDHAM-BENNINGTON-WINDSOR,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-4,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-4,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-4,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-WASHINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-WASHINGTON,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-WASHINGTON,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA-ORLEANS,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA-ORLEANS,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA-ORLEANS,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORANGE-CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORANGE-CALEDONIA,CRIS ERICSON,Prog,0%,0,0,275,false
