Race,County,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL,ADDISON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,BENNINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,GRAND ISLE,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ORANGE,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ORLEANS,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,RUTLAND,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,WASHINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,WINDHAM,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,WINDSOR,T.J. DONOVAN,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ADDISON,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,BENNINGTON,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,CALEDONIA,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,CHITTENDEN,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ESSEX,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,FRANKLIN,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,GRAND ISLE,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,LAMOILLE,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ORANGE,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,ORLEANS,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,RUTLAND,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,WASHINGTON,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,WINDHAM,DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS,WINDSOR,DOUG HOFFER,Dem,0%,0,0,275,false
GOVERNOR,ADDISON,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,BENNINGTON,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,CALEDONIA,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,CHITTENDEN,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,ESSEX,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,FRANKLIN,WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR,GRAND ISLE,WAYNE BILLADO III,Other,0%,0,0,275,false
