Race,County,Town,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL,ADDISON,ADDISON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ADDISON,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,BRIDPORT,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,BRIDPORT,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,BRIDPORT,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,BRISTOL,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,BRISTOL,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,BRISTOL,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,CORNWALL,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,CORNWALL,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,CORNWALL,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,FERRISBURGH,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,FERRISBURGH,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,FERRISBURGH,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,GOSHEN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,GOSHEN,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,GOSHEN,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,GRANVILLE,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,GRANVILLE,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,GRANVILLE,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,HANCOCK,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,HANCOCK,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,HANCOCK,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,LEICESTER,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,LEICESTER,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,LEICESTER,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,LINCOLN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,LINCOLN,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,LINCOLN,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,MIDDLEBURY,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,MIDDLEBURY,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,MIDDLEBURY,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,MONKTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,MONKTON,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,MONKTON,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,NEW HAVEN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,NEW HAVEN,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,NEW HAVEN,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ADDISON,ORWELL,T.J. DONOVAN,Dem,0%,0,0,275,false
