Race,Office District,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL," ",T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL," ",CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL," ",H. BROOKE PAIGE,GOP,0%,0,0,275,false
AUDITOR OF ACCOUNTS," ",DOUG HOFFER,Dem,0%,0,0,275,false
AUDITOR OF ACCOUNTS," ",CRIS ERICSON,Prog,0%,0,0,275,false
GOVERNOR," ",WAYNE BILLADO III,Other,0%,0,0,275,false
GOVERNOR," ",MICHAEL A. DEVOST,Other,0%,0,0,275,false
GOVERNOR," ",CHARLY DICKERSON,UNAFFILIATED,0%,0,0,275,false
GOVERNOR," ",KEVIN HOYT,Other,0%,0,0,275,false
GOVERNOR," ",ERYNN HAZLETT WHITNEY,Other,0%,0,0,275,false
GOVERNOR," ",DAVID ZUCKERMAN,Prog,0%,0,0,275,false
GOVERNOR," ",PHIL SCOTT,GOP,0%,0,0,275,false
GOVERNOR," ",EMILY PEYTON,TRUTH MATTERS,0%,0,0,275,false
LIEUTENANT GOVERNOR," ",WAYNE BILLADO III,Other,0%,0,0,275,false
LIEUTENANT GOVERNOR," ",RALPH CORBO,BANISH THE F35S,0%,0,0,275,false
LIEUTENANT GOVERNOR," ",MOLLY GRAY,Dem,0%,0,0,275,false
LIEUTENANT GOVERNOR," ",CRIS ERICSON,Prog,0%,0,0,275,false
LIEUTENANT GOVERNOR," ",SCOTT MILNE,GOP,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS," ",PETER R. BECKER,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS," ",CHRISTOPHER HELALI,COMMUNIST ,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS," ",MARCIA HORNE,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS," ",SHAWN ORR,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS," ",JERRY TRUDELL,Other,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS," ",PETER WELCH,Dem,0%,0,0,275,false
REPRESENTATIVE TO CONGRESS," ",MIRIAM BERRY,GOP,0%,0,0,275,false
SECRETARY OF STATE," ",PAMALA SMITH,Other,0%,0,0,275,false
SECRETARY OF STATE," ",JIM CONDOS,Dem,0%,0,0,275,false
SECRETARY OF STATE," ",CRIS ERICSON,Prog,0%,0,0,275,false
SECRETARY OF STATE," ",H. BROOKE PAIGE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 1 REP,AMY SHELDON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 1 REP,ROBIN SCHEU,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 1 REP,THOMAS A. HUGHES,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 2 REP,PETER CONLON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 3 REP,DIANE LANPHER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 3 REP,MATT BIRONG,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 3 REP,TIM BUSKEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 3 REP,STEVE THURSTON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 4 REP,MARI CORDES,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 4 REP,CALEB ELDER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 4 REP,VALERIE MULLIN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 4 REP,LYNN DIKE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 5 REP,JUBILEE MCGILL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON 5 REP,HARVEY T. SMITH,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,"RICHARD ""SENSEI"" LENCHUS",Other,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,TERRY NORRIS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,RUTH SHATTUCK BERNSTEIN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 1 REP,NELSON BROWNELL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,TIMOTHY R. CORCORAN II,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,DANE WHITMAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,COLLEEN HARRINGTON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,PETER J. BRADY SR,Other,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,JIM CARROLL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,MICHAEL NIGRO,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,MARY A. MORRISSEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 3 REP,DAVID K. DURFEE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 3 REP,VICTOR K. HARWOOD JR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 4 REP,CYNTHIA BROWNING,Other,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 4 REP,KATHLEEN JAMES,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON 4 REP,SETH BONGARTZ,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,LINDA JOY SULLIVAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-1 REP,DYLAN STETSON,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-1 REP,MARCIA ROBINSON MARTEL,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-2 REP,CHIP TROIANO,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-2 REP,JAMES CLARK,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-3 REP,SCOTT BECK,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-3 REP,FRANK EMPSALL,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-3 REP,SCOTT CAMPBELL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-3 REP,BRICE C. SIMON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-4 REP,DENNIS R. LABOUNTY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-4 REP,DAVID HAMMOND,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-4 REP,"MARTHA ""MARTY"" FELTUS",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-4 REP,PATRICK SEYMOUR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,HENRY PEARL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,BRUCE A. MELENDY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 10 REP,EMILY HECKER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 10 REP,EMBER QUINN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 10 REP,CHRIS MATTOS,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 10 REP,JOHN PALASIK,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 10 REP,TODD BUIK,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 4-1 REP,"MICHAEL ""MIKE"" YANTACHKA",Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 4-2 REP,BILL LIPPERT,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 4-2 REP,SARAH TOSCANO,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 5-1 REP,KATE WEBB,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 5-2 REP,JESSICA BRUMSTED,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-1 REP,CAROL ODE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-1 REP,ROBERT HOOPER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-2 REP,EMMA MULVANEY-STANAK,Prog,0%,0,0,275,false
