City/Town,Leading Candidate,Brian W. Peat (D),Mary C. Frost (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Brian W. Peat (D) Percent Votes Cast,Mary C. Frost (D) Percent Votes Cast,Overvotes Percent
Arlington,Mary C. Frost (D),6,11,5,8,10,40,15.00%,27.50%,25.00%
Bennington,Brian W. Peat (D),127,60,5,9,9,210,60.48%,28.57%,4.29%
Dorset,Brian W. Peat (D),67,60,7,4,3,141,47.52%,42.55%,2.13%
Landgrove,Mary C. Frost (D),26,92,8,8,8,142,18.31%,64.79%,5.63%
Manchester,Mary C. Frost (D),41,95,3,2,4,145,28.28%,65.52%,2.76%
Peru,Mary C. Frost (D),15,40,3,10,4,72,20.83%,55.56%,5.56%
Pownal,Brian W. Peat (D),159,105,8,10,8,290,54.83%,36.21%,2.76%
Readsboro,Brian W. Peat (D),107,26,3,6,10,152,70.39%,17.11%,6.58%
Rupert,Mary C. Frost (D),64,70,6,5,5,150,42.67%,46.67%,3.33%
Sandgate,Brian W. Peat (D),102,74,10,7,7,200,51.00%,37.00%,3.50%
Searsburg,Mary C. Frost (D),38,57,6,8,7,116,32.76%,49.14%,6.03%
Shaftsbury,Mary C. Frost (D),63,87,7,9,4,170,37.06%,51.18%,2.35%
Stamford,Brian W. Peat (D),82,46,5,8,6,147,55.78%,31.29%,4.08%
Sunderland,Brian W. Peat (D),141,90,10,8,8,257,54.86%,35.02%,3.11%
Winhall,Mary C. Frost (D),38,57,8,8,5,116,32.76%,49.14%,4.31%
Woodford,Brian W. Peat (D),84,28,3,9,6,130,64.62%,21.54%,4.62%
