City/Town,Leading Candidates,Anne Nichols Williams (D),Connie Cain Ramsey (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Anne Nichols Williams (D) Percent Votes Cast,Connie Cain Ramsey (D) Percent Votes Cast,Overvotes Percent
Bolton,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",103,66,4,9,9,191,53.93%,34.55%,4.71%
Burlington,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",263,275,10,9,7,564,46.63%,48.76%,1.24%
Charlotte,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",67,47,7,6,1,128,52.34%,36.72%,0.78%
Colchester,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",114,114,5,7,9,249,45.78%,45.78%,3.61%
Essex Junction,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",83,96,8,9,8,204,40.69%,47.06%,3.92%
Essex,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",71,98,7,10,10,196,36.22%,50.00%,5.10%
Hinesburg,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",21,50,9,8,8,96,21.88%,52.08%,8.33%
Huntington,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",85,55,9,8,3,160,53.12%,34.38%,1.88%
Jericho,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",22,66,2,10,10,110,20.00%,60.00%,9.09%
Milton,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",137,113,9,10,9,278,49.28%,40.65%,3.24%
Richmond,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",15,26,3,5,8,57,26.32%,45.61%,14.04%
Saint George,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",41,38,9,10,3,101,40.59%,37.62%,2.97%
Shelburne,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",85,77,10,5,10,187,45.45%,41.18%,5.35%
South Burlington,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",328,230,9,9,8,584,56.16%,39.38%,1.37%
Underhill,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",25,51,8,9,10,103,24.27%,49.51%,9.71%
Westford,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",72,33,6,6,7,124,58.06%,26.61%,5.65%
Williston,"Anne Nichols Williams (D), Connie Cain Ramsey (D)",155,107,10,8,3,283,54.77%,37.81%,1.06%
Winooski,"Connie Cain Ramsey (D), Anne Nichols Williams (D)",50,107,3,7,10,177,28.25%,60.45%,5.65%
