City/Town,Leading Candidates,Evan Hammond (R),Kenn Stransky (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Evan Hammond (R) Percent Votes Cast,Kenn Stransky (R) Percent Votes Cast,Overvotes Percent
Bloomfield,"Kenn Stransky (R), Evan Hammond (R)",9,10,5,5,8,37,24.32%,27.03%,21.62%
Brighton,"Evan Hammond (R), Kenn Stransky (R)",52,32,7,10,8,109,47.71%,29.36%,7.34%
Brunswick,"Kenn Stransky (R), Evan Hammond (R)",10,50,7,2,8,77,12.99%,64.94%,10.39%
Canaan,"Evan Hammond (R), Kenn Stransky (R)",70,9,7,1,3,90,77.78%,10.00%,3.33%
Concord,"Evan Hammond (R), Kenn Stransky (R)",84,3,9,7,8,111,75.68%,2.70%,7.21%
East Haven,"Evan Hammond (R), Kenn Stransky (R)",20,17,7,2,10,56,35.71%,30.36%,17.86%
Granby,"Evan Hammond (R), Kenn Stransky (R)",37,4,10,10,1,62,59.68%,6.45%,1.61%
Guildhall,"Evan Hammond (R), Kenn Stransky (R)",81,54,10,5,9,159,50.94%,33.96%,5.66%
Lemington,"Evan Hammond (R), Kenn Stransky (R)",89,49,5,8,7,158,56.33%,31.01%,4.43%
Lunenburg,"Kenn Stransky (R), Evan Hammond (R)",5,80,2,6,9,102,4.90%,78.43%,8.82%
Maidstone,"Evan Hammond (R), Kenn Stransky (R)",109,17,2,8,7,143,76.22%,11.89%,4.90%
Norton,"Evan Hammond (R), Kenn Stransky (R)",41,6,9,10,2,68,60.29%,8.82%,2.94%
Victory,"Evan Hammond (R), Kenn Stransky (R)",77,51,8,9,10,155,49.68%,32.90%,6.45%
