City/Town,Leading Candidates,David Abell McWilliams (D),Kelly Fitzgerald Gosselin (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,David Abell McWilliams (D) Percent Votes Cast,Kelly Fitzgerald Gosselin (D) Percent Votes Cast,Overvotes Percent
Bakersfield,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",8,62,5,8,9,92,8.70%,67.39%,9.78%
Berkshire,"David Abell McWilliams (D), Kelly Fitzgerald Gosselin (D)",62,61,6,3,4,136,45.59%,44.85%,2.94%
Enosburgh,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",59,87,2,10,1,159,37.11%,54.72%,0.63%
Fairfax,"David Abell McWilliams (D), Kelly Fitzgerald Gosselin (D)",101,80,7,6,7,201,50.25%,39.80%,3.48%
Fairfield,"David Abell McWilliams (D), Kelly Fitzgerald Gosselin (D)",63,41,9,0,6,119,52.94%,34.45%,5.04%
Fletcher,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",80,87,6,10,7,190,42.11%,45.79%,3.68%
Franklin,"David Abell McWilliams (D), Kelly Fitzgerald Gosselin (D)",66,46,2,2,10,126,52.38%,36.51%,7.94%
Georgia,"David Abell McWilliams (D), Kelly Fitzgerald Gosselin (D)",135,67,8,8,6,224,60.27%,29.91%,2.68%
Highgate,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",3,21,4,4,7,39,7.69%,53.85%,17.95%
Montgomery,"David Abell McWilliams (D), Kelly Fitzgerald Gosselin (D)",38,18,10,3,7,76,50.00%,23.68%,9.21%
Richford,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",52,68,4,8,6,138,37.68%,49.28%,4.35%
Saint Albans City,"David Abell McWilliams (D), Kelly Fitzgerald Gosselin (D)",193,68,8,5,7,281,68.68%,24.20%,2.49%
Saint Albans Town,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",57,62,8,1,8,136,41.91%,45.59%,5.88%
Sheldon,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",60,75,5,2,1,143,41.96%,52.45%,0.70%
Swanton,"Kelly Fitzgerald Gosselin (D), David Abell McWilliams (D)",21,24,10,6,4,65,32.31%,36.92%,6.15%
