City/Town,Leading Candidates,Jay H. Sweeny (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Jay H. Sweeny (R) Percent Votes Cast,Overvotes Percent
Bakersfield,Jay H. Sweeny (R),2,3,4,3,12,16.67%,25.00%
Berkshire,Jay H. Sweeny (R),94,1,9,9,113,83.19%,7.96%
Enosburgh,Jay H. Sweeny (R),19,7,7,1,34,55.88%,2.94%
Fairfax,Jay H. Sweeny (R),57,2,5,7,71,80.28%,9.86%
Fairfield,Jay H. Sweeny (R),93,8,3,7,111,83.78%,6.31%
Fletcher,Jay H. Sweeny (R),10,7,8,2,27,37.04%,7.41%
Franklin,Jay H. Sweeny (R),11,1,2,0,14,78.57%,0.00%
Georgia,Jay H. Sweeny (R),118,8,10,9,145,81.38%,6.21%
Highgate,Jay H. Sweeny (R),53,8,7,3,71,74.65%,4.23%
Montgomery,Jay H. Sweeny (R),9,4,9,3,25,36.00%,12.00%
Richford,Jay H. Sweeny (R),41,5,6,10,62,66.13%,16.13%
Saint Albans City,Jay H. Sweeny (R),157,4,8,4,173,90.75%,2.31%
Saint Albans Town,Jay H. Sweeny (R),116,6,5,9,136,85.29%,6.62%
Sheldon,Jay H. Sweeny (R),7,10,7,8,32,21.88%,25.00%
Swanton,Jay H. Sweeny (R),19,3,2,3,27,70.37%,11.11%
