City/Town,Leading Candidates,David Yacovone (D),MADELINE M.,Write-Ins,Blanks,Overvotes,Total Votes Cast,David Yacovone (D) Percent Votes Cast,MADELINE M. Percent Votes Cast,Overvotes Percent
Belvidere,"MADELINE M., David Yacovone (D)",39,88,6,4,6,143,27.27%,61.54%,4.20%
Cambridge,"David Yacovone (D), MADELINE M.",79,12,3,6,7,107,73.83%,11.21%,6.54%
Eden,"MADELINE M., David Yacovone (D)",53,90,9,7,1,160,33.12%,56.25%,0.62%
Elmore,"MADELINE M., David Yacovone (D)",61,84,6,8,5,164,37.20%,51.22%,3.05%
Hyde Park,"David Yacovone (D), MADELINE M.",87,70,8,3,7,175,49.71%,40.00%,4.00%
Johnson,"MADELINE M., David Yacovone (D)",3,100,3,10,7,123,2.44%,81.30%,5.69%
Morristown,"MADELINE M., David Yacovone (D)",13,75,8,4,9,109,11.93%,68.81%,8.26%
Stowe,"MADELINE M., David Yacovone (D)",89,172,8,8,9,286,31.12%,60.14%,3.15%
Waterville,"David Yacovone (D), MADELINE M.",89,23,10,3,8,133,66.92%,17.29%,6.02%
Wolcott,"David Yacovone (D), MADELINE M.",19,8,5,8,8,48,39.58%,16.67%,16.67%
