City/Town,Leading Candidates,Joyce E. McKeeman (D),Laurel Mackin (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Joyce E. McKeeman (D) Percent Votes Cast,Laurel Mackin (D) Percent Votes Cast,Overvotes Percent
Bradford,"Laurel Mackin (D), Joyce E. McKeeman (D)",51,54,10,10,9,134,38.06%,40.30%,6.72%
Braintree,"Joyce E. McKeeman (D), Laurel Mackin (D)",44,10,9,9,9,81,54.32%,12.35%,11.11%
Brookfield,"Laurel Mackin (D), Joyce E. McKeeman (D)",10,54,9,8,5,86,11.63%,62.79%,5.81%
Chelsea,"Joyce E. McKeeman (D), Laurel Mackin (D)",108,61,6,5,3,183,59.02%,33.33%,1.64%
Corinth,"Laurel Mackin (D), Joyce E. McKeeman (D)",2,3,5,9,3,22,9.09%,13.64%,13.64%
Fairlee,"Joyce E. McKeeman (D), Laurel Mackin (D)",86,5,8,4,8,111,77.48%,4.50%,7.21%
Newbury,"Joyce E. McKeeman (D), Laurel Mackin (D)",29,14,0,6,2,51,56.86%,27.45%,3.92%
Orange,"Laurel Mackin (D), Joyce E. McKeeman (D)",19,84,10,8,10,131,14.50%,64.12%,7.63%
Randolph,"Joyce E. McKeeman (D), Laurel Mackin (D)",53,5,8,8,9,83,63.86%,6.02%,10.84%
Strafford,"Joyce E. McKeeman (D), Laurel Mackin (D)",69,51,3,7,8,138,50.00%,36.96%,5.80%
Thetford,"Laurel Mackin (D), Joyce E. McKeeman (D)",10,79,7,5,6,107,9.35%,73.83%,5.61%
Topsham,"Laurel Mackin (D), Joyce E. McKeeman (D)",44,87,8,1,7,147,29.93%,59.18%,4.76%
Tunbridge,"Joyce E. McKeeman (D), Laurel Mackin (D)",16,9,10,3,8,46,34.78%,19.57%,17.39%
Vershire,"Laurel Mackin (D), Joyce E. McKeeman (D)",42,69,9,10,8,138,30.43%,50.00%,5.80%
Washington,"Laurel Mackin (D), Joyce E. McKeeman (D)",21,46,9,9,8,93,22.58%,49.46%,8.60%
West Fairlee,"Joyce E. McKeeman (D), Laurel Mackin (D)",95,10,7,6,10,128,74.22%,7.81%,7.81%
Williamstown,"Laurel Mackin (D), Joyce E. McKeeman (D)",95,113,7,9,6,230,41.30%,49.13%,2.61%
