City/Town,Leading Candidates,Curtis A. Hardy (R),Sean Selby (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Curtis A. Hardy (R) Percent Votes Cast,Sean Selby (R) Percent Votes Cast,Overvotes Percent
Albany,"Curtis A. Hardy (R), Sean Selby (R)",83,8,5,7,7,110,75.45%,7.27%,6.36%
Barton,"Sean Selby (R), Curtis A. Hardy (R)",25,30,6,1,8,70,35.71%,42.86%,11.43%
Brownington,"Curtis A. Hardy (R), Sean Selby (R)",68,4,10,8,2,92,73.91%,4.35%,2.17%
Charleston,"Sean Selby (R), Curtis A. Hardy (R)",32,103,2,10,5,152,21.05%,67.76%,3.29%
Coventry,"Curtis A. Hardy (R), Sean Selby (R)",73,58,8,7,7,153,47.71%,37.91%,4.58%
Craftsbury,"Curtis A. Hardy (R), Sean Selby (R)",88,18,4,8,8,126,69.84%,14.29%,6.35%
Derby,"Curtis A. Hardy (R), Sean Selby (R)",47,21,5,6,10,89,52.81%,23.60%,11.24%
Glover,"Sean Selby (R), Curtis A. Hardy (R)",46,100,8,4,8,166,27.71%,60.24%,4.82%
Greensboro,"Curtis A. Hardy (R), Sean Selby (R)",76,72,3,6,6,163,46.63%,44.17%,3.68%
Holland,"Sean Selby (R), Curtis A. Hardy (R)",43,57,5,8,1,114,37.72%,50.00%,0.88%
Irasburg,"Curtis A. Hardy (R), Sean Selby (R)",73,18,4,10,7,112,65.18%,16.07%,6.25%
Jay,"Curtis A. Hardy (R), Sean Selby (R)",20,2,0,2,9,33,60.61%,6.06%,27.27%
Lowell,"Sean Selby (R), Curtis A. Hardy (R)",10,82,6,5,4,107,9.35%,76.64%,3.74%
Morgan,"Sean Selby (R), Curtis A. Hardy (R)",33,81,8,10,10,142,23.24%,57.04%,7.04%
Newport City,"Curtis A. Hardy (R), Sean Selby (R)",59,52,1,6,7,125,47.20%,41.60%,5.60%
Newport Town,"Curtis A. Hardy (R), Sean Selby (R)",86,81,6,8,7,188,45.74%,43.09%,3.72%
Troy,"Sean Selby (R), Curtis A. Hardy (R)",53,76,6,8,9,152,34.87%,50.00%,5.92%
Westfield,"Curtis A. Hardy (R), Sean Selby (R)",88,56,6,8,6,164,53.66%,34.15%,3.66%
Westmore,"Sean Selby (R), Curtis A. Hardy (R)",11,102,9,4,10,136,8.09%,75.00%,7.35%
