City/Town,Leading Candidates,Kevin E. Geno (R),Stephen P. Benard Sr (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Kevin E. Geno (R) Percent Votes Cast,Stephen P. Benard Sr (R) Percent Votes Cast,Overvotes Percent
Benson,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",52,9,7,4,10,82,63.41%,10.98%,12.20%
Brandon,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",48,46,8,2,5,109,44.04%,42.20%,4.59%
Castleton,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",88,71,4,6,3,172,51.16%,41.28%,1.74%
Chittenden,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",90,73,7,6,10,186,48.39%,39.25%,5.38%
Clarendon,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",20,21,6,8,1,56,35.71%,37.50%,1.79%
Danby,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",7,93,5,5,8,118,5.93%,78.81%,6.78%
Fair Haven,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",44,76,7,8,8,143,30.77%,53.15%,5.59%
Hubbardton,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",73,91,7,10,10,191,38.22%,47.64%,5.24%
Ira,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",96,12,8,5,9,130,73.85%,9.23%,6.92%
Killington,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",39,21,2,6,8,76,51.32%,27.63%,10.53%
Mendon,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",16,69,9,4,5,103,15.53%,66.99%,4.85%
Middletown Springs,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",60,69,9,7,6,151,39.74%,45.70%,3.97%
Mount Holly,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",7,1,6,7,10,31,22.58%,3.23%,32.26%
Mount Tabor,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",56,80,5,9,10,160,35.00%,50.00%,6.25%
Pawlet,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",71,3,5,4,10,93,76.34%,3.23%,10.75%
Pittsfield,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",56,2,7,7,7,79,70.89%,2.53%,8.86%
Pittsford,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",95,58,8,3,7,171,55.56%,33.92%,4.09%
Poultney,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",12,9,10,1,8,40,30.00%,22.50%,20.00%
Proctor,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",30,19,5,7,5,66,45.45%,28.79%,7.58%
Rutland City,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",225,240,8,10,9,492,45.73%,48.78%,1.83%
Rutland Town,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",56,126,8,9,8,207,27.05%,60.87%,3.86%
Shrewsbury,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",50,7,5,8,8,78,64.10%,8.97%,10.26%
Sudbury,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",108,73,10,2,7,200,54.00%,36.50%,3.50%
Tinmouth,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",47,103,8,7,10,175,26.86%,58.86%,5.71%
Wallingford,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",82,37,7,3,7,136,60.29%,27.21%,5.15%
Wells,"Kevin E. Geno (R), Stephen P. Benard Sr (R)",163,141,8,10,6,328,49.70%,42.99%,1.83%
West Haven,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",5,59,4,7,10,85,5.88%,69.41%,11.76%
West Rutland,"Stephen P. Benard Sr (R), Kevin E. Geno (R)",24,78,10,3,9,124,19.35%,62.90%,7.26%
