City/Town,Leading Candidates,Anne Dielensnyder (D),Caleb Curry (D),Leah Murphy Jones (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Anne Dielensnyder (D) Percent Votes Cast,Caleb Curry (D) Percent Votes Cast,Leah Murphy Jones (D) Percent Votes Cast,Overvotes Percent
Barre City,"Leah Murphy Jones (D), Caleb Curry (D)",8,82,82,9,8,9,198,4.04%,41.41%,41.41%,4.55%
Barre Town,"Leah Murphy Jones (D), Caleb Curry (D)",13,28,68,8,6,7,130,10.00%,21.54%,52.31%,5.38%
Berlin,"Caleb Curry (D), Leah Murphy Jones (D)",1,21,5,10,7,9,53,1.89%,39.62%,9.43%,16.98%
Cabot,"Caleb Curry (D), Anne Dielensnyder (D)",54,80,29,5,8,7,183,29.51%,43.72%,15.85%,3.83%
Calais,"Caleb Curry (D), Anne Dielensnyder (D)",50,57,39,8,7,8,169,29.59%,33.73%,23.08%,4.73%
Duxbury,"Leah Murphy Jones (D), Anne Dielensnyder (D)",40,33,72,9,8,10,172,23.26%,19.19%,41.86%,5.81%
East Montpelier,"Anne Dielensnyder (D), Caleb Curry (D)",57,31,11,5,10,8,122,46.72%,25.41%,9.02%,6.56%
Fayston,"Caleb Curry (D), Anne Dielensnyder (D)",31,99,1,8,6,7,152,20.39%,65.13%,0.66%,4.61%
Marshfield,"Anne Dielensnyder (D), Caleb Curry (D)",107,92,24,7,6,9,245,43.67%,37.55%,9.80%,3.67%
Middlesex,"Caleb Curry (D), Anne Dielensnyder (D)",57,71,38,4,7,8,185,30.81%,38.38%,20.54%,4.32%
Montpelier,"Anne Dielensnyder (D), Leah Murphy Jones (D)",57,20,44,7,8,9,145,39.31%,13.79%,30.34%,6.21%
Moretown,"Caleb Curry (D), Leah Murphy Jones (D)",48,81,59,6,7,9,210,22.86%,38.57%,28.10%,4.29%
Northfield,"Leah Murphy Jones (D), Anne Dielensnyder (D)",54,40,67,9,8,10,188,28.72%,21.28%,35.64%,5.32%
Plainfield,"Leah Murphy Jones (D), Anne Dielensnyder (D)",48,32,66,5,10,8,169,28.40%,18.93%,39.05%,4.73%
Roxbury,"Anne Dielensnyder (D), Caleb Curry (D)",52,20,10,8,5,7,102,50.98%,19.61%,9.80%,6.86%
Waitsfield,"Anne Dielensnyder (D), Caleb Curry (D)",61,36,30,10,6,8,151,40.40%,23.84%,19.87%,5.30%
Warren,"Leah Murphy Jones (D), Caleb Curry (D)",6,10,28,8,10,5,67,8.96%,14.93%,41.79%,7.46%
Waterbury,"Caleb Curry (D), Leah Murphy Jones (D)",17,52,50,2,4,7,132,12.88%,39.39%,37.88%,5.30%
Woodbury,"Anne Dielensnyder (D), Leah Murphy Jones (D)",71,1,64,7,6,8,157,45.22%,0.64%,40.76%,5.10%
Worcester,"Anne Dielensnyder (D), Caleb Curry (D)",43,21,3,6,8,9,90,47.78%,23.33%,3.33%,10.00%
