City/Town,Leading Candidates,Ture Nelson (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Ture Nelson (R) Percent Votes Cast,Overvotes Percent
Barre City,Ture Nelson (R),41,4,3,4,52,78.85%,7.69%
Barre Town,Ture Nelson (R),16,6,1,1,24,66.67%,4.17%
Berlin,Ture Nelson (R),30,7,6,10,53,56.60%,18.87%
Cabot,Ture Nelson (R),5,4,5,3,17,29.41%,17.65%
Calais,Ture Nelson (R),35,2,1,1,39,89.74%,2.56%
Duxbury,Ture Nelson (R),13,9,6,1,29,44.83%,3.45%
East Montpelier,Ture Nelson (R),96,7,0,9,112,85.71%,8.04%
Fayston,Ture Nelson (R),77,2,9,9,97,79.38%,9.28%
Marshfield,Ture Nelson (R),40,8,9,1,58,68.97%,1.72%
Middlesex,Ture Nelson (R),26,2,1,1,30,86.67%,3.33%
Montpelier,Ture Nelson (R),102,2,3,5,112,91.07%,4.46%
Moretown,Ture Nelson (R),32,3,6,2,43,74.42%,4.65%
Northfield,Ture Nelson (R),73,7,1,2,83,87.95%,2.41%
Plainfield,Ture Nelson (R),34,6,3,7,50,68.00%,14.00%
Roxbury,Ture Nelson (R),7,4,2,8,21,33.33%,38.10%
Waitsfield,Ture Nelson (R),100,8,10,3,121,82.64%,2.48%
Warren,Ture Nelson (R),38,5,4,5,52,73.08%,9.62%
Waterbury,Ture Nelson (R),98,4,1,1,104,94.23%,0.96%
Woodbury,Ture Nelson (R),71,5,6,8,90,78.89%,8.89%
Worcester,Ture Nelson (R),64,3,5,1,73,87.67%,1.37%
