City/Town,Leading Candidates,Carolyn Partridge (D),Lamont Barnett (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Carolyn Partridge (D) Percent Votes Cast,Lamont Barnett (D) Percent Votes Cast,Overvotes Percent
Athens,"Lamont Barnett (D), Carolyn Partridge (D)",75,101,4,9,2,191,39.27%,52.88%,1.05%
Brattleboro,"Lamont Barnett (D), Carolyn Partridge (D)",151,202,8,9,8,378,39.95%,53.44%,2.12%
Brookline,"Lamont Barnett (D), Carolyn Partridge (D)",11,48,5,9,10,83,13.25%,57.83%,12.05%
Dover,"Carolyn Partridge (D), Lamont Barnett (D)",43,37,10,5,8,103,41.75%,35.92%,7.77%
Dummerston,"Lamont Barnett (D), Carolyn Partridge (D)",46,73,5,1,1,126,36.51%,57.94%,0.79%
Grafton,"Carolyn Partridge (D), Lamont Barnett (D)",109,8,9,8,4,138,78.99%,5.80%,2.90%
Guilford,"Lamont Barnett (D), Carolyn Partridge (D)",37,63,5,5,2,112,33.04%,56.25%,1.79%
Halifax,"Lamont Barnett (D), Carolyn Partridge (D)",1,70,9,9,2,91,1.10%,76.92%,2.20%
Jamaica,"Carolyn Partridge (D), Lamont Barnett (D)",37,34,1,7,8,87,42.53%,39.08%,9.20%
Londonderry,"Carolyn Partridge (D), Lamont Barnett (D)",82,37,5,6,8,138,59.42%,26.81%,5.80%
Marlboro,"Lamont Barnett (D), Carolyn Partridge (D)",4,30,7,3,5,49,8.16%,61.22%,10.20%
Newfane,"Lamont Barnett (D), Carolyn Partridge (D)",40,47,3,8,9,107,37.38%,43.93%,8.41%
Putney,"Lamont Barnett (D), Carolyn Partridge (D)",1,18,8,7,6,40,2.50%,45.00%,15.00%
Rockingham,"Carolyn Partridge (D), Lamont Barnett (D)",87,10,6,9,7,119,73.11%,8.40%,5.88%
Stratton,"Carolyn Partridge (D), Lamont Barnett (D)",68,0,8,8,5,89,76.40%,0.00%,5.62%
Townshend,"Lamont Barnett (D), Carolyn Partridge (D)",49,55,7,5,7,123,39.84%,44.72%,5.69%
Vernon,"Carolyn Partridge (D), Lamont Barnett (D)",60,31,8,10,4,113,53.10%,27.43%,3.54%
Wardsboro,"Carolyn Partridge (D), Lamont Barnett (D)",105,68,7,6,6,192,54.69%,35.42%,3.12%
Westminster,"Carolyn Partridge (D), Lamont Barnett (D)",89,78,8,7,4,186,47.85%,41.94%,2.15%
Whitingham,"Lamont Barnett (D), Carolyn Partridge (D)",31,77,5,7,2,122,25.41%,63.11%,1.64%
Wilmington,"Carolyn Partridge (D), Lamont Barnett (D)",22,7,10,2,3,44,50.00%,15.91%,6.82%
Windham,"Carolyn Partridge (D), Lamont Barnett (D)",81,18,7,6,5,117,69.23%,15.38%,4.27%
