City/Town,Leading Candidates,Alison Johannensen (D),Michael A. Ricci (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Alison Johannensen (D) Percent Votes Cast,Michael A. Ricci (D) Percent Votes Cast,Overvotes Percent
Andover,"Michael A. Ricci (D), Alison Johannensen (D)",17,36,10,4,7,74,22.97%,48.65%,9.46%
Baltimore,"Alison Johannensen (D), Michael A. Ricci (D)",17,5,6,3,6,37,45.95%,13.51%,16.22%
Barnard,"Alison Johannensen (D), Michael A. Ricci (D)",81,73,6,6,2,168,48.21%,43.45%,1.19%
Bethel,"Michael A. Ricci (D), Alison Johannensen (D)",86,90,7,3,8,194,44.33%,46.39%,4.12%
Bridgewater,"Michael A. Ricci (D), Alison Johannensen (D)",32,99,6,7,5,149,21.48%,66.44%,3.36%
Cavendish,"Michael A. Ricci (D), Alison Johannensen (D)",52,64,9,6,6,137,37.96%,46.72%,4.38%
Chester,"Michael A. Ricci (D), Alison Johannensen (D)",41,88,4,10,5,148,27.70%,59.46%,3.38%
Hartford,"Michael A. Ricci (D), Alison Johannensen (D)",16,99,5,6,10,136,11.76%,72.79%,7.35%
Hartland,"Alison Johannensen (D), Michael A. Ricci (D)",65,53,10,6,5,139,46.76%,38.13%,3.60%
Ludlow,"Michael A. Ricci (D), Alison Johannensen (D)",47,102,9,10,4,172,27.33%,59.30%,2.33%
Norwich,"Michael A. Ricci (D), Alison Johannensen (D)",71,78,2,4,5,160,44.38%,48.75%,3.12%
Plymouth,"Alison Johannensen (D), Michael A. Ricci (D)",43,19,6,4,5,77,55.84%,24.68%,6.49%
Pomfret,"Michael A. Ricci (D), Alison Johannensen (D)",73,80,4,2,5,164,44.51%,48.78%,3.05%
Reading,"Michael A. Ricci (D), Alison Johannensen (D)",41,109,3,10,10,173,23.70%,63.01%,5.78%
Rochester,"Alison Johannensen (D), Michael A. Ricci (D)",12,0,8,4,8,32,37.50%,0.00%,25.00%
Royalton,"Alison Johannensen (D), Michael A. Ricci (D)",49,6,3,8,6,72,68.06%,8.33%,8.33%
Sharon,"Michael A. Ricci (D), Alison Johannensen (D)",61,72,2,2,3,140,43.57%,51.43%,2.14%
Springfield,"Alison Johannensen (D), Michael A. Ricci (D)",73,8,10,6,8,105,69.52%,7.62%,7.62%
Stockbridge,"Alison Johannensen (D), Michael A. Ricci (D)",82,37,6,7,6,138,59.42%,26.81%,4.35%
Weathersfield,"Alison Johannensen (D), Michael A. Ricci (D)",73,36,6,8,8,131,55.73%,27.48%,6.11%
West Windsor,"Alison Johannensen (D), Michael A. Ricci (D)",87,78,7,10,1,183,47.54%,42.62%,0.55%
Weston,"Alison Johannensen (D), Michael A. Ricci (D)",51,16,5,4,8,84,60.71%,19.05%,9.52%
Windsor,"Michael A. Ricci (D), Alison Johannensen (D)",42,108,10,6,4,170,24.71%,63.53%,2.35%
Woodstock,"Alison Johannensen (D), Michael A. Ricci (D)",108,38,5,8,7,166,65.06%,22.89%,4.22%
