City/Town,Leading Candidate,Charity R. Clark (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Charity R. Clark (D) Percent Votes Cast,Overvotes Percent
Addison,Charity R. Clark (D),85,6,7,6,104,81.73%,5.77%
Albany,Charity R. Clark (D),59,6,10,5,80,73.75%,6.25%
Alburgh,Charity R. Clark (D),14,8,1,7,30,46.67%,23.33%
Andover,Charity R. Clark (D),59,10,7,4,80,73.75%,5.00%
Arlington,Charity R. Clark (D),51,1,10,4,66,77.27%,6.06%
Athens,Charity R. Clark (D),27,5,7,1,40,67.50%,2.50%
Bakersfield,Charity R. Clark (D),100,8,9,5,122,81.97%,4.10%
Baltimore,Charity R. Clark (D),97,7,1,2,107,90.65%,1.87%
Barnard,Charity R. Clark (D),9,0,5,6,20,45.00%,30.00%
Barnet,Charity R. Clark (D),18,5,3,5,31,58.06%,16.13%
Barre City,Charity R. Clark (D),59,1,6,0,66,89.39%,0.00%
Barre Town,Charity R. Clark (D),43,1,5,1,50,86.00%,2.00%
Barton,Charity R. Clark (D),23,4,8,4,39,58.97%,10.26%
Belvidere,Charity R. Clark (D),25,3,1,6,35,71.43%,17.14%
Bennington,Charity R. Clark (D),110,7,7,7,131,83.97%,5.34%
Benson,Charity R. Clark (D),72,7,4,6,89,80.90%,6.74%
Berkshire,Charity R. Clark (D),25,4,4,7,40,62.50%,17.50%
Berlin,Charity R. Clark (D),32,2,0,1,35,91.43%,2.86%
Bethel,Charity R. Clark (D),38,1,2,2,43,88.37%,4.65%
Bloomfield,Charity R. Clark (D),12,1,0,1,14,85.71%,7.14%
Bolton,Charity R. Clark (D),94,7,9,1,111,84.68%,0.90%
Bradford,Charity R. Clark (D),4,10,10,5,29,13.79%,17.24%
Braintree,Charity R. Clark (D),48,1,6,1,56,85.71%,1.79%
Brandon,Charity R. Clark (D),6,1,4,3,14,42.86%,21.43%
Brattleboro,Charity R. Clark (D),54,7,10,9,80,67.50%,11.25%
Bridgewater,Charity R. Clark (D),87,1,5,4,97,89.69%,4.12%
Bridport,Charity R. Clark (D),37,3,4,9,53,69.81%,16.98%
Brighton,Charity R. Clark (D),103,6,7,3,119,86.55%,2.52%
Bristol,Charity R. Clark (D),62,1,4,1,68,91.18%,1.47%
Brookfield,Charity R. Clark (D),13,5,3,4,25,52.00%,16.00%
Brookline,Charity R. Clark (D),97,8,8,1,114,85.09%,0.88%
Brownington,Charity R. Clark (D),37,1,6,2,46,80.43%,4.35%
Brunswick,Charity R. Clark (D),36,8,2,6,52,69.23%,11.54%
Burke,Charity R. Clark (D),13,2,3,3,21,61.90%,14.29%
Burlington,Charity R. Clark (D),367,7,8,10,392,93.62%,2.55%
Cabot,Charity R. Clark (D),85,8,4,5,102,83.33%,4.90%
Calais,Charity R. Clark (D),22,7,7,6,42,52.38%,14.29%
Cambridge,Charity R. Clark (D),18,7,7,7,39,46.15%,17.95%
Canaan,Charity R. Clark (D),38,5,8,6,57,66.67%,10.53%
Castleton,Charity R. Clark (D),2,1,2,6,11,18.18%,54.55%
Cavendish,Charity R. Clark (D),31,4,7,5,47,65.96%,10.64%
Charleston,Charity R. Clark (D),51,1,9,0,61,83.61%,0.00%
Charlotte,Charity R. Clark (D),10,5,3,4,22,45.45%,18.18%
Chelsea,Charity R. Clark (D),10,0,9,6,25,40.00%,24.00%
Chester,Charity R. Clark (D),53,8,1,6,68,77.94%,8.82%
Chittenden,Charity R. Clark (D),7,1,1,4,13,53.85%,30.77%
Clarendon,Charity R. Clark (D),64,9,6,0,79,81.01%,0.00%
Colchester,Charity R. Clark (D),93,8,10,7,118,78.81%,5.93%
Concord,Charity R. Clark (D),43,4,10,8,65,66.15%,12.31%
Corinth,Charity R. Clark (D),3,10,7,10,30,10.00%,33.33%
Cornwall,Charity R. Clark (D),107,4,3,4,118,90.68%,3.39%
Coventry,Charity R. Clark (D),38,7,2,3,50,76.00%,6.00%
Craftsbury,Charity R. Clark (D),67,9,9,9,94,71.28%,9.57%
Danby,Charity R. Clark (D),9,5,8,1,23,39.13%,4.35%
Danville,Charity R. Clark (D),82,2,9,7,100,82.00%,7.00%
Derby,Charity R. Clark (D),81,4,7,7,99,81.82%,7.07%
Dorset,Charity R. Clark (D),54,1,6,8,69,78.26%,11.59%
Dover,Charity R. Clark (D),30,3,1,6,40,75.00%,15.00%
Dummerston,Charity R. Clark (D),25,6,3,7,41,60.98%,17.07%
Duxbury,Charity R. Clark (D),36,8,1,6,51,70.59%,11.76%
East Haven,Charity R. Clark (D),4,8,8,4,24,16.67%,16.67%
East Montpelier,Charity R. Clark (D),74,9,3,7,93,79.57%,7.53%
Eden,Charity R. Clark (D),6,4,2,8,20,30.00%,40.00%
Elmore,Charity R. Clark (D),89,4,2,9,104,85.58%,8.65%
Enosburgh,Charity R. Clark (D),54,10,7,2,73,73.97%,2.74%
Essex Junction,Charity R. Clark (D),84,1,8,3,96,87.50%,3.12%
Essex,Charity R. Clark (D),72,6,10,9,97,74.23%,9.28%
Fair Haven,Charity R. Clark (D),79,5,9,1,94,84.04%,1.06%
Fairfax,Charity R. Clark (D),72,4,3,6,85,84.71%,7.06%
Fairfield,Charity R. Clark (D),15,2,3,7,27,55.56%,25.93%
Fairlee,Charity R. Clark (D),21,5,1,1,28,75.00%,3.57%
Fayston,Charity R. Clark (D),67,8,1,7,83,80.72%,8.43%
Ferrisburgh,Charity R. Clark (D),77,2,9,9,97,79.38%,9.28%
Fletcher,Charity R. Clark (D),75,10,3,3,91,82.42%,3.30%
Franklin,Charity R. Clark (D),5,6,3,0,14,35.71%,0.00%
Georgia,Charity R. Clark (D),124,7,6,8,145,85.52%,5.52%
Glover,Charity R. Clark (D),46,9,2,8,65,70.77%,12.31%
Goshen,Charity R. Clark (D),34,1,5,5,45,75.56%,11.11%
Grafton,Charity R. Clark (D),93,2,5,6,106,87.74%,5.66%
Granby,Charity R. Clark (D),36,8,10,4,58,62.07%,6.90%
Grand Isle,Charity R. Clark (D),89,7,5,1,102,87.25%,0.98%
Granville,Charity R. Clark (D),108,6,2,10,126,85.71%,7.94%
Greensboro,Charity R. Clark (D),54,8,4,8,74,72.97%,10.81%
Groton,Charity R. Clark (D),68,4,5,8,85,80.00%,9.41%
Guildhall,Charity R. Clark (D),101,2,7,9,119,84.87%,7.56%
Guilford,Charity R. Clark (D),1,1,8,5,15,6.67%,33.33%
Halifax,Charity R. Clark (D),53,7,5,1,66,80.30%,1.52%
Hancock,Charity R. Clark (D),22,3,8,1,34,64.71%,2.94%
Hardwick,Charity R. Clark (D),105,7,7,6,125,84.00%,4.80%
Hartford,Charity R. Clark (D),101,3,8,7,119,84.87%,5.88%
Hartland,Charity R. Clark (D),7,5,8,6,26,26.92%,23.08%
Highgate,Charity R. Clark (D),31,1,6,3,41,75.61%,7.32%
Hinesburg,Charity R. Clark (D),50,5,6,4,65,76.92%,6.15%
Holland,Charity R. Clark (D),10,3,7,8,28,35.71%,28.57%
Hubbardton,Charity R. Clark (D),11,7,2,1,21,52.38%,4.76%
Huntington,Charity R. Clark (D),47,1,8,4,60,78.33%,6.67%
Hyde Park,Charity R. Clark (D),2,5,3,1,11,18.18%,9.09%
Ira,Charity R. Clark (D),109,1,5,2,117,93.16%,1.71%
Irasburg,Charity R. Clark (D),49,6,2,7,64,76.56%,10.94%
Isle La Motte,Charity R. Clark (D),94,6,9,5,114,82.46%,4.39%
Jamaica,Charity R. Clark (D),95,6,1,3,105,90.48%,2.86%
Jay,Charity R. Clark (D),85,4,6,1,96,88.54%,1.04%
Jericho,Charity R. Clark (D),89,10,10,0,109,81.65%,0.00%
Johnson,Charity R. Clark (D),89,2,2,3,96,92.71%,3.12%
Killington,Charity R. Clark (D),62,5,7,6,80,77.50%,7.50%
Kirby,Charity R. Clark (D),19,4,7,9,39,48.72%,23.08%
Landgrove,Charity R. Clark (D),71,10,3,0,84,84.52%,0.00%
Leicester,Charity R. Clark (D),55,1,8,6,70,78.57%,8.57%
Lemington,Charity R. Clark (D),12,4,5,4,25,48.00%,16.00%
Lincoln,Charity R. Clark (D),75,7,5,1,88,85.23%,1.14%
Londonderry,Charity R. Clark (D),68,1,6,1,76,89.47%,1.32%
Lowell,Charity R. Clark (D),49,4,8,9,70,70.00%,12.86%
Ludlow,Charity R. Clark (D),54,8,7,2,71,76.06%,2.82%
Lunenburg,Charity R. Clark (D),108,5,1,8,122,88.52%,6.56%
Lyndon,Charity R. Clark (D),49,5,6,2,62,79.03%,3.23%
Maidstone,Charity R. Clark (D),39,2,9,1,51,76.47%,1.96%
Manchester,Charity R. Clark (D),27,5,6,7,45,60.00%,15.56%
Marlboro,Charity R. Clark (D),11,7,2,10,30,36.67%,33.33%
Marshfield,Charity R. Clark (D),104,7,8,2,121,85.95%,1.65%
Mendon,Charity R. Clark (D),105,9,3,9,126,83.33%,7.14%
Middlebury,Charity R. Clark (D),131,9,9,3,152,86.18%,1.97%
Middlesex,Charity R. Clark (D),77,8,7,9,101,76.24%,8.91%
Middletown Springs,Charity R. Clark (D),31,7,4,1,43,72.09%,2.33%
Milton,Charity R. Clark (D),46,10,7,10,73,63.01%,13.70%
Monkton,Charity R. Clark (D),95,10,5,2,112,84.82%,1.79%
Montgomery,Charity R. Clark (D),18,3,9,2,32,56.25%,6.25%
Montpelier,Charity R. Clark (D),38,8,5,7,58,65.52%,12.07%
Moretown,Charity R. Clark (D),22,3,5,10,40,55.00%,25.00%
