City/Town,Leading Candidate,ELIJAH BERGMAN,Write-Ins,Blanks,Overvotes,Total Votes Cast,ELIJAH BERGMAN Percent Votes Cast,Overvotes Percent
Addison,ELIJAH BERGMAN,82,67,8,5,162,50.62%,3.09%
Albany,ELIJAH BERGMAN,57,11,1,7,76,75.00%,9.21%
Alburgh,ELIJAH BERGMAN,90,28,6,8,132,68.18%,6.06%
Andover,ELIJAH BERGMAN,105,6,7,7,125,84.00%,5.60%
Arlington,ELIJAH BERGMAN,108,57,7,7,179,60.34%,3.91%
Athens,ELIJAH BERGMAN,84,74,5,3,166,50.60%,1.81%
Bakersfield,ELIJAH BERGMAN,43,15,6,7,71,60.56%,9.86%
Baltimore,ATRNY GEN BALTIMORE WINDSOR-2,52,78,8,7,145,35.86%,4.83%
Barnard,ATRNY GEN BARNARD WINDSOR-4,35,94,1,5,135,25.93%,3.70%
Barnet,ELIJAH BERGMAN,51,4,7,8,70,72.86%,11.43%
Barre City,ELIJAH BERGMAN,72,34,7,10,123,58.54%,8.13%
Barre Town,ATRNY GEN BARRE TOWN WASHINGTON ORANGE,73,85,4,4,166,43.98%,2.41%
Barton,ELIJAH BERGMAN,71,45,8,8,132,53.79%,6.06%
Belvidere,ATRNY GEN BELVIDERE LAMOILLE-2,13,34,5,8,60,21.67%,13.33%
Bennington,ATRNY GEN BENNINGTON BENNINGTON-2,55,129,9,6,199,27.64%,3.02%
Benson,ATRNY GEN BENSON RUTLAND-10,47,74,10,10,141,33.33%,7.09%
Berkshire,ATRNY GEN BERKSHIRE FRANKLIN-5,55,96,2,3,156,35.26%,1.92%
Berlin,ELIJAH BERGMAN,58,62,4,10,134,43.28%,7.46%
Bethel,ATRNY GEN BETHEL WINDSOR ADDISON,24,79,3,6,112,21.43%,5.36%
Bloomfield,ELIJAH BERGMAN,60,9,8,7,84,71.43%,8.33%
Bolton,ATRNY GEN BOLTON WASHINGTON CHITTENDEN,10,86,8,1,105,9.52%,0.95%
Bradford,ELIJAH BERGMAN,53,47,2,2,104,50.96%,1.92%
Braintree,ATRNY GEN BRAINTREE ORANGE WASHINGTON ADDISON,67,83,5,8,163,41.10%,4.91%
Brandon,ELIJAH BERGMAN,48,19,6,9,82,58.54%,10.98%
Brattleboro,ELIJAH BERGMAN,144,150,7,8,309,46.60%,2.59%
Bridgewater,ELIJAH BERGMAN,66,13,10,2,91,72.53%,2.20%
Bridport,ELIJAH BERGMAN,73,6,10,8,97,75.26%,8.25%
Brighton,ELIJAH BERGMAN,22,14,6,4,46,47.83%,8.70%
Bristol,ELIJAH BERGMAN,46,51,7,6,110,41.82%,5.45%
Brookfield,ELIJAH BERGMAN,101,40,9,6,156,64.74%,3.85%
Brookline,ATRNY GEN BROOKLINE WINDHAM-3,70,91,6,7,174,40.23%,4.02%
Brownington,ELIJAH BERGMAN,14,8,3,7,32,43.75%,21.88%
