City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Addison,H. Brooke Paige (R),107,0,1,7,115,93.04%,6.09%
Albany,H. Brooke Paige (R),78,9,1,6,94,82.98%,6.38%
Alburgh,H. Brooke Paige (R),63,3,3,1,70,90.00%,1.43%
Andover,H. Brooke Paige (R),62,1,6,7,76,81.58%,9.21%
Arlington,H. Brooke Paige (R),68,4,6,6,84,80.95%,7.14%
Athens,H. Brooke Paige (R),87,2,6,1,96,90.62%,1.04%
Bakersfield,H. Brooke Paige (R),72,0,10,4,86,83.72%,4.65%
Baltimore,H. Brooke Paige (R),70,3,10,1,84,83.33%,1.19%
Barnard,H. Brooke Paige (R),88,2,3,7,100,88.00%,7.00%
Barnet,H. Brooke Paige (R),96,8,3,7,114,84.21%,6.14%
Barre City,H. Brooke Paige (R),89,7,1,7,104,85.58%,6.73%
Barre Town,H. Brooke Paige (R),34,7,3,10,54,62.96%,18.52%
Barton,H. Brooke Paige (R),8,6,4,4,22,36.36%,18.18%
Belvidere,H. Brooke Paige (R),44,2,1,1,48,91.67%,2.08%
Bennington,H. Brooke Paige (R),128,10,6,2,146,87.67%,1.37%
Benson,H. Brooke Paige (R),6,8,1,4,19,31.58%,21.05%
Berkshire,H. Brooke Paige (R),49,8,0,2,59,83.05%,3.39%
Berlin,H. Brooke Paige (R),99,4,1,8,112,88.39%,7.14%
Bethel,H. Brooke Paige (R),85,6,3,3,97,87.63%,3.09%
Bloomfield,H. Brooke Paige (R),67,1,1,7,76,88.16%,9.21%
Bolton,H. Brooke Paige (R),11,1,1,1,14,78.57%,7.14%
Bradford,H. Brooke Paige (R),94,0,3,10,107,87.85%,9.35%
Braintree,H. Brooke Paige (R),67,4,2,7,80,83.75%,8.75%
Brandon,H. Brooke Paige (R),35,7,10,6,58,60.34%,10.34%
Brattleboro,H. Brooke Paige (R),128,7,7,7,149,85.91%,4.70%
Bridgewater,H. Brooke Paige (R),76,9,8,2,95,80.00%,2.11%
Bridport,H. Brooke Paige (R),106,7,1,2,116,91.38%,1.72%
Brighton,H. Brooke Paige (R),48,1,10,9,68,70.59%,13.24%
Bristol,H. Brooke Paige (R),104,6,3,10,123,84.55%,8.13%
Brookfield,H. Brooke Paige (R),75,8,2,5,90,83.33%,5.56%
Brookline,H. Brooke Paige (R),17,3,0,1,21,80.95%,4.76%
Brownington,H. Brooke Paige (R),12,5,4,10,31,38.71%,32.26%
Brunswick,H. Brooke Paige (R),30,7,1,6,44,68.18%,13.64%
Burke,H. Brooke Paige (R),17,4,5,4,30,56.67%,13.33%
Burlington,H. Brooke Paige (R),372,10,8,10,400,93.00%,2.50%
Cabot,H. Brooke Paige (R),21,9,1,2,33,63.64%,6.06%
Calais,H. Brooke Paige (R),75,7,3,1,86,87.21%,1.16%
Cambridge,H. Brooke Paige (R),28,1,2,5,36,77.78%,13.89%
Canaan,H. Brooke Paige (R),41,7,2,1,51,80.39%,1.96%
Castleton,H. Brooke Paige (R),48,1,1,0,50,96.00%,0.00%
Cavendish,H. Brooke Paige (R),88,4,3,5,100,88.00%,5.00%
Charleston,H. Brooke Paige (R),83,4,8,5,100,83.00%,5.00%
Charlotte,H. Brooke Paige (R),22,8,3,10,43,51.16%,23.26%
Chelsea,H. Brooke Paige (R),84,1,9,8,102,82.35%,7.84%
Chester,H. Brooke Paige (R),62,1,2,7,72,86.11%,9.72%
Chittenden,H. Brooke Paige (R),61,1,8,4,74,82.43%,5.41%
Clarendon,H. Brooke Paige (R),1,2,6,0,9,11.11%,0.00%
Colchester,H. Brooke Paige (R),110,6,7,9,132,83.33%,6.82%
Concord,H. Brooke Paige (R),75,7,10,6,98,76.53%,6.12%
Corinth,H. Brooke Paige (R),84,9,1,7,101,83.17%,6.93%
Cornwall,H. Brooke Paige (R),17,0,1,7,25,68.00%,28.00%
Coventry,H. Brooke Paige (R),89,8,8,4,109,81.65%,3.67%
Craftsbury,H. Brooke Paige (R),77,8,3,2,90,85.56%,2.22%
Danby,H. Brooke Paige (R),84,3,5,8,100,84.00%,8.00%
Danville,H. Brooke Paige (R),60,4,7,8,79,75.95%,10.13%
Derby,H. Brooke Paige (R),86,4,10,7,107,80.37%,6.54%
Dorset,H. Brooke Paige (R),53,1,8,1,63,84.13%,1.59%
Dover,H. Brooke Paige (R),88,8,9,1,106,83.02%,0.94%
Dummerston,H. Brooke Paige (R),31,7,0,10,48,64.58%,20.83%
Duxbury,H. Brooke Paige (R),15,3,1,1,20,75.00%,5.00%
East Haven,H. Brooke Paige (R),13,4,2,1,20,65.00%,5.00%
East Montpelier,H. Brooke Paige (R),6,2,9,5,22,27.27%,22.73%
Eden,H. Brooke Paige (R),86,7,9,1,103,83.50%,0.97%
Elmore,H. Brooke Paige (R),82,1,4,8,95,86.32%,8.42%
Enosburgh,H. Brooke Paige (R),55,3,3,1,62,88.71%,1.61%
Essex Junction,H. Brooke Paige (R),75,8,9,9,101,74.26%,8.91%
Essex,H. Brooke Paige (R),125,9,6,8,148,84.46%,5.41%
Fair Haven,H. Brooke Paige (R),9,7,6,1,23,39.13%,4.35%
Fairfax,H. Brooke Paige (R),52,4,4,6,66,78.79%,9.09%
Fairfield,H. Brooke Paige (R),21,1,8,1,31,67.74%,3.23%
Fairlee,H. Brooke Paige (R),101,3,3,1,108,93.52%,0.93%
Fayston,H. Brooke Paige (R),83,8,9,3,103,80.58%,2.91%
Ferrisburgh,H. Brooke Paige (R),31,8,4,4,47,65.96%,8.51%
Fletcher,H. Brooke Paige (R),84,8,6,0,98,85.71%,0.00%
Franklin,H. Brooke Paige (R),51,0,5,1,57,89.47%,1.75%
Georgia,H. Brooke Paige (R),37,3,8,7,55,67.27%,12.73%
Glover,H. Brooke Paige (R),73,3,1,0,77,94.81%,0.00%
Goshen,H. Brooke Paige (R),89,2,2,7,100,89.00%,7.00%
Grafton,H. Brooke Paige (R),37,10,3,7,57,64.91%,12.28%
Granby,H. Brooke Paige (R),3,7,7,8,25,12.00%,32.00%
Grand Isle,H. Brooke Paige (R),85,7,0,7,99,85.86%,7.07%
Granville,H. Brooke Paige (R),82,8,6,5,101,81.19%,4.95%
Greensboro,H. Brooke Paige (R),50,10,1,7,68,73.53%,10.29%
Groton,H. Brooke Paige (R),6,9,3,6,24,25.00%,25.00%
Guildhall,H. Brooke Paige (R),40,10,1,10,61,65.57%,16.39%
Guilford,H. Brooke Paige (R),47,7,9,8,71,66.20%,11.27%
Halifax,H. Brooke Paige (R),15,1,8,6,30,50.00%,20.00%
Hancock,H. Brooke Paige (R),96,10,4,7,117,82.05%,5.98%
Hardwick,H. Brooke Paige (R),70,3,4,5,82,85.37%,6.10%
Hartford,H. Brooke Paige (R),135,7,6,6,154,87.66%,3.90%
Hartland,H. Brooke Paige (R),44,5,1,6,56,78.57%,10.71%
Highgate,H. Brooke Paige (R),51,9,2,6,68,75.00%,8.82%
Hinesburg,H. Brooke Paige (R),102,9,8,1,120,85.00%,0.83%
Holland,H. Brooke Paige (R),43,8,6,1,58,74.14%,1.72%
Hubbardton,H. Brooke Paige (R),72,2,1,10,85,84.71%,11.76%
Huntington,H. Brooke Paige (R),37,1,7,1,46,80.43%,2.17%
Hyde Park,H. Brooke Paige (R),67,2,9,8,86,77.91%,9.30%
Ira,H. Brooke Paige (R),96,4,5,5,110,87.27%,4.55%
Irasburg,H. Brooke Paige (R),18,1,3,0,22,81.82%,0.00%
Isle La Motte,H. Brooke Paige (R),10,6,1,1,18,55.56%,5.56%
Jamaica,H. Brooke Paige (R),105,5,4,5,119,88.24%,4.20%
Jay,H. Brooke Paige (R),102,6,6,5,119,85.71%,4.20%
Jericho,H. Brooke Paige (R),64,7,3,0,74,86.49%,0.00%
Johnson,H. Brooke Paige (R),105,7,4,6,122,86.07%,4.92%
Killington,H. Brooke Paige (R),74,7,9,1,91,81.32%,1.10%
Kirby,H. Brooke Paige (R),84,10,6,3,103,81.55%,2.91%
Landgrove,H. Brooke Paige (R),71,6,5,3,85,83.53%,3.53%
Leicester,H. Brooke Paige (R),52,8,1,2,63,82.54%,3.17%
Lemington,H. Brooke Paige (R),64,5,0,7,76,84.21%,9.21%
Lincoln,H. Brooke Paige (R),32,7,0,5,44,72.73%,11.36%
Londonderry,H. Brooke Paige (R),72,5,7,1,85,84.71%,1.18%
Lowell,H. Brooke Paige (R),50,5,3,2,60,83.33%,3.33%
Ludlow,H. Brooke Paige (R),68,3,8,2,81,83.95%,2.47%
Lunenburg,H. Brooke Paige (R),16,7,3,8,34,47.06%,23.53%
