City/Town,Leading Candidate,Dan Towle (D),Nicholas Graeter (D),Tim Ashe (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Dan Towle (D) Percent Votes Cast,Nicholas Graeter (D) Percent Votes Cast,Tim Ashe (D) Percent Votes Cast,Overvotes Percent
Addison,Tim Ashe (D),37,81,107,8,4,8,245,15.10%,33.06%,43.67%,3.27%
Albany,Dan Towle (D),79,37,10,10,9,7,152,51.97%,24.34%,6.58%,4.61%
Alburgh,Tim Ashe (D),5,42,58,4,8,5,122,4.10%,34.43%,47.54%,4.10%
Andover,Tim Ashe (D),18,9,53,7,6,5,98,18.37%,9.18%,54.08%,5.10%
Arlington,Nicholas Graeter (D),31,51,36,10,8,10,146,21.23%,34.93%,24.66%,6.85%
Athens,Dan Towle (D),76,15,51,6,7,6,161,47.20%,9.32%,31.68%,3.73%
Bakersfield,Dan Towle (D),72,40,57,9,7,6,191,37.70%,20.94%,29.84%,3.14%
Baltimore,Nicholas Graeter (D),20,47,39,8,10,6,130,15.38%,36.15%,30.00%,4.62%
Barnard,Nicholas Graeter (D),57,108,3,10,7,9,194,29.38%,55.67%,1.55%,4.64%
Barnet,Nicholas Graeter (D),26,85,52,7,6,4,180,14.44%,47.22%,28.89%,2.22%
Barre City,Nicholas Graeter (D),20,66,1,5,6,7,105,19.05%,62.86%,0.95%,6.67%
Barre Town,Nicholas Graeter (D),67,80,78,7,8,5,245,27.35%,32.65%,31.84%,2.04%
Barton,Nicholas Graeter (D),68,84,15,6,8,6,187,36.36%,44.92%,8.02%,3.21%
Belvidere,Nicholas Graeter (D),36,109,40,10,8,7,210,17.14%,51.90%,19.05%,3.33%
Bennington,Tim Ashe (D),36,105,107,8,8,8,272,13.24%,38.60%,39.34%,2.94%
Benson,Dan Towle (D),59,10,50,5,6,10,140,42.14%,7.14%,35.71%,7.14%
Berkshire,Nicholas Graeter (D),20,100,46,9,4,6,185,10.81%,54.05%,24.86%,3.24%
Berlin,Tim Ashe (D),8,14,71,6,9,8,116,6.90%,12.07%,61.21%,6.90%
Bethel,Dan Towle (D),82,77,35,5,5,6,210,39.05%,36.67%,16.67%,2.86%
Bloomfield,Nicholas Graeter (D),9,17,14,6,10,10,66,13.64%,25.76%,21.21%,15.15%
Bolton,Nicholas Graeter (D),5,66,15,4,9,4,103,4.85%,64.08%,14.56%,3.88%
Bradford,Tim Ashe (D),49,32,66,9,6,8,170,28.82%,18.82%,38.82%,4.71%
Braintree,Tim Ashe (D),1,42,81,4,4,10,142,0.70%,29.58%,57.04%,7.04%
Brandon,Tim Ashe (D),57,55,83,8,10,8,221,25.79%,24.89%,37.56%,3.62%
Brattleboro,Nicholas Graeter (D),46,269,217,10,10,10,562,8.19%,47.86%,38.61%,1.78%
Bridgewater,Nicholas Graeter (D),47,50,26,6,7,10,146,32.19%,34.25%,17.81%,6.85%
Bridport,Dan Towle (D),75,30,40,9,9,3,166,45.18%,18.07%,24.10%,1.81%
Brighton,Tim Ashe (D),27,22,38,9,7,9,112,24.11%,19.64%,33.93%,8.04%
Bristol,Dan Towle (D),90,32,49,8,4,7,190,47.37%,16.84%,25.79%,3.68%
Brookfield,Nicholas Graeter (D),14,100,19,9,3,7,152,9.21%,65.79%,12.50%,4.61%
Brookline,Tim Ashe (D),7,0,9,10,7,9,42,16.67%,0.00%,21.43%,21.43%
Brownington,Dan Towle (D),55,3,53,10,3,9,133,41.35%,2.26%,39.85%,6.77%
