City/Town,Leading Candidate,MARIELLE A.,Write-Ins,Blanks,Overvotes,Total Votes Cast,MARIELLE A. Percent Votes Cast,Overvotes Percent
Addison,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Albany,MARIELLE A.,56,21,21,10,108,51.85%,9.26%
Alburgh,MARIELLE A.,127,50,50,25,252,50.40%,9.92%
Andover,MARIELLE A.,29,10,10,5,54,53.70%,9.26%
Arlington,MARIELLE A.,172,68,68,34,342,50.29%,9.94%
Athens,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Bakersfield,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Baltimore,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
Barnard,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Barnet,MARIELLE A.,127,50,50,25,252,50.40%,9.92%
Barre City,MARIELLE A.,540,216,216,108,1080,50.00%,10.00%
Barre Town,MARIELLE A.,559,223,223,111,1116,50.09%,9.95%
Barton,MARIELLE A.,191,75,75,37,378,50.53%,9.79%
Belvidere,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Bennington,MARIELLE A.,868,258,172,86,1384,62.72%,6.21%
Benson,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Berkshire,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Berlin,MARIELLE A.,191,75,75,37,378,50.53%,9.79%
Bethel,MARIELLE A.,119,46,46,23,234,50.85%,9.83%
Bloomfield,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
Bolton,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Bradford,MARIELLE A.,191,75,75,37,378,50.53%,9.79%
Braintree,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Brandon,MARIELLE A.,262,104,104,52,522,50.19%,9.96%
Brattleboro,MARIELLE A.,858,231,122,61,1272,67.45%,4.80%
Bridgewater,MARIELLE A.,56,21,21,10,108,51.85%,9.26%
Bridport,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Brighton,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Bristol,MARIELLE A.,289,115,115,57,576,50.17%,9.90%
Brookfield,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Brookline,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Brownington,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Brunswick,MARIELLE A.,8,2,2,1,13,61.54%,7.69%
Burke,MARIELLE A.,109,43,43,21,216,50.46%,9.72%
Burlington,MARIELLE A.,3289,785,259,129,4462,73.71%,2.89%
Cabot,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Calais,MARIELLE A.,127,50,50,25,252,50.40%,9.92%
Cambridge,MARIELLE A.,244,97,97,48,486,50.21%,9.88%
Canaan,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Castleton,MARIELLE A.,254,100,100,50,504,50.40%,9.92%
Cavendish,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Charleston,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Charlotte,MARIELLE A.,299,118,118,59,594,50.34%,9.93%
Chelsea,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Chester,MARIELLE A.,209,82,82,41,414,50.48%,9.90%
Chittenden,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Clarendon,MARIELLE A.,172,68,68,34,342,50.29%,9.94%
Colchester,MARIELLE A.,1317,399,252,150,2118,62.18%,7.08%
Concord,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Corinth,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Cornwall,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Coventry,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Craftsbury,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Danby,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Danville,MARIELLE A.,164,64,64,32,324,50.62%,9.88%
Derby,MARIELLE A.,315,126,126,63,630,50.00%,10.00%
Dorset,MARIELLE A.,154,61,61,30,306,50.33%,9.80%
Dover,MARIELLE A.,119,46,46,23,234,50.85%,9.83%
Dummerston,MARIELLE A.,135,54,54,27,270,50.00%,10.00%
Duxbury,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
East Haven,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
