City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Addison,H. Brooke Paige (R),38,3,7,2,50,76.00%,4.00%
Albany,H. Brooke Paige (R),63,8,3,4,78,80.77%,5.13%
Alburgh,H. Brooke Paige (R),80,4,9,7,100,80.00%,7.00%
Andover,H. Brooke Paige (R),32,7,2,4,45,71.11%,8.89%
Arlington,H. Brooke Paige (R),91,9,1,4,105,86.67%,3.81%
Athens,H. Brooke Paige (R),107,6,1,6,120,89.17%,5.00%
Bakersfield,H. Brooke Paige (R),93,10,8,4,115,80.87%,3.48%
Baltimore,H. Brooke Paige (R),68,4,9,8,89,76.40%,8.99%
Barnard,H. Brooke Paige (R),33,5,9,7,54,61.11%,12.96%
Barnet,H. Brooke Paige (R),31,4,1,3,39,79.49%,7.69%
Barre City,H. Brooke Paige (R),54,8,6,7,75,72.00%,9.33%
Barre Town,H. Brooke Paige (R),33,3,5,7,48,68.75%,14.58%
Barton,H. Brooke Paige (R),12,6,2,5,25,48.00%,20.00%
Belvidere,H. Brooke Paige (R),28,7,2,7,44,63.64%,15.91%
Bennington,H. Brooke Paige (R),177,4,8,6,195,90.77%,3.08%
Benson,H. Brooke Paige (R),29,8,8,3,48,60.42%,6.25%
Berkshire,H. Brooke Paige (R),54,6,2,2,64,84.38%,3.12%
Berlin,H. Brooke Paige (R),18,2,8,1,29,62.07%,3.45%
Bethel,H. Brooke Paige (R),40,7,10,2,59,67.80%,3.39%
Bloomfield,H. Brooke Paige (R),39,4,2,5,50,78.00%,10.00%
Bolton,H. Brooke Paige (R),28,2,6,9,45,62.22%,20.00%
Bradford,H. Brooke Paige (R),56,1,9,7,73,76.71%,9.59%
Braintree,H. Brooke Paige (R),81,9,6,10,106,76.42%,9.43%
Brandon,H. Brooke Paige (R),2,6,2,6,16,12.50%,37.50%
Brattleboro,H. Brooke Paige (R),133,9,5,8,155,85.81%,5.16%
Bridgewater,H. Brooke Paige (R),2,8,7,9,26,7.69%,34.62%
Bridport,H. Brooke Paige (R),60,5,2,5,72,83.33%,6.94%
Brighton,H. Brooke Paige (R),89,3,6,5,103,86.41%,4.85%
Bristol,H. Brooke Paige (R),29,0,1,6,36,80.56%,16.67%
Brookfield,H. Brooke Paige (R),81,8,6,7,102,79.41%,6.86%
Brookline,H. Brooke Paige (R),24,3,2,10,39,61.54%,25.64%
Brownington,H. Brooke Paige (R),52,5,4,1,62,83.87%,1.61%
Brunswick,H. Brooke Paige (R),56,6,5,1,68,82.35%,1.47%
Burke,H. Brooke Paige (R),20,1,4,1,26,76.92%,3.85%
Burlington,H. Brooke Paige (R),435,7,10,9,461,94.36%,1.95%
Cabot,H. Brooke Paige (R),18,4,8,5,35,51.43%,14.29%
Calais,H. Brooke Paige (R),38,5,4,9,56,67.86%,16.07%
Cambridge,H. Brooke Paige (R),11,3,7,5,26,42.31%,19.23%
Canaan,H. Brooke Paige (R),10,2,6,6,24,41.67%,25.00%
Castleton,H. Brooke Paige (R),107,8,8,4,127,84.25%,3.15%
Cavendish,H. Brooke Paige (R),55,0,2,9,66,83.33%,13.64%
Charleston,H. Brooke Paige (R),24,1,10,7,42,57.14%,16.67%
Charlotte,H. Brooke Paige (R),4,3,1,8,16,25.00%,50.00%
Chelsea,H. Brooke Paige (R),24,8,7,4,43,55.81%,9.30%
Chester,H. Brooke Paige (R),68,1,4,3,76,89.47%,3.95%
Chittenden,H. Brooke Paige (R),10,10,1,8,29,34.48%,27.59%
Clarendon,H. Brooke Paige (R),18,6,7,5,36,50.00%,13.89%
Colchester,H. Brooke Paige (R),48,8,10,10,76,63.16%,13.16%
Concord,H. Brooke Paige (R),38,3,2,1,44,86.36%,2.27%
Corinth,H. Brooke Paige (R),20,8,1,0,29,68.97%,0.00%
Cornwall,H. Brooke Paige (R),75,3,5,1,84,89.29%,1.19%
Coventry,H. Brooke Paige (R),4,3,7,5,19,21.05%,26.32%
Craftsbury,H. Brooke Paige (R),85,7,2,4,98,86.73%,4.08%
Danby,H. Brooke Paige (R),53,1,4,6,64,82.81%,9.38%
Danville,H. Brooke Paige (R),10,5,1,5,21,47.62%,23.81%
Derby,H. Brooke Paige (R),29,3,1,5,38,76.32%,13.16%
Dorset,H. Brooke Paige (R),61,8,6,0,75,81.33%,0.00%
Dover,H. Brooke Paige (R),39,7,0,1,47,82.98%,2.13%
Dummerston,H. Brooke Paige (R),105,3,6,1,115,91.30%,0.87%
Duxbury,H. Brooke Paige (R),19,1,4,10,34,55.88%,29.41%
East Haven,H. Brooke Paige (R),8,1,0,1,10,80.00%,10.00%
East Montpelier,H. Brooke Paige (R),10,2,6,5,23,43.48%,21.74%
Eden,H. Brooke Paige (R),26,5,2,1,34,76.47%,2.94%
Elmore,H. Brooke Paige (R),79,6,3,8,96,82.29%,8.33%
Enosburgh,H. Brooke Paige (R),41,8,4,4,57,71.93%,7.02%
Essex Junction,H. Brooke Paige (R),130,7,7,10,154,84.42%,6.49%
Essex,H. Brooke Paige (R),79,1,3,4,87,90.80%,4.60%
Fair Haven,H. Brooke Paige (R),67,9,1,8,85,78.82%,9.41%
Fairfax,H. Brooke Paige (R),85,2,3,7,97,87.63%,7.22%
Fairfield,H. Brooke Paige (R),109,2,3,3,117,93.16%,2.56%
Fairlee,H. Brooke Paige (R),3,1,4,6,14,21.43%,42.86%
Fayston,H. Brooke Paige (R),8,1,1,6,16,50.00%,37.50%
Ferrisburgh,H. Brooke Paige (R),87,6,1,4,98,88.78%,4.08%
Fletcher,H. Brooke Paige (R),48,4,2,9,63,76.19%,14.29%
Franklin,H. Brooke Paige (R),28,7,1,5,41,68.29%,12.20%
Georgia,H. Brooke Paige (R),69,7,8,1,85,81.18%,1.18%
Glover,H. Brooke Paige (R),57,4,2,1,64,89.06%,1.56%
Goshen,H. Brooke Paige (R),32,2,10,8,52,61.54%,15.38%
Grafton,H. Brooke Paige (R),77,0,7,7,91,84.62%,7.69%
Granby,H. Brooke Paige (R),20,7,1,7,35,57.14%,20.00%
Grand Isle,H. Brooke Paige (R),28,4,9,3,44,63.64%,6.82%
Granville,H. Brooke Paige (R),5,4,3,6,18,27.78%,33.33%
Greensboro,H. Brooke Paige (R),5,1,8,3,17,29.41%,17.65%
Groton,H. Brooke Paige (R),57,2,2,6,67,85.07%,8.96%
Guildhall,H. Brooke Paige (R),109,8,0,3,120,90.83%,2.50%
Guilford,H. Brooke Paige (R),87,5,9,10,111,78.38%,9.01%
Halifax,H. Brooke Paige (R),38,1,7,8,54,70.37%,14.81%
Hancock,H. Brooke Paige (R),45,10,1,2,58,77.59%,3.45%
Hardwick,H. Brooke Paige (R),22,0,6,4,32,68.75%,12.50%
Hartford,H. Brooke Paige (R),104,8,10,7,129,80.62%,5.43%
Hartland,H. Brooke Paige (R),11,7,10,2,30,36.67%,6.67%
Highgate,H. Brooke Paige (R),63,5,10,1,79,79.75%,1.27%
Hinesburg,H. Brooke Paige (R),64,7,4,4,79,81.01%,5.06%
Holland,H. Brooke Paige (R),90,6,6,5,107,84.11%,4.67%
Hubbardton,H. Brooke Paige (R),58,4,3,7,72,80.56%,9.72%
Huntington,H. Brooke Paige (R),53,9,4,5,71,74.65%,7.04%
Hyde Park,H. Brooke Paige (R),32,8,3,8,51,62.75%,15.69%
Ira,H. Brooke Paige (R),92,7,1,2,102,90.20%,1.96%
Irasburg,H. Brooke Paige (R),77,3,1,7,88,87.50%,7.95%
Isle La Motte,H. Brooke Paige (R),39,6,1,1,47,82.98%,2.13%
Jamaica,H. Brooke Paige (R),105,8,8,10,131,80.15%,7.63%
Jay,H. Brooke Paige (R),95,0,4,4,103,92.23%,3.88%
Jericho,H. Brooke Paige (R),24,7,8,5,44,54.55%,11.36%
Johnson,H. Brooke Paige (R),57,8,0,9,74,77.03%,12.16%
Killington,H. Brooke Paige (R),103,10,7,2,122,84.43%,1.64%
Kirby,H. Brooke Paige (R),23,1,3,5,32,71.88%,15.62%
Landgrove,H. Brooke Paige (R),26,5,1,6,38,68.42%,15.79%
Leicester,H. Brooke Paige (R),18,4,2,6,30,60.00%,20.00%
Lemington,H. Brooke Paige (R),3,7,3,1,14,21.43%,7.14%
Lincoln,H. Brooke Paige (R),67,2,1,2,72,93.06%,2.78%
Londonderry,H. Brooke Paige (R),24,8,3,1,36,66.67%,2.78%
Lowell,H. Brooke Paige (R),54,1,3,1,59,91.53%,1.69%
Ludlow,H. Brooke Paige (R),54,3,8,8,73,73.97%,10.96%
Lunenburg,H. Brooke Paige (R),43,5,5,4,57,75.44%,7.02%
Lyndon,H. Brooke Paige (R),85,7,1,1,94,90.43%,1.06%
Maidstone,H. Brooke Paige (R),53,5,7,6,71,74.65%,8.45%
Manchester,H. Brooke Paige (R),54,6,1,5,66,81.82%,7.58%
Marlboro,H. Brooke Paige (R),33,5,9,2,49,67.35%,4.08%
Marshfield,H. Brooke Paige (R),70,3,9,8,90,77.78%,8.89%
Mendon,H. Brooke Paige (R),69,6,5,5,85,81.18%,5.88%
Middlebury,H. Brooke Paige (R),146,9,7,4,166,87.95%,2.41%
Middlesex,H. Brooke Paige (R),18,6,4,6,34,52.94%,17.65%
Middletown Springs,H. Brooke Paige (R),16,7,2,4,29,55.17%,13.79%
Milton,H. Brooke Paige (R),113,8,10,2,133,84.96%,1.50%
Monkton,H. Brooke Paige (R),32,1,4,6,43,74.42%,13.95%
Montgomery,H. Brooke Paige (R),11,5,1,8,25,44.00%,32.00%
Montpelier,H. Brooke Paige (R),61,6,4,8,79,77.22%,10.13%
Moretown,H. Brooke Paige (R),80,1,7,6,94,85.11%,6.38%
Morgan,H. Brooke Paige (R),56,5,4,3,68,82.35%,4.41%
Morristown,H. Brooke Paige (R),25,1,8,2,36,69.44%,5.56%
Mount Holly,H. Brooke Paige (R),31,7,8,1,47,65.96%,2.13%
Mount Tabor,H. Brooke Paige (R),14,4,8,1,27,51.85%,3.70%
New Haven,H. Brooke Paige (R),76,6,6,9,97,78.35%,9.28%
Newark,H. Brooke Paige (R),37,7,1,3,48,77.08%,6.25%
Newbury,H. Brooke Paige (R),105,7,6,8,126,83.33%,6.35%
Newfane,H. Brooke Paige (R),24,2,5,1,32,75.00%,3.12%
Newport City,H. Brooke Paige (R),41,4,7,7,59,69.49%,11.86%
Newport Town,H. Brooke Paige (R),61,6,6,2,75,81.33%,2.67%
North Hero,H. Brooke Paige (R),84,5,2,5,96,87.50%,5.21%
Northfield,H. Brooke Paige (R),44,1,2,4,51,86.27%,7.84%
Norton,H. Brooke Paige (R),40,5,8,3,56,71.43%,5.36%
Norwich,H. Brooke Paige (R),41,7,7,8,63,65.08%,12.70%
Orange,H. Brooke Paige (R),74,1,4,1,80,92.50%,1.25%
Orwell,H. Brooke Paige (R),53,2,2,6,63,84.13%,9.52%
Panton,H. Brooke Paige (R),74,6,8,7,95,77.89%,7.37%
Pawlet,H. Brooke Paige (R),20,6,2,4,32,62.50%,12.50%
Peacham,H. Brooke Paige (R),31,1,8,1,41,75.61%,2.44%
Peru,H. Brooke Paige (R),38,1,9,5,53,71.70%,9.43%
Pittsfield,H. Brooke Paige (R),34,1,7,10,52,65.38%,19.23%
Pittsford,H. Brooke Paige (R),20,5,10,8,43,46.51%,18.60%
Plainfield,H. Brooke Paige (R),87,5,4,3,99,87.88%,3.03%
Plymouth,H. Brooke Paige (R),29,4,4,4,41,70.73%,9.76%
Pomfret,H. Brooke Paige (R),32,4,6,0,42,76.19%,0.00%
Poultney,H. Brooke Paige (R),58,4,8,3,73,79.45%,4.11%
Pownal,H. Brooke Paige (R),85,5,3,6,99,85.86%,6.06%
Proctor,H. Brooke Paige (R),43,1,6,3,53,81.13%,5.66%
Putney,H. Brooke Paige (R),96,4,10,3,113,84.96%,2.65%
Randolph,H. Brooke Paige (R),84,0,1,3,88,95.45%,3.41%
Reading,H. Brooke Paige (R),47,1,9,2,59,79.66%,3.39%
Readsboro,H. Brooke Paige (R),56,7,5,0,68,82.35%,0.00%
Richford,H. Brooke Paige (R),56,2,4,8,70,80.00%,11.43%
Richmond,H. Brooke Paige (R),9,4,1,4,18,50.00%,22.22%
Ripton,H. Brooke Paige (R),89,1,2,1,93,95.70%,1.08%
Rochester,H. Brooke Paige (R),20,7,1,3,31,64.52%,9.68%
Rockingham,H. Brooke Paige (R),30,5,9,7,51,58.82%,13.73%
Roxbury,H. Brooke Paige (R),37,7,1,2,47,78.72%,4.26%
Royalton,H. Brooke Paige (R),42,5,2,8,57,73.68%,14.04%
