City/Town,Leading Candidate,Bernard Peters (I),Brenda Siegel (D/Prog),Kevin Hoyt (I),Peter Duval (I),Phil Scott (R/Inc.),Write-Ins,Blanks,OverVotes,Total Votes Cast,Phil Scott (R/Inc.) Percent Votes Cast,Brenda Siegel (D/Prog) Percent Votes Cast,OverVotes Percent
Addison,Bernard Peters (I),12345,12345,12345,12345,12345,24,29,22,61800,19.98%,19.98%,0.04%
Albany,Bernard Peters (I),12345,12345,12345,12345,12345,27,20,29,61801,19.98%,19.98%,0.05%
Alburgh,Bernard Peters (I),12345,12345,12345,12345,12345,26,32,25,61808,19.97%,19.97%,0.04%
Andover,Bernard Peters (I),12345,12345,12345,12345,12345,25,22,10,61782,19.98%,19.98%,0.02%
Arlington,Bernard Peters (I),12345,12345,12345,12345,12345,25,22,27,61799,19.98%,19.98%,0.04%
Athens,Bernard Peters (I),12345,12345,12345,12345,12345,23,24,16,61788,19.98%,19.98%,0.03%
Bakersfield,Bernard Peters (I),12345,12345,12345,12345,12345,20,17,26,61788,19.98%,19.98%,0.04%
Baltimore,Bernard Peters (I),12345,12345,12345,12345,12345,9,21,23,61778,19.98%,19.98%,0.04%
Barnard,Bernard Peters (I),12345,12345,12345,12345,12345,18,14,20,61777,19.98%,19.98%,0.03%
Barnet,Bernard Peters (I),12345,12345,12345,12345,12345,25,27,19,61796,19.98%,19.98%,0.03%
Barre City,Bernard Peters (I),12345,12345,12345,12345,12345,22,24,13,61784,19.98%,19.98%,0.02%
Barre Town,Bernard Peters (I),12345,12345,12345,12345,12345,15,23,20,61783,19.98%,19.98%,0.03%
Barton,Bernard Peters (I),12345,12345,12345,12345,12345,24,32,19,61800,19.98%,19.98%,0.03%
Belvidere,Bernard Peters (I),12345,12345,12345,12345,12345,23,23,18,61789,19.98%,19.98%,0.03%
Bennington,Bernard Peters (I),24690,24690,24690,24690,24690,39,40,48,123577,19.98%,19.98%,0.04%
Benson,Bernard Peters (I),12345,12345,12345,12345,12345,17,20,24,61786,19.98%,19.98%,0.04%
Berkshire,Bernard Peters (I),12345,12345,12345,12345,12345,12,12,20,61769,19.99%,19.99%,0.03%
Berlin,Bernard Peters (I),12345,12345,12345,12345,12345,28,21,25,61799,19.98%,19.98%,0.04%
Bethel,Bernard Peters (I),12345,12345,12345,12345,12345,26,16,25,61792,19.98%,19.98%,0.04%
Bloomfield,Bernard Peters (I),12345,12345,12345,12345,12345,25,15,13,61778,19.98%,19.98%,0.02%
Bolton,Bernard Peters (I),12345,12345,12345,12345,12345,21,32,26,61804,19.97%,19.97%,0.04%
Bradford,Bernard Peters (I),12345,12345,12345,12345,12345,22,19,7,61773,19.98%,19.98%,0.01%
Braintree,Bernard Peters (I),12345,12345,12345,12345,12345,14,26,10,61775,19.98%,19.98%,0.02%
Brandon,Bernard Peters (I),12345,12345,12345,12345,12345,29,17,23,61794,19.98%,19.98%,0.04%
Brattleboro,Bernard Peters (I),37035,37035,37035,37035,37035,69,73,65,185382,19.98%,19.98%,0.04%
Bridgewater,Bernard Peters (I),12345,12345,12345,12345,12345,31,32,18,61806,19.97%,19.97%,0.03%
Bridport,Bernard Peters (I),12345,12345,12345,12345,12345,19,23,17,61784,19.98%,19.98%,0.03%
Brighton,Bernard Peters (I),12345,12345,12345,12345,12345,20,24,24,61793,19.98%,19.98%,0.04%
Bristol,Bernard Peters (I),12345,12345,12345,12345,12345,13,23,19,61780,19.98%,19.98%,0.03%
Brookfield,Bernard Peters (I),12345,12345,12345,12345,12345,22,17,20,61784,19.98%,19.98%,0.03%
Brookline,Bernard Peters (I),12345,12345,12345,12345,12345,15,25,29,61794,19.98%,19.98%,0.05%
Brownington,Bernard Peters (I),12345,12345,12345,12345,12345,20,34,20,61799,19.98%,19.98%,0.03%
Brunswick,Bernard Peters (I),12345,12345,12345,12345,12345,17,25,21,61788,19.98%,19.98%,0.03%
Burke,Bernard Peters (I),12345,12345,12345,12345,12345,12,23,22,61782,19.98%,19.98%,0.04%
Burlington,Bernard Peters (I),111105,111105,111105,111105,111105,237,181,224,556167,19.98%,19.98%,0.04%
Cabot,Bernard Peters (I),12345,12345,12345,12345,12345,21,28,20,61794,19.98%,19.98%,0.03%
Calais,Bernard Peters (I),12345,12345,12345,12345,12345,18,32,14,61789,19.98%,19.98%,0.02%
Cambridge,Bernard Peters (I),12345,12345,12345,12345,12345,22,13,8,61768,19.99%,19.99%,0.01%
Canaan,Bernard Peters (I),12345,12345,12345,12345,12345,30,14,31,61800,19.98%,19.98%,0.05%
Castleton,Bernard Peters (I),12345,12345,12345,12345,12345,32,16,32,61805,19.97%,19.97%,0.05%
Cavendish,Bernard Peters (I),12345,12345,12345,12345,12345,17,14,17,61773,19.98%,19.98%,0.03%
Charleston,Bernard Peters (I),12345,12345,12345,12345,12345,27,16,11,61779,19.98%,19.98%,0.02%
Charlotte,Bernard Peters (I),12345,12345,12345,12345,12345,24,26,23,61798,19.98%,19.98%,0.04%
Chelsea,Bernard Peters (I),12345,12345,12345,12345,12345,25,21,28,61799,19.98%,19.98%,0.05%
Chester,Bernard Peters (I),12345,12345,12345,12345,12345,19,24,17,61785,19.98%,19.98%,0.03%
