City/Town,Leading Candidate,BRENDA SIEGEL,Write-Ins,Blanks,Overvotes,Total Votes Cast,BRENDA SIEGEL Percent Votes Cast,Overvotes Percent
Addison,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Albany,BRENDA SIEGEL,135,54,54,27,270,50.00%,10.00%
Alburgh,BRENDA SIEGEL,315,126,126,63,630,50.00%,10.00%
Andover,BRENDA SIEGEL,67,28,27,13,135,49.63%,9.63%
Arlington,BRENDA SIEGEL,427,172,171,85,855,49.94%,9.94%
Athens,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Bakersfield,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Baltimore,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
Barnard,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Barnet,BRENDA SIEGEL,315,126,126,63,630,50.00%,10.00%
Barre City,BRENDA SIEGEL,1350,540,540,270,2700,50.00%,10.00%
Barre Town,BRENDA SIEGEL,1395,558,558,279,2790,50.00%,10.00%
Barton,BRENDA SIEGEL,472,190,189,94,945,49.95%,9.95%
Belvidere,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Bennington,BRENDA SIEGEL,2160,648,432,216,3456,62.50%,6.25%
Benson,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Berkshire,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Berlin,BRENDA SIEGEL,472,190,189,94,945,49.95%,9.95%
Bethel,BRENDA SIEGEL,292,118,117,58,585,49.91%,9.91%
Bloomfield,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
Bolton,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Bradford,BRENDA SIEGEL,472,190,189,94,945,49.95%,9.95%
Braintree,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Brandon,BRENDA SIEGEL,652,262,261,130,1305,49.96%,9.96%
Brattleboro,BRENDA SIEGEL,2137,581,306,153,3177,67.26%,4.82%
Bridgewater,BRENDA SIEGEL,135,54,54,27,270,50.00%,10.00%
Bridport,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
