City/Town,Leading Candidate,SUSAN HATCH,Write-Ins,Blanks,Overvotes,Total Votes Cast,SUSAN HATCH Percent Votes Cast,Overvotes Percent
Addison,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Albany,SUSAN HATCH,56,21,21,10,108,51.85%,9.26%
Alburgh,SUSAN HATCH,127,50,50,25,252,50.40%,9.92%
Andover,SUSAN HATCH,29,10,10,5,54,53.70%,9.26%
Arlington,SUSAN HATCH,172,68,68,34,342,50.29%,9.94%
Athens,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Bakersfield,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Baltimore,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
Barnard,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Barnet,SUSAN HATCH,127,50,50,25,252,50.40%,9.92%
Barre City,SUSAN HATCH,540,216,216,108,1080,50.00%,10.00%
Barre Town,SUSAN HATCH,559,223,223,111,1116,50.09%,9.95%
Barton,SUSAN HATCH,191,75,75,37,378,50.53%,9.79%
Belvidere,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Bennington,SUSAN HATCH,868,258,172,86,1384,62.72%,6.21%
Benson,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Berkshire,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Berlin,SUSAN HATCH,191,75,75,37,378,50.53%,9.79%
Bethel,SUSAN HATCH,119,46,46,23,234,50.85%,9.83%
Bloomfield,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
Bolton,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Bradford,SUSAN HATCH,191,75,75,37,378,50.53%,9.79%
Braintree,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Brandon,SUSAN HATCH,262,104,104,52,522,50.19%,9.96%
Brattleboro,SUSAN HATCH,858,231,122,61,1272,67.45%,4.80%
Bridgewater,SUSAN HATCH,56,21,21,10,108,51.85%,9.26%
Bridport,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Brighton,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Bristol,SUSAN HATCH,289,115,115,57,576,50.17%,9.90%
