City/Town,Leading Candidate,Phil Scott (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Phil Scott (R) Percent Votes Cast,Overvotes Percent
Addison,Phil Scott (R),74,9,4,6,93,79.57%,6.45%
Albany,Phil Scott (R),49,1,2,8,60,81.67%,13.33%
Alburgh,Phil Scott (R),66,3,3,3,75,88.00%,4.00%
Andover,Phil Scott (R),16,7,2,4,29,55.17%,13.79%
Arlington,Phil Scott (R),96,7,3,2,108,88.89%,1.85%
Athens,Phil Scott (R),41,5,0,5,51,80.39%,9.80%
Bakersfield,Phil Scott (R),30,6,8,6,50,60.00%,12.00%
Baltimore,Phil Scott (R),47,9,6,5,67,70.15%,7.46%
Barnard,Phil Scott (R),9,8,4,2,23,39.13%,8.70%
Barnet,Phil Scott (R),31,5,2,4,42,73.81%,9.52%
Barre City,Phil Scott (R),26,7,1,10,44,59.09%,22.73%
Barre Town,Phil Scott (R),44,6,0,8,58,75.86%,13.79%
Barton,Phil Scott (R),95,2,3,7,107,88.79%,6.54%
Belvidere,Phil Scott (R),51,3,5,10,69,73.91%,14.49%
Bennington,Phil Scott (R),63,9,5,5,82,76.83%,6.10%
Benson,Phil Scott (R),91,4,1,3,99,91.92%,3.03%
Berkshire,Phil Scott (R),18,2,7,5,32,56.25%,15.62%
Berlin,Phil Scott (R),4,10,2,7,23,17.39%,30.43%
Bethel,Phil Scott (R),45,7,9,1,62,72.58%,1.61%
Bloomfield,Phil Scott (R),9,0,4,2,15,60.00%,13.33%
Bolton,Phil Scott (R),6,1,1,6,14,42.86%,42.86%
Bradford,Phil Scott (R),55,8,8,10,81,67.90%,12.35%
Braintree,Phil Scott (R),23,6,6,1,36,63.89%,2.78%
Brandon,Phil Scott (R),43,6,3,0,52,82.69%,0.00%
Brattleboro,Phil Scott (R),101,6,6,8,121,83.47%,6.61%
Bridgewater,Phil Scott (R),62,9,3,7,81,76.54%,8.64%
Bridport,Phil Scott (R),7,7,8,4,26,26.92%,15.38%
Brighton,Phil Scott (R),65,3,1,6,75,86.67%,8.00%
Bristol,Phil Scott (R),46,4,9,3,62,74.19%,4.84%
Brookfield,Phil Scott (R),44,1,3,1,49,89.80%,2.04%
Brookline,Phil Scott (R),46,5,8,3,62,74.19%,4.84%
Brownington,Phil Scott (R),88,3,2,9,102,86.27%,8.82%
Brunswick,Phil Scott (R),47,4,3,8,62,75.81%,12.90%
Burke,Phil Scott (R),21,7,6,4,38,55.26%,10.53%
Burlington,Phil Scott (R),454,6,9,9,478,94.98%,1.88%
Cabot,Phil Scott (R),88,10,8,4,110,80.00%,3.64%
Calais,Phil Scott (R),63,8,1,0,72,87.50%,0.00%
Cambridge,Phil Scott (R),21,7,6,10,44,47.73%,22.73%
Canaan,Phil Scott (R),70,6,8,10,94,74.47%,10.64%
Castleton,Phil Scott (R),12,6,1,5,24,50.00%,20.83%
Cavendish,Phil Scott (R),109,5,10,0,124,87.90%,0.00%
Charleston,Phil Scott (R),15,3,4,3,25,60.00%,12.00%
Charlotte,Phil Scott (R),69,1,2,9,81,85.19%,11.11%
Chelsea,Phil Scott (R),12,5,1,4,22,54.55%,18.18%
Chester,Phil Scott (R),16,1,4,10,31,51.61%,32.26%
