City/Town,Leading Candidate,Steve Willson (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Steve Willson (R) Percent Votes Cast,Overvotes Percent
Addison,Steve Willson (R),88,4,4,10,106,83.02%,9.43%
Bridport,Steve Willson (R),35,1,10,10,56,62.50%,17.86%
Bristol,Steve Willson (R),6,2,6,2,16,37.50%,12.50%
Cornwall,Steve Willson (R),34,6,7,4,51,66.67%,7.84%
Ferrisburgh,Steve Willson (R),65,10,0,7,82,79.27%,8.54%
Goshen,Steve Willson (R),44,10,4,1,59,74.58%,1.69%
Granville,Steve Willson (R),104,3,8,9,124,83.87%,7.26%
Hancock,Steve Willson (R),99,1,0,6,106,93.40%,5.66%
Leicester,Steve Willson (R),78,8,9,4,99,78.79%,4.04%
Lincoln,Steve Willson (R),67,2,1,5,75,89.33%,6.67%
Middlebury,Steve Willson (R),138,9,2,5,154,89.61%,3.25%
Monkton,Steve Willson (R),16,1,7,2,26,61.54%,7.69%
New Haven,Steve Willson (R),14,7,7,2,30,46.67%,6.67%
Orwell,Steve Willson (R),6,2,8,2,18,33.33%,11.11%
Panton,Steve Willson (R),52,6,1,7,66,78.79%,10.61%
Ripton,Steve Willson (R),68,3,5,8,84,80.95%,9.52%
Salisbury,Steve Willson (R),19,6,2,0,27,70.37%,0.00%
Shoreham,Steve Willson (R),75,0,9,3,87,86.21%,3.45%
Starksboro,Steve Willson (R),10,3,3,1,17,58.82%,5.88%
Vergennes,Steve Willson (R),20,6,2,8,36,55.56%,22.22%
Waltham,Steve Willson (R),10,7,7,2,26,38.46%,7.69%
Weybridge,Steve Willson (R),96,2,1,7,106,90.57%,6.60%
Whiting,Steve Willson (R),101,8,4,1,114,88.60%,0.88%
