City/Town,Leading Candidate,FREDERICK GILBAR,WILLIAM WILL,Write-Ins,Blanks,Overvotes,Total Votes Cast,FREDERICK GILBAR Percent Votes Cast,WILLIAM WILL Percent Votes Cast,Overvotes Percent
Arlington,STATE REP ARLINGTON BENNINGTON-4,34,11,55,10,7,117,29.06%,9.40%,5.98%
Bennington,FREDERICK GILBAR,117,96,47,8,7,275,42.55%,34.91%,2.55%
Dorset,STATE REP DORSET BENNINGTON RUTLAND,33,6,101,10,10,160,20.62%,3.75%,6.25%
Landgrove,FREDERICK GILBAR,103,87,9,3,4,206,50.00%,42.23%,1.94%
Manchester,STATE REP MANCHESTER BENNINGTON-4,13,44,67,6,6,136,9.56%,32.35%,4.41%
Peru,WILLIAM WILL,16,72,78,7,7,180,8.89%,40.00%,3.89%
Pownal,WILLIAM WILL,175,201,86,10,10,482,36.31%,41.70%,2.07%
Readsboro,WILLIAM WILL,27,84,86,7,9,213,12.68%,39.44%,4.23%
Rupert,STATE REP RUPERT RUTLAND BENNINGTON,34,57,88,5,5,189,17.99%,30.16%,2.65%
Sandgate,STATE REP SANDGATE BENNINGTON-4,58,48,86,5,7,204,28.43%,23.53%,3.43%
Searsburg,WILLIAM WILL,31,73,62,8,8,182,17.03%,40.11%,4.40%
Shaftsbury,FREDERICK GILBAR,84,19,74,4,6,187,44.92%,10.16%,3.21%
Stamford,STATE REP STAMFORD BENNINGTON-1,40,38,112,9,8,207,19.32%,18.36%,3.86%
Sunderland,WILLIAM WILL,43,111,40,8,10,212,20.28%,52.36%,4.72%
Winhall,FREDERICK GILBAR,85,83,25,3,7,203,41.87%,40.89%,3.45%
Woodford,WILLIAM WILL,57,87,79,9,7,239,23.85%,36.40%,2.93%
