City/Town,Leading Candidate,Bobbie J. Roy (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Bobbie J. Roy (R) Percent Votes Cast,Overvotes Percent
Barnet,Bobbie J. Roy (R),60,7,7,8,82,73.17%,9.76%
Burke,Bobbie J. Roy (R),80,10,8,5,103,77.67%,4.85%
Danville,Bobbie J. Roy (R),101,7,4,3,115,87.83%,2.61%
Groton,Bobbie J. Roy (R),53,0,1,9,63,84.13%,14.29%
Hardwick,Bobbie J. Roy (R),14,5,3,1,23,60.87%,4.35%
Kirby,Bobbie J. Roy (R),79,1,7,1,88,89.77%,1.14%
Lyndon,Bobbie J. Roy (R),72,8,1,6,87,82.76%,6.90%
Newark,Bobbie J. Roy (R),75,0,4,3,82,91.46%,3.66%
Peacham,Bobbie J. Roy (R),26,4,4,8,42,61.90%,19.05%
Ryegate,Bobbie J. Roy (R),17,4,3,1,25,68.00%,4.00%
Saint Johnsbury,Bobbie J. Roy (R),23,6,4,3,36,63.89%,8.33%
Sheffield,Bobbie J. Roy (R),77,4,1,9,91,84.62%,9.89%
Stannard,Bobbie J. Roy (R),47,4,3,3,57,82.46%,5.26%
Sutton,Bobbie J. Roy (R),13,2,7,2,24,54.17%,8.33%
Walden,Bobbie J. Roy (R),107,7,9,7,130,82.31%,5.38%
Waterford,Bobbie J. Roy (R),52,0,7,1,60,86.67%,1.67%
Wheelock,Bobbie J. Roy (R),59,8,4,1,72,81.94%,1.39%
