City/Town,Leading Candidate,Nicholas A. Brosseau (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Nicholas A. Brosseau (D) Percent Votes Cast,Overvotes Percent
Bakersfield,Nicholas A. Brosseau (D),102,5,5,5,117,87.18%,4.27%
Berkshire,Nicholas A. Brosseau (D),3,2,1,1,7,42.86%,14.29%
Enosburgh,Nicholas A. Brosseau (D),82,7,6,3,98,83.67%,3.06%
Fairfax,Nicholas A. Brosseau (D),33,6,1,5,45,73.33%,11.11%
Fairfield,Nicholas A. Brosseau (D),75,0,2,5,82,91.46%,6.10%
Fletcher,Nicholas A. Brosseau (D),51,1,9,4,65,78.46%,6.15%
Franklin,Nicholas A. Brosseau (D),65,0,3,6,74,87.84%,8.11%
Georgia,Nicholas A. Brosseau (D),39,5,2,7,53,73.58%,13.21%
Highgate,Nicholas A. Brosseau (D),74,3,2,4,83,89.16%,4.82%
Montgomery,Nicholas A. Brosseau (D),3,0,5,3,11,27.27%,27.27%
Richford,Nicholas A. Brosseau (D),32,3,9,4,48,66.67%,8.33%
Saint Albans City,Nicholas A. Brosseau (D),135,6,6,6,153,88.24%,3.92%
Saint Albans Town,Nicholas A. Brosseau (D),13,7,7,7,34,38.24%,20.59%
Sheldon,Nicholas A. Brosseau (D),18,0,6,3,27,66.67%,11.11%
Swanton,Nicholas A. Brosseau (D),24,3,7,1,35,68.57%,2.86%
