City/Town,Leading Candidate,Kevin Lehoe (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Kevin Lehoe (R) Percent Votes Cast,Overvotes Percent
Belvidere,Kevin Lehoe (R),37,8,3,6,54,68.52%,11.11%
Cambridge,Kevin Lehoe (R),105,6,9,1,121,86.78%,0.83%
Eden,Kevin Lehoe (R),34,6,7,9,56,60.71%,16.07%
Elmore,Kevin Lehoe (R),4,2,3,10,19,21.05%,52.63%
Hyde Park,Kevin Lehoe (R),22,9,1,3,35,62.86%,8.57%
Johnson,Kevin Lehoe (R),84,1,1,7,93,90.32%,7.53%
Morristown,Kevin Lehoe (R),3,7,9,2,21,14.29%,9.52%
Stowe,Kevin Lehoe (R),104,8,5,1,118,88.14%,0.85%
Waterville,Kevin Lehoe (R),93,6,5,0,104,89.42%,0.00%
Wolcott,Kevin Lehoe (R),31,3,1,6,41,75.61%,14.63%
