City/Town,Leading Candidate,BOB WORLEY,Write-Ins,Blanks,Overvotes,Total Votes Cast,BOB WORLEY Percent Votes Cast,Overvotes Percent
Bradford,BOB WORLEY,100,101,8,10,219,45.66%,4.57%
Braintree,STATE REP BRAINTREE ORANGE WASHINGTON ADDISON,22,87,9,7,125,17.60%,5.60%
Brookfield,BOB WORLEY,80,50,6,6,142,56.34%,4.23%
Chelsea,BOB WORLEY,77,30,2,9,118,65.25%,7.63%
Corinth,BOB WORLEY,91,41,9,8,149,61.07%,5.37%
Fairlee,BOB WORLEY,67,55,9,5,136,49.26%,3.68%
Newbury,STATE REP NEWBURY ORANGE CALEDONIA,38,67,6,5,116,32.76%,4.31%
Orange,BOB WORLEY,108,13,4,7,132,81.82%,5.30%
Randolph,BOB WORLEY,74,8,9,5,96,77.08%,5.21%
Strafford,BOB WORLEY,107,50,4,2,163,65.64%,1.23%
Thetford,BOB WORLEY,90,31,3,8,132,68.18%,6.06%
Topsham,BOB WORLEY,80,29,7,10,126,63.49%,7.94%
Tunbridge,BOB WORLEY,69,38,10,1,118,58.47%,0.85%
Vershire,BOB WORLEY,78,43,5,5,131,59.54%,3.82%
Washington,STATE REP WASHINGTON ORANGE-1,41,64,7,9,121,33.88%,7.44%
West Fairlee,BOB WORLEY,35,20,9,5,69,50.72%,7.25%
Williamstown,STATE REP WILLIAMSTOWN ORANGE-3,76,131,7,10,224,33.93%,4.46%
