City/Town,Leading Candidate,Richard Wells Jr (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Richard Wells Jr (R) Percent Votes Cast,Overvotes Percent
Albany,Richard Wells Jr (R),1,5,8,1,15,6.67%,6.67%
Barton,Richard Wells Jr (R),46,8,6,9,69,66.67%,13.04%
Brownington,Richard Wells Jr (R),53,5,1,6,65,81.54%,9.23%
Charleston,Richard Wells Jr (R),73,7,1,2,83,87.95%,2.41%
Coventry,Richard Wells Jr (R),34,6,1,5,46,73.91%,10.87%
Craftsbury,Richard Wells Jr (R),11,10,6,4,31,35.48%,12.90%
Derby,Richard Wells Jr (R),40,3,2,8,53,75.47%,15.09%
Glover,Richard Wells Jr (R),104,4,4,3,115,90.43%,2.61%
Greensboro,Richard Wells Jr (R),27,8,2,6,43,62.79%,13.95%
Holland,Richard Wells Jr (R),10,3,1,9,23,43.48%,39.13%
Irasburg,Richard Wells Jr (R),62,6,7,4,79,78.48%,5.06%
Jay,Richard Wells Jr (R),21,7,3,5,36,58.33%,13.89%
Lowell,Richard Wells Jr (R),38,4,6,5,53,71.70%,9.43%
Morgan,Richard Wells Jr (R),74,6,0,3,83,89.16%,3.61%
Newport City,Richard Wells Jr (R),71,3,3,4,81,87.65%,4.94%
Newport Town,Richard Wells Jr (R),89,7,6,4,106,83.96%,3.77%
Troy,Richard Wells Jr (R),66,4,1,1,72,91.67%,1.39%
Westfield,Richard Wells Jr (R),93,4,8,2,107,86.92%,1.87%
Westmore,Richard Wells Jr (R),68,1,1,6,76,89.47%,7.89%
