City/Town,Leading Candidate,"Johnathan ""J.J."" Bixby (R)",Write-Ins,Blanks,Overvotes,Total Votes Cast,"Johnathan ""J.J."" Bixby (R) Percent Votes Cast",Overvotes Percent
Benson,"Johnathan ""J.J."" Bixby (R)",109,7,6,4,126,86.51%,3.17%
Brandon,"Johnathan ""J.J."" Bixby (R)",24,2,3,2,31,77.42%,6.45%
Castleton,"Johnathan ""J.J."" Bixby (R)",84,9,6,4,103,81.55%,3.88%
Chittenden,"Johnathan ""J.J."" Bixby (R)",12,3,7,7,29,41.38%,24.14%
Clarendon,"Johnathan ""J.J."" Bixby (R)",61,6,1,6,74,82.43%,8.11%
Danby,"Johnathan ""J.J."" Bixby (R)",27,6,4,8,45,60.00%,17.78%
Fair Haven,"Johnathan ""J.J."" Bixby (R)",56,0,7,7,70,80.00%,10.00%
Hubbardton,"Johnathan ""J.J."" Bixby (R)",1,3,3,6,13,7.69%,46.15%
Ira,"Johnathan ""J.J."" Bixby (R)",77,2,3,5,87,88.51%,5.75%
Killington,"Johnathan ""J.J."" Bixby (R)",42,2,3,10,57,73.68%,17.54%
Mendon,"Johnathan ""J.J."" Bixby (R)",47,2,4,1,54,87.04%,1.85%
Middletown Springs,"Johnathan ""J.J."" Bixby (R)",16,7,2,5,30,53.33%,16.67%
Mount Holly,"Johnathan ""J.J."" Bixby (R)",1,6,1,5,13,7.69%,38.46%
Mount Tabor,"Johnathan ""J.J."" Bixby (R)",18,6,10,4,38,47.37%,10.53%
Pawlet,"Johnathan ""J.J."" Bixby (R)",30,2,8,1,41,73.17%,2.44%
Pittsfield,"Johnathan ""J.J."" Bixby (R)",86,5,1,8,100,86.00%,8.00%
Pittsford,"Johnathan ""J.J."" Bixby (R)",70,6,3,10,89,78.65%,11.24%
Poultney,"Johnathan ""J.J."" Bixby (R)",70,4,4,4,82,85.37%,4.88%
Proctor,"Johnathan ""J.J."" Bixby (R)",103,7,7,10,127,81.10%,7.87%
Rutland City,"Johnathan ""J.J."" Bixby (R)",159,9,10,10,188,84.57%,5.32%
Rutland Town,"Johnathan ""J.J."" Bixby (R)",103,9,8,5,125,82.40%,4.00%
Shrewsbury,"Johnathan ""J.J."" Bixby (R)",32,4,1,2,39,82.05%,5.13%
Sudbury,"Johnathan ""J.J."" Bixby (R)",108,2,4,1,115,93.91%,0.87%
Tinmouth,"Johnathan ""J.J."" Bixby (R)",27,5,5,4,41,65.85%,9.76%
Wallingford,"Johnathan ""J.J."" Bixby (R)",65,8,5,1,79,82.28%,1.27%
Wells,"Johnathan ""J.J."" Bixby (R)",93,10,6,5,114,81.58%,4.39%
West Haven,"Johnathan ""J.J."" Bixby (R)",27,4,9,6,46,58.70%,13.04%
West Rutland,"Johnathan ""J.J."" Bixby (R)",19,4,8,2,33,57.58%,6.06%
