City/Town,Leading Candidate,Angela Lawrence (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Angela Lawrence (D) Percent Votes Cast,Overvotes Percent
Athens,Angela Lawrence (D),38,7,8,1,54,70.37%,1.85%
Brattleboro,Angela Lawrence (D),223,10,8,6,247,90.28%,2.43%
Brookline,Angela Lawrence (D),75,7,0,9,91,82.42%,9.89%
Dover,Angela Lawrence (D),19,8,4,10,41,46.34%,24.39%
Dummerston,Angela Lawrence (D),26,3,1,6,36,72.22%,16.67%
Grafton,Angela Lawrence (D),60,0,3,8,71,84.51%,11.27%
Guilford,Angela Lawrence (D),92,9,5,3,109,84.40%,2.75%
Halifax,Angela Lawrence (D),30,4,7,2,43,69.77%,4.65%
Jamaica,Angela Lawrence (D),42,9,2,3,56,75.00%,5.36%
Londonderry,Angela Lawrence (D),58,2,10,4,74,78.38%,5.41%
Marlboro,Angela Lawrence (D),101,1,7,2,111,90.99%,1.80%
Newfane,Angela Lawrence (D),25,1,2,2,30,83.33%,6.67%
Putney,Angela Lawrence (D),80,3,4,4,91,87.91%,4.40%
Rockingham,Angela Lawrence (D),18,7,0,1,26,69.23%,3.85%
Stratton,Angela Lawrence (D),77,4,3,8,92,83.70%,8.70%
Townshend,Angela Lawrence (D),8,3,7,4,22,36.36%,18.18%
Vernon,Angela Lawrence (D),101,1,0,9,111,90.99%,8.11%
Wardsboro,Angela Lawrence (D),70,3,7,2,82,85.37%,2.44%
Westminster,Angela Lawrence (D),11,0,3,5,19,57.89%,26.32%
Whitingham,Angela Lawrence (D),27,2,1,9,39,69.23%,23.08%
Wilmington,Angela Lawrence (D),100,7,4,6,117,85.47%,5.13%
Windham,Angela Lawrence (D),53,1,1,10,65,81.54%,15.38%
