City/Town,Leading Candidate,Hudson Ranney (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Hudson Ranney (D) Percent Votes Cast,Overvotes Percent
Andover,Hudson Ranney (D),33,1,10,7,51,64.71%,13.73%
Baltimore,Hudson Ranney (D),13,2,3,8,26,50.00%,30.77%
Barnard,Hudson Ranney (D),108,3,4,6,121,89.26%,4.96%
Bethel,Hudson Ranney (D),46,8,1,6,61,75.41%,9.84%
Bridgewater,Hudson Ranney (D),24,8,8,2,42,57.14%,4.76%
Cavendish,Hudson Ranney (D),62,8,7,6,83,74.70%,7.23%
Chester,Hudson Ranney (D),27,9,7,7,50,54.00%,14.00%
Hartford,Hudson Ranney (D),95,6,8,8,117,81.20%,6.84%
Hartland,Hudson Ranney (D),15,3,6,4,28,53.57%,14.29%
Ludlow,Hudson Ranney (D),9,1,8,7,25,36.00%,28.00%
Norwich,Hudson Ranney (D),51,3,6,6,66,77.27%,9.09%
Plymouth,Hudson Ranney (D),22,4,1,0,27,81.48%,0.00%
Pomfret,Hudson Ranney (D),29,3,0,3,35,82.86%,8.57%
Reading,Hudson Ranney (D),82,7,1,6,96,85.42%,6.25%
Rochester,Hudson Ranney (D),77,2,3,10,92,83.70%,10.87%
Royalton,Hudson Ranney (D),42,6,5,4,57,73.68%,7.02%
Sharon,Hudson Ranney (D),5,4,1,10,20,25.00%,50.00%
Springfield,Hudson Ranney (D),32,8,7,6,53,60.38%,11.32%
Stockbridge,Hudson Ranney (D),101,3,6,1,111,90.99%,0.90%
Weathersfield,Hudson Ranney (D),10,1,7,2,20,50.00%,10.00%
West Windsor,Hudson Ranney (D),4,6,1,5,16,25.00%,31.25%
Weston,Hudson Ranney (D),49,4,7,5,65,75.38%,7.69%
Windsor,Hudson Ranney (D),44,0,7,8,59,74.58%,13.56%
Woodstock,Hudson Ranney (D),74,5,7,8,94,78.72%,8.51%
