City/Town,Leading Candidate,David Zuckerman (Prog/D),Ian Diamondstone (PJ),John S. Rodgers (R),Write-Ins,Blanks,OverVotes,Total Votes Cast,David Zuckerman (Prog/D) Percent Votes Cast,IAN DIAMONDSTONE Percent Votes Cast,John S. Rodgers (R) Percent Votes Cast,OverVotes Percent
Addison,David Zuckerman (Prog/D),95,56,54,14,17,6,242,39.26%,23.14%,22.31%,2.48%
Albany,John S. Rodgers (R),43,76,85,2,6,14,226,19.03%,33.63%,37.61%,6.19%
Alburgh,John S. Rodgers (R),14,29,75,7,19,25,169,8.28%,17.16%,44.38%,14.79%
Andover,David Zuckerman (Prog/D),71,68,13,18,13,8,191,37.17%,35.60%,6.81%,4.19%
Arlington,David Zuckerman (Prog/D),83,34,69,5,13,3,207,40.10%,16.43%,33.33%,1.45%
Athens,Ian Diamondstone (PJ),60,74,51,12,16,12,225,26.67%,32.89%,22.67%,5.33%
Bakersfield,John S. Rodgers (R),33,84,85,17,21,22,262,12.60%,32.06%,32.44%,8.40%
Baltimore,David Zuckerman (Prog/D),80,43,51,8,17,12,211,37.91%,20.38%,24.17%,5.69%
Barnard,John S. Rodgers (R),27,31,77,10,22,15,182,14.84%,17.03%,42.31%,8.24%
Barnet,David Zuckerman (Prog/D),39,22,24,15,8,17,125,31.20%,17.60%,19.20%,13.60%
Barre City,John S. Rodgers (R),20,3,38,6,15,9,91,21.98%,3.30%,41.76%,9.89%
Barre Town,John S. Rodgers (R),72,1,99,5,20,7,204,35.29%,0.49%,48.53%,3.43%
Barton,John S. Rodgers (R),39,52,55,18,20,9,193,20.21%,26.94%,28.50%,4.66%
Belvidere,David Zuckerman (Prog/D),80,75,22,7,6,10,200,40.00%,37.50%,11.00%,5.00%
Bennington,David Zuckerman (Prog/D),124,19,122,36,27,12,340,36.47%,5.59%,35.88%,3.53%
Benson,Ian Diamondstone (PJ),75,81,26,23,13,12,230,32.61%,35.22%,11.30%,5.22%
Berkshire,David Zuckerman (Prog/D),55,39,27,12,8,5,146,37.67%,26.71%,18.49%,3.42%
Berlin,John S. Rodgers (R),58,23,100,14,16,22,233,24.89%,9.87%,42.92%,9.44%
Bethel,John S. Rodgers (R),45,14,77,21,13,16,186,24.19%,7.53%,41.40%,8.60%
Bloomfield,Ian Diamondstone (PJ),45,86,32,23,11,7,204,22.06%,42.16%,15.69%,3.43%
Bolton,Ian Diamondstone (PJ),61,65,36,11,17,10,200,30.50%,32.50%,18.00%,5.00%
Bradford,David Zuckerman (Prog/D),91,42,62,23,23,13,254,35.83%,16.54%,24.41%,5.12%
Braintree,David Zuckerman (Prog/D),77,9,10,10,11,17,134,57.46%,6.72%,7.46%,12.69%
Brandon,David Zuckerman (Prog/D),87,44,63,16,8,20,238,36.55%,18.49%,26.47%,8.40%
Brattleboro,John S. Rodgers (R),95,112,172,51,40,36,506,18.77%,22.13%,33.99%,7.11%
Bridgewater,John S. Rodgers (R),40,72,80,21,9,11,233,17.17%,30.90%,34.33%,4.72%
Bridport,Ian Diamondstone (PJ),66,90,76,15,18,11,276,23.91%,32.61%,27.54%,3.99%
Brighton,David Zuckerman (Prog/D),83,66,68,9,5,11,242,34.30%,27.27%,28.10%,4.55%
Bristol,Ian Diamondstone (PJ),23,63,26,12,15,15,154,14.94%,40.91%,16.88%,9.74%
Brookfield,David Zuckerman (Prog/D),89,26,32,3,21,4,175,50.86%,14.86%,18.29%,2.29%
Brookline,Ian Diamondstone (PJ),41,83,77,12,7,19,239,17.15%,34.73%,32.22%,7.95%
Brownington,David Zuckerman (Prog/D),89,26,73,20,8,19,235,37.87%,11.06%,31.06%,8.09%
Brunswick,David Zuckerman (Prog/D),94,45,68,8,18,18,251,37.45%,17.93%,27.09%,7.17%
Burke,David Zuckerman (Prog/D),85,5,83,10,16,13,212,40.09%,2.36%,39.15%,6.13%
Burlington,Ian Diamondstone (PJ),293,351,201,83,79,82,1089,26.91%,32.23%,18.46%,7.53%
Cabot,John S. Rodgers (R),5,5,18,8,7,20,63,7.94%,7.94%,28.57%,31.75%
Calais,David Zuckerman (Prog/D),64,15,43,14,7,19,162,39.51%,9.26%,26.54%,11.73%
Cambridge,Ian Diamondstone (PJ),58,81,15,18,12,14,198,29.29%,40.91%,7.58%,7.07%
Canaan,Ian Diamondstone (PJ),72,106,76,21,9,24,308,23.38%,34.42%,24.68%,7.79%
Castleton,Ian Diamondstone (PJ),46,65,15,20,13,10,169,27.22%,38.46%,8.88%,5.92%
Cavendish,Ian Diamondstone (PJ),11,82,16,16,11,24,160,6.88%,51.25%,10.00%,15.00%
Charleston,Ian Diamondstone (PJ),17,79,10,23,10,3,142,11.97%,55.63%,7.04%,2.11%
Charlotte,John S. Rodgers (R),35,65,103,13,10,4,230,15.22%,28.26%,44.78%,1.74%
Chelsea,Ian Diamondstone (PJ),34,100,81,20,10,7,252,13.49%,39.68%,32.14%,2.78%
Chester,John S. Rodgers (R),12,22,69,14,23,11,151,7.95%,14.57%,45.70%,7.28%
Chittenden,David Zuckerman (Prog/D),58,26,25,19,9,17,154,37.66%,16.88%,16.23%,11.04%
Clarendon,David Zuckerman (Prog/D),95,23,26,10,15,14,183,51.91%,12.57%,14.21%,7.65%
Colchester,John S. Rodgers (R),206,82,251,39,39,41,658,31.31%,12.46%,38.15%,6.23%
Concord,Ian Diamondstone (PJ),20,61,24,10,16,16,147,13.61%,41.50%,16.33%,10.88%
Corinth,Ian Diamondstone (PJ),21,35,15,6,10,10,97,21.65%,36.08%,15.46%,10.31%
Cornwall,John S. Rodgers (R),5,1,8,20,16,7,57,8.77%,1.75%,14.04%,12.28%
Coventry,David Zuckerman (Prog/D),93,62,41,7,15,17,235,39.57%,26.38%,17.45%,7.23%
Craftsbury,David Zuckerman (Prog/D),87,36,66,18,16,8,231,37.66%,15.58%,28.57%,3.46%
Danby,John S. Rodgers (R),1,73,102,18,16,10,220,0.45%,33.18%,46.36%,4.55%
Danville,John S. Rodgers (R),14,37,72,6,10,4,143,9.79%,25.87%,50.35%,2.80%
Derby,Ian Diamondstone (PJ),23,57,1,18,20,9,128,17.97%,44.53%,0.78%,7.03%
Dorset,Ian Diamondstone (PJ),12,28,11,11,10,19,91,13.19%,30.77%,12.09%,20.88%
Dover,David Zuckerman (Prog/D),96,85,74,8,12,9,284,33.80%,29.93%,26.06%,3.17%
Dummerston,John S. Rodgers (R),64,41,98,15,20,9,247,25.91%,16.60%,39.68%,3.64%
Duxbury,David Zuckerman (Prog/D),38,16,2,11,13,9,89,42.70%,17.98%,2.25%,10.11%
East Haven,Ian Diamondstone (PJ),41,56,26,10,16,5,154,26.62%,36.36%,16.88%,3.25%
East Montpelier,Ian Diamondstone (PJ),16,44,35,16,15,16,142,11.27%,30.99%,24.65%,11.27%
Eden,David Zuckerman (Prog/D),74,6,3,17,22,15,137,54.01%,4.38%,2.19%,10.95%
Elmore,Ian Diamondstone (PJ),23,62,45,9,14,21,174,13.22%,35.63%,25.86%,12.07%
Enosburgh,Ian Diamondstone (PJ),54,96,74,11,6,26,267,20.22%,35.96%,27.72%,9.74%
Essex Junction,John S. Rodgers (R),87,63,96,24,24,38,332,26.20%,18.98%,28.92%,11.45%
Essex,Ian Diamondstone (PJ),103,111,94,25,20,20,373,27.61%,29.76%,25.20%,5.36%
Fair Haven,John S. Rodgers (R),12,1,89,12,8,2,124,9.68%,0.81%,71.77%,1.61%
Fairfax,David Zuckerman (Prog/D),68,19,58,20,13,20,198,34.34%,9.60%,29.29%,10.10%
Fairfield,Ian Diamondstone (PJ),40,56,31,5,10,6,148,27.03%,37.84%,20.95%,4.05%
Fairlee,John S. Rodgers (R),30,46,79,18,8,19,200,15.00%,23.00%,39.50%,9.50%
Fayston,David Zuckerman (Prog/D),92,18,27,5,8,19,169,54.44%,10.65%,15.98%,11.24%
Ferrisburgh,David Zuckerman (Prog/D),94,34,85,14,6,18,251,37.45%,13.55%,33.86%,7.17%
Fletcher,Ian Diamondstone (PJ),39,51,30,13,11,10,154,25.32%,33.12%,19.48%,6.49%
