City/Town,Leading Candidate,John S. Rodgers (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,John S. Rodgers (R) Percent Votes Cast,Overvotes Percent
Addison,John S. Rodgers (R),82,2,9,4,97,84.54%,4.12%
Albany,John S. Rodgers (R),11,8,7,4,30,36.67%,13.33%
Alburgh,John S. Rodgers (R),4,3,7,8,22,18.18%,36.36%
Andover,John S. Rodgers (R),12,5,5,5,27,44.44%,18.52%
Arlington,John S. Rodgers (R),63,0,4,5,72,87.50%,6.94%
Athens,John S. Rodgers (R),9,1,2,8,20,45.00%,40.00%
Bakersfield,John S. Rodgers (R),60,2,7,9,78,76.92%,11.54%
Baltimore,John S. Rodgers (R),105,8,10,9,132,79.55%,6.82%
Barnard,John S. Rodgers (R),62,6,4,0,72,86.11%,0.00%
Barnet,John S. Rodgers (R),34,7,2,6,49,69.39%,12.24%
Barre City,John S. Rodgers (R),5,1,2,6,14,35.71%,42.86%
Barre Town,John S. Rodgers (R),72,10,8,3,93,77.42%,3.23%
Barton,John S. Rodgers (R),3,8,9,2,22,13.64%,9.09%
Belvidere,John S. Rodgers (R),22,1,5,1,29,75.86%,3.45%
Bennington,John S. Rodgers (R),156,7,5,7,175,89.14%,4.00%
Benson,John S. Rodgers (R),13,4,3,2,22,59.09%,9.09%
Berkshire,John S. Rodgers (R),53,8,4,0,65,81.54%,0.00%
Berlin,John S. Rodgers (R),80,4,1,8,93,86.02%,8.60%
Bethel,John S. Rodgers (R),50,6,5,1,62,80.65%,1.61%
Bloomfield,John S. Rodgers (R),81,1,4,1,87,93.10%,1.15%
Bolton,John S. Rodgers (R),6,8,1,8,23,26.09%,34.78%
Bradford,John S. Rodgers (R),29,8,4,6,47,61.70%,12.77%
Braintree,John S. Rodgers (R),46,5,1,1,53,86.79%,1.89%
Brandon,John S. Rodgers (R),82,6,1,8,97,84.54%,8.25%
Brattleboro,John S. Rodgers (R),96,7,7,9,119,80.67%,7.56%
Bridgewater,John S. Rodgers (R),62,8,2,3,75,82.67%,4.00%
Bridport,John S. Rodgers (R),23,0,8,2,33,69.70%,6.06%
Brighton,John S. Rodgers (R),10,7,4,8,29,34.48%,27.59%
Bristol,John S. Rodgers (R),42,5,4,1,52,80.77%,1.92%
Brookfield,John S. Rodgers (R),33,7,8,8,56,58.93%,14.29%
Brookline,John S. Rodgers (R),40,8,4,1,53,75.47%,1.89%
Brownington,John S. Rodgers (R),88,4,1,8,101,87.13%,7.92%
Brunswick,John S. Rodgers (R),24,1,1,8,34,70.59%,23.53%
