City/Town,Leading Candidate,Donald Trump (R),Joe Biden (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Donald Trump (R) Percent Votes Cast,Joe Biden (D) Percent Votes Cast,OverVotes Percent
Addison,Joe Biden (D),379,445,4,96,0,966,39.23%,46.07%,0.00%
Albany,Joe Biden (D),235,286,3,115,0,655,35.88%,43.66%,0.00%
Alburgh,Joe Biden (D),499,550,5,225,0,1304,38.27%,42.18%,0.00%
Andover,Joe Biden (D),132,216,3,72,0,437,30.21%,49.43%,0.00%
Arlington,Joe Biden (D),511,929,3,384,0,1869,27.34%,49.71%,0.00%
Athens,Joe Biden (D),84,120,0,0,0,214,39.25%,56.07%,0.00%
Bakersfield,Joe Biden (D),272,395,3,115,0,811,33.54%,48.71%,0.00%
Baltimore,Donald Trump (R),72,63,0,0,0,143,50.35%,44.06%,0.00%
Barnard,Joe Biden (D),177,465,31,120,0,812,21.80%,57.27%,0.00%
Barnet,Joe Biden (D),437,624,61,243,0,1390,31.44%,44.89%,0.00%
Barre City,Joe Biden (D),1298,2380,9,1316,0,5123,25.34%,46.46%,0.00%
Barre Town,Joe Biden (D),2093,2512,14,2201,0,6967,30.04%,36.06%,0.00%
Barton,Joe Biden (D),570,687,3,240,0,1536,37.11%,44.73%,0.00%
Belvidere,Donald Trump (R),93,79,1,44,0,220,42.27%,35.91%,0.00%
Bennington,Joe Biden (D),2473,4369,34,1464,0,8560,28.89%,51.04%,0.00%
Benson,Donald Trump (R),305,258,2,207,0,790,38.61%,32.66%,0.00%
Berkshire,Donald Trump (R),402,284,3,192,0,903,44.52%,31.45%,0.00%
Berlin,Joe Biden (D),520,960,10,513,0,2047,25.40%,46.90%,0.00%
Bethel,Joe Biden (D),381,728,6,360,0,1507,25.28%,48.31%,0.00%
Bloomfield,Donald Trump (R),73,55,0,0,0,130,56.15%,42.31%,0.00%
Bolton,Joe Biden (D),218,537,6,192,0,970,22.47%,55.36%,0.00%
Bradford,Joe Biden (D),549,893,10,390,0,1884,29.14%,47.40%,0.00%
Braintree,Joe Biden (D),260,434,6,25,0,742,35.04%,58.49%,0.00%
Brandon,Joe Biden (D),896,1213,5,624,0,2808,31.91%,43.20%,0.00%
Brattleboro,Joe Biden (D),1053,5423,80,1244,0,7959,13.23%,68.14%,0.00%
Bridgewater,Joe Biden (D),212,372,1,88,0,689,30.77%,53.99%,0.00%
Bridport,Joe Biden (D),321,392,7,156,0,894,35.91%,43.85%,0.00%
Brighton,Donald Trump (R),342,258,3,0,0,619,55.25%,41.68%,0.00%
Bristol,Joe Biden (D),691,1482,200,459,0,2886,23.94%,51.35%,0.00%
Brookfield,Joe Biden (D),307,506,5,104,0,956,32.11%,52.93%,0.00%
Brookline,Joe Biden (D),96,217,2,69,0,398,24.12%,54.52%,0.00%
Brownington,Donald Trump (R),265,218,1,66,0,556,47.66%,39.21%,0.00%
Brunswick,Donald Trump (R),35,27,0,21,0,85,41.18%,31.76%,0.00%
Burke,Joe Biden (D),366,534,5,96,0,1020,35.88%,52.35%,0.00%
Burlington,Joe Biden (D),2293,19238,128,5177,0,27395,8.37%,70.22%,0.00%
Cabot,Joe Biden (D),296,558,8,208,0,1100,26.91%,50.73%,0.00%
Calais,Joe Biden (D),221,886,10,150,0,1298,17.03%,68.26%,0.00%
Cambridge,Joe Biden (D),587,1521,45,570,0,2798,20.98%,54.36%,0.00%
Canaan,Donald Trump (R),241,239,4,96,0,594,40.57%,40.24%,0.00%
Castleton,Joe Biden (D),1042,1056,7,475,0,2636,39.53%,40.06%,0.00%
Cavendish,Joe Biden (D),297,466,6,104,0,896,33.15%,52.01%,0.00%
Charleston,Donald Trump (R),274,247,2,46,0,587,46.68%,42.08%,0.00%
Charlotte,Joe Biden (D),511,2285,10,868,0,3754,13.61%,60.87%,0.00%
Chelsea,Joe Biden (D),284,404,5,364,0,1087,26.13%,37.17%,0.00%
Chester,Joe Biden (D),619,1089,19,300,0,2072,29.87%,52.56%,0.00%
Chittenden,Joe Biden (D),343,473,2,115,0,968,35.43%,48.86%,0.00%
Clarendon,Donald Trump (R),782,656,3,322,0,1791,43.66%,36.63%,0.00%
Colchester,Joe Biden (D),2852,6451,51,3542,0,13136,21.71%,49.11%,0.00%
Concord,Donald Trump (R),343,262,2,184,0,814,42.14%,32.19%,0.00%
Corinth,Joe Biden (D),350,459,2,276,0,1106,31.65%,41.50%,0.00%
Cornwall,Joe Biden (D),145,663,10,390,0,1240,11.69%,53.47%,0.00%
Coventry,Donald Trump (R),294,245,7,120,0,688,42.73%,35.61%,0.00%
Craftsbury,Joe Biden (D),190,558,9,234,0,1008,18.85%,55.36%,0.00%
Danby,Donald Trump (R),405,325,1,220,0,975,41.54%,33.33%,0.00%
Danville,Joe Biden (D),559,855,8,810,0,2279,24.53%,37.52%,0.00%
Derby,Donald Trump (R),1280,1167,36,432,0,2973,43.05%,39.25%,0.00%
Dorset,Joe Biden (D),377,997,12,290,0,1703,22.14%,58.54%,0.00%
Dover,Joe Biden (D),296,613,126,168,0,1236,23.95%,49.60%,0.00%
Dummerston,Joe Biden (D),281,1035,12,286,0,1643,17.10%,62.99%,0.00%
