City/Town,Leading Candidate,SARAH R.,Write-Ins,Blanks,Overvotes,Total Votes Cast,SARAH R. Percent Votes Cast,Overvotes Percent
Addison,SARAH R.,247,100,49,99,495,49.90%,20.00%
Bridport,SARAH R.,202,82,40,81,405,49.88%,20.00%
Bristol,SARAH R.,720,288,144,288,1440,50.00%,20.00%
Cornwall,SARAH R.,225,90,45,90,450,50.00%,20.00%
Ferrisburgh,SARAH R.,517,208,103,207,1035,49.95%,20.00%
Goshen,SARAH R.,23,9,4,9,45,51.11%,20.00%
Granville,SARAH R.,45,18,9,18,90,50.00%,20.00%
Hancock,SARAH R.,45,18,9,18,90,50.00%,20.00%
Leicester,SARAH R.,158,63,31,63,315,50.16%,20.00%
Lincoln,SARAH R.,247,100,49,99,495,49.90%,20.00%
Middlebury,SARAH R.,1282,460,229,459,2430,52.76%,18.89%
Monkton,SARAH R.,405,162,81,162,810,50.00%,20.00%
New Haven,SARAH R.,269,82,40,81,472,56.99%,17.16%
Orwell,SARAH R.,202,82,40,81,405,49.88%,20.00%
Panton,SARAH R.,112,46,22,45,225,49.78%,20.00%
Ripton,SARAH R.,90,36,18,36,180,50.00%,20.00%
Salisbury,SARAH R.,203,81,40,81,405,50.12%,20.00%
Shoreham,SARAH R.,180,72,36,72,360,50.00%,20.00%
Starksboro,SARAH R.,292,118,58,117,585,49.91%,20.00%
Vergennes,SARAH R.,472,190,94,189,945,49.95%,20.00%
Waltham,SARAH R.,90,36,18,36,180,50.00%,20.00%
Weybridge,SARAH R.,157,64,31,63,315,49.84%,20.00%
Whiting,SARAH R.,45,18,9,18,90,50.00%,20.00%
