City/Town,Leading Candidate,Jim Dingley (D),Lon T. McClintock (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Jim Dingley (D) Percent Votes Cast,Lon T. McClintock (D) Percent Votes Cast,Overvotes Percent
Arlington,Jim Dingley (D),42,11,6,10,9,78,53.85%,14.10%,11.54%
Bennington,Lon T. McClintock (D),56,147,10,4,8,225,24.89%,65.33%,3.56%
Dorset,Lon T. McClintock (D),8,64,8,9,8,97,8.25%,65.98%,8.25%
Landgrove,Jim Dingley (D),53,40,9,10,4,116,45.69%,34.48%,3.45%
Manchester,Jim Dingley (D),46,37,1,10,3,97,47.42%,38.14%,3.09%
Peru,Lon T. McClintock (D),31,31,2,6,10,80,38.75%,38.75%,12.50%
Pownal,Jim Dingley (D),67,33,9,6,8,123,54.47%,26.83%,6.50%
Readsboro,Lon T. McClintock (D),49,106,10,6,6,177,27.68%,59.89%,3.39%
Rupert,Jim Dingley (D),31,5,5,1,2,44,70.45%,11.36%,4.55%
Sandgate,Jim Dingley (D),87,17,10,9,5,128,67.97%,13.28%,3.91%
Searsburg,Lon T. McClintock (D),3,31,6,7,8,55,5.45%,56.36%,14.55%
Shaftsbury,Jim Dingley (D),91,48,9,5,7,160,56.88%,30.00%,4.38%
Stamford,Jim Dingley (D),66,56,7,10,10,149,44.30%,37.58%,6.71%
Sunderland,Lon T. McClintock (D),51,153,10,7,6,227,22.47%,67.40%,2.64%
Winhall,Lon T. McClintock (D),25,59,8,5,2,99,25.25%,59.60%,2.02%
Woodford,Lon T. McClintock (D),72,106,8,9,5,200,36.00%,53.00%,2.50%
