City/Town,Leading Candidate,WILLIAM W.,Write-Ins,Blanks,Overvotes,Total Votes Cast,WILLIAM W. Percent Votes Cast,Overvotes Percent
Barnet,WILLIAM W.,189,126,126,189,630,30.00%,30.00%
Burke,WILLIAM W.,162,108,108,162,540,30.00%,30.00%
Danville,WILLIAM W.,243,162,162,243,810,30.00%,30.00%
Groton,WILLIAM W.,94,63,63,95,315,29.84%,30.16%
Hardwick,WILLIAM W.,297,198,198,297,990,30.00%,30.00%
Kirby,WILLIAM W.,54,36,36,54,180,30.00%,30.00%
Lyndon,WILLIAM W.,486,324,324,486,1620,30.00%,30.00%
Newark,WILLIAM W.,54,36,36,54,180,30.00%,30.00%
Peacham,WILLIAM W.,81,54,54,81,270,30.00%,30.00%
Ryegate,WILLIAM W.,108,72,72,108,360,30.00%,30.00%
Saint Johnsbury,WILLIAM W.,607,405,405,608,2025,29.98%,30.02%
Sheffield,WILLIAM W.,54,36,36,54,180,30.00%,30.00%
Stannard,WILLIAM W.,13,9,9,14,45,28.89%,31.11%
Sutton,WILLIAM W.,94,63,63,95,315,29.84%,30.16%
Walden,WILLIAM W.,94,63,63,95,315,29.84%,30.16%
Waterford,WILLIAM W.,135,90,90,135,450,30.00%,30.00%
Wheelock,WILLIAM W.,67,45,45,68,225,29.78%,30.22%
