City/Town,Leading Candidate,Gregory J. Glennon (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Gregory J. Glennon (D) Percent Votes Cast,Overvotes Percent
Bolton,Gregory J. Glennon (D),105,1,3,7,116,90.52%,6.03%
Burlington,Gregory J. Glennon (D),308,10,6,8,332,92.77%,2.41%
Charlotte,Gregory J. Glennon (D),107,5,10,5,127,84.25%,3.94%
Colchester,Gregory J. Glennon (D),76,8,6,8,98,77.55%,8.16%
Essex Junction,Gregory J. Glennon (D),149,9,6,7,171,87.13%,4.09%
Essex,Gregory J. Glennon (D),30,3,6,8,47,63.83%,17.02%
Hinesburg,Gregory J. Glennon (D),117,7,10,5,139,84.17%,3.60%
Huntington,Gregory J. Glennon (D),64,4,7,8,83,77.11%,9.64%
Jericho,Gregory J. Glennon (D),79,3,6,2,90,87.78%,2.22%
Milton,Gregory J. Glennon (D),137,8,7,7,159,86.16%,4.40%
Richmond,Gregory J. Glennon (D),21,5,2,3,31,67.74%,9.68%
Saint George,Gregory J. Glennon (D),35,5,2,7,49,71.43%,14.29%
Shelburne,Gregory J. Glennon (D),87,5,10,9,111,78.38%,8.11%
South Burlington,Gregory J. Glennon (D),262,7,10,6,285,91.93%,2.11%
Underhill,Gregory J. Glennon (D),67,8,9,5,89,75.28%,5.62%
Westford,Gregory J. Glennon (D),41,6,8,8,63,65.08%,12.70%
Williston,Gregory J. Glennon (D),63,5,2,5,75,84.00%,6.67%
Winooski,Gregory J. Glennon (D),41,3,8,0,52,78.85%,0.00%
