City/Town,Leading Candidate,VAUGHN S.,Write-Ins,Blanks,Overvotes,Total Votes Cast,VAUGHN S. Percent Votes Cast,Overvotes Percent
Bakersfield,VAUGHN S.,121,81,82,121,405,29.88%,29.88%
Berkshire,VAUGHN S.,135,90,90,135,450,30.00%,30.00%
Enosburgh,VAUGHN S.,283,189,190,283,945,29.95%,29.95%
Fairfax,VAUGHN S.,526,351,351,527,1755,29.97%,30.03%
Fairfield,VAUGHN S.,189,126,126,189,630,30.00%,30.00%
Fletcher,VAUGHN S.,135,90,90,135,450,30.00%,30.00%
Franklin,VAUGHN S.,135,90,90,135,450,30.00%,30.00%
Georgia,VAUGHN S.,499,279,280,418,1476,33.81%,28.32%
Highgate,VAUGHN S.,324,216,216,324,1080,30.00%,30.00%
Montgomery,VAUGHN S.,121,81,81,122,405,29.88%,30.12%
Richford,VAUGHN S.,216,144,144,216,720,30.00%,30.00%
Saint Albans City,VAUGHN S.,755,351,351,527,1984,38.05%,26.56%
Saint Albans Town,VAUGHN S.,688,297,297,446,1728,39.81%,25.81%
Sheldon,VAUGHN S.,189,126,126,189,630,30.00%,30.00%
Swanton,VAUGHN S.,621,414,414,621,2070,30.00%,30.00%
