City/Town,Leading Candidate,Bob Farrar (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Bob Farrar (R) Percent Votes Cast,Overvotes Percent
Bakersfield,Bob Farrar (R),41,0,6,0,47,87.23%,0.00%
Berkshire,Bob Farrar (R),86,11,8,0,105,81.90%,0.00%
Fairfax,Bob Farrar (R),154,1,35,0,190,81.05%,0.00%
Fletcher,Bob Farrar (R),42,1,10,0,53,79.25%,0.00%
Georgia,Bob Farrar (R),163,1,30,1,195,83.59%,0.51%
Highgate,Bob Farrar (R),179,4,14,0,197,90.86%,0.00%
Montgomery,Bob Farrar (R),55,3,27,0,85,64.71%,0.00%
Richford,Bob Farrar (R),98,5,12,0,115,85.22%,0.00%
Saint Albans City,Bob Farrar (R),117,0,14,0,131,89.31%,0.00%
Saint Albans Town,Bob Farrar (R),245,1,15,0,261,93.87%,0.00%
Swanton,Bob Farrar (R),231,3,22,0,256,90.23%,0.00%
