City/Town,Leading Candidate,Kathryn A.C. Kennedy (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Kathryn A.C. Kennedy (D) Percent Votes Cast,Overvotes Percent
Bradford,Kathryn A.C. Kennedy (D),2,6,6,7,21,9.52%,33.33%
Braintree,Kathryn A.C. Kennedy (D),4,7,3,7,21,19.05%,33.33%
Brookfield,Kathryn A.C. Kennedy (D),33,4,2,9,48,68.75%,18.75%
Chelsea,Kathryn A.C. Kennedy (D),80,8,1,2,91,87.91%,2.20%
Corinth,Kathryn A.C. Kennedy (D),52,6,1,2,61,85.25%,3.28%
Fairlee,Kathryn A.C. Kennedy (D),85,6,8,2,101,84.16%,1.98%
Newbury,Kathryn A.C. Kennedy (D),64,8,0,4,76,84.21%,5.26%
Orange,Kathryn A.C. Kennedy (D),80,7,4,9,100,80.00%,9.00%
Randolph,Kathryn A.C. Kennedy (D),67,8,1,0,76,88.16%,0.00%
Strafford,Kathryn A.C. Kennedy (D),78,8,9,8,103,75.73%,7.77%
Thetford,Kathryn A.C. Kennedy (D),20,6,4,1,31,64.52%,3.23%
Topsham,Kathryn A.C. Kennedy (D),55,0,8,3,66,83.33%,4.55%
Tunbridge,Kathryn A.C. Kennedy (D),73,6,1,4,84,86.90%,4.76%
Vershire,Kathryn A.C. Kennedy (D),15,1,4,6,26,57.69%,23.08%
Washington,Kathryn A.C. Kennedy (D),64,10,10,2,86,74.42%,2.33%
West Fairlee,Kathryn A.C. Kennedy (D),55,8,1,3,67,82.09%,4.48%
Williamstown,Kathryn A.C. Kennedy (D),124,9,7,8,148,83.78%,5.41%
