City/Town,Leading Candidate,Karl C. Anderson (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Karl C. Anderson (R) Percent Votes Cast,Overvotes Percent
Benson,Karl C. Anderson (R),83,3,8,1,95,87.37%,1.05%
Brandon,Karl C. Anderson (R),68,8,3,5,84,80.95%,5.95%
Castleton,Karl C. Anderson (R),32,8,1,5,46,69.57%,10.87%
Chittenden,Karl C. Anderson (R),8,5,6,10,29,27.59%,34.48%
Clarendon,Karl C. Anderson (R),24,2,5,6,37,64.86%,16.22%
Danby,Karl C. Anderson (R),105,2,9,9,125,84.00%,7.20%
Fair Haven,Karl C. Anderson (R),81,10,6,5,102,79.41%,4.90%
Hubbardton,Karl C. Anderson (R),69,0,0,6,75,92.00%,8.00%
Ira,Karl C. Anderson (R),87,0,3,2,92,94.57%,2.17%
Killington,Karl C. Anderson (R),85,1,3,5,94,90.43%,5.32%
Mendon,Karl C. Anderson (R),60,4,3,1,68,88.24%,1.47%
Middletown Springs,Karl C. Anderson (R),85,9,8,6,108,78.70%,5.56%
Mount Holly,Karl C. Anderson (R),63,8,5,5,81,77.78%,6.17%
Mount Tabor,Karl C. Anderson (R),7,9,1,3,20,35.00%,15.00%
Pawlet,Karl C. Anderson (R),17,4,1,3,25,68.00%,12.00%
Pittsfield,Karl C. Anderson (R),49,6,10,2,67,73.13%,2.99%
Pittsford,Karl C. Anderson (R),12,7,0,8,27,44.44%,29.63%
Poultney,Karl C. Anderson (R),85,0,1,6,92,92.39%,6.52%
Proctor,Karl C. Anderson (R),40,9,8,1,58,68.97%,1.72%
Rutland City,Karl C. Anderson (R),133,10,6,10,159,83.65%,6.29%
Rutland Town,Karl C. Anderson (R),57,10,2,8,77,74.03%,10.39%
Shrewsbury,Karl C. Anderson (R),76,8,2,8,94,80.85%,8.51%
Sudbury,Karl C. Anderson (R),78,7,7,1,93,83.87%,1.08%
Tinmouth,Karl C. Anderson (R),52,5,7,0,64,81.25%,0.00%
Wallingford,Karl C. Anderson (R),58,1,5,2,66,87.88%,3.03%
Wells,Karl C. Anderson (R),120,10,8,10,148,81.08%,6.76%
West Haven,Karl C. Anderson (R),55,1,3,8,67,82.09%,11.94%
West Rutland,Karl C. Anderson (R),47,1,1,7,56,83.93%,12.50%
