City/Town,Leading Candidate,JEFFREY P.,Write-Ins,Blanks,Overvotes,Total Votes Cast,JEFFREY P. Percent Votes Cast,Overvotes Percent
Barre City,JEFFREY P.,1350,540,270,540,2700,50.00%,20.00%
Barre Town,JEFFREY P.,1395,558,279,558,2790,50.00%,20.00%
Berlin,JEFFREY P.,472,190,94,189,945,49.95%,20.00%
Cabot,JEFFREY P.,225,90,45,90,450,50.00%,20.00%
Calais,JEFFREY P.,315,126,63,126,630,50.00%,20.00%
Duxbury,JEFFREY P.,247,100,49,99,495,49.90%,20.00%
East Montpelier,JEFFREY P.,450,180,90,180,900,50.00%,20.00%
Fayston,JEFFREY P.,270,108,54,108,540,50.00%,20.00%
Marshfield,JEFFREY P.,247,100,49,99,495,49.90%,20.00%
Middlesex,JEFFREY P.,337,136,67,135,675,49.93%,20.00%
Montpelier,JEFFREY P.,1642,658,328,657,3285,49.98%,20.00%
Moretown,JEFFREY P.,315,126,63,126,630,50.00%,20.00%
Northfield,JEFFREY P.,742,298,148,297,1485,49.97%,20.00%
Plainfield,JEFFREY P.,225,90,45,90,450,50.00%,20.00%
Roxbury,JEFFREY P.,112,46,22,45,225,49.78%,20.00%
Waitsfield,JEFFREY P.,315,126,63,126,630,50.00%,20.00%
Warren,JEFFREY P.,337,136,67,135,675,49.93%,20.00%
Waterbury,JEFFREY P.,990,396,198,396,1980,50.00%,20.00%
Woodbury,JEFFREY P.,157,64,31,63,315,49.84%,20.00%
Worcester,JEFFREY P.,157,64,31,63,315,49.84%,20.00%
