City/Town,Leading Candidate,Jodi P. French (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Jodi P. French (D) Percent Votes Cast,Overvotes Percent
Athens,Jodi P. French (D),20,9,8,7,44,45.45%,15.91%
Brattleboro,Jodi P. French (D),135,10,5,7,157,85.99%,4.46%
Brookline,Jodi P. French (D),79,6,8,5,98,80.61%,5.10%
Dover,Jodi P. French (D),29,9,5,3,46,63.04%,6.52%
Dummerston,Jodi P. French (D),30,8,9,1,48,62.50%,2.08%
Grafton,Jodi P. French (D),89,7,1,6,103,86.41%,5.83%
Guilford,Jodi P. French (D),16,7,5,7,35,45.71%,20.00%
Halifax,Jodi P. French (D),46,1,0,2,49,93.88%,4.08%
Jamaica,Jodi P. French (D),72,4,3,0,79,91.14%,0.00%
Londonderry,Jodi P. French (D),7,8,0,8,23,30.43%,34.78%
Marlboro,Jodi P. French (D),73,1,4,8,86,84.88%,9.30%
Newfane,Jodi P. French (D),58,4,5,2,69,84.06%,2.90%
Putney,Jodi P. French (D),84,3,9,8,104,80.77%,7.69%
Rockingham,Jodi P. French (D),102,7,7,3,119,85.71%,2.52%
Stratton,Jodi P. French (D),41,7,9,6,63,65.08%,9.52%
Townshend,Jodi P. French (D),74,3,4,5,86,86.05%,5.81%
Vernon,Jodi P. French (D),45,5,5,6,61,73.77%,9.84%
Wardsboro,Jodi P. French (D),87,0,3,4,94,92.55%,4.26%
Westminster,Jodi P. French (D),36,2,5,1,44,81.82%,2.27%
Whitingham,Jodi P. French (D),73,2,5,8,88,82.95%,9.09%
Wilmington,Jodi P. French (D),88,6,6,7,107,82.24%,6.54%
Windham,Jodi P. French (D),1,6,4,1,12,8.33%,8.33%
