City/Town,Leading Candidate,Frederick Glover (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Frederick Glover (D) Percent Votes Cast,Overvotes Percent
Andover,Frederick Glover (D),7,7,7,4,25,28.00%,16.00%
Baltimore,Frederick Glover (D),55,7,1,4,67,82.09%,5.97%
Barnard,Frederick Glover (D),30,7,6,9,52,57.69%,17.31%
Bethel,Frederick Glover (D),48,7,10,4,69,69.57%,5.80%
Bridgewater,Frederick Glover (D),76,9,1,5,91,83.52%,5.49%
Cavendish,Frederick Glover (D),15,1,1,4,21,71.43%,19.05%
Chester,Frederick Glover (D),60,1,8,7,76,78.95%,9.21%
Hartford,Frederick Glover (D),116,6,9,7,138,84.06%,5.07%
Hartland,Frederick Glover (D),12,1,9,8,30,40.00%,26.67%
Ludlow,Frederick Glover (D),43,5,3,0,51,84.31%,0.00%
Norwich,Frederick Glover (D),72,2,10,10,94,76.60%,10.64%
Plymouth,Frederick Glover (D),45,2,2,6,55,81.82%,10.91%
Pomfret,Frederick Glover (D),78,6,6,3,93,83.87%,3.23%
Reading,Frederick Glover (D),55,6,9,5,75,73.33%,6.67%
Rochester,Frederick Glover (D),101,4,8,4,117,86.32%,3.42%
Royalton,Frederick Glover (D),58,4,9,6,77,75.32%,7.79%
Sharon,Frederick Glover (D),98,0,1,9,108,90.74%,8.33%
Springfield,Frederick Glover (D),92,7,4,3,106,86.79%,2.83%
Stockbridge,Frederick Glover (D),69,6,1,4,80,86.25%,5.00%
Weathersfield,Frederick Glover (D),57,3,1,5,66,86.36%,7.58%
West Windsor,Frederick Glover (D),1,3,7,8,19,5.26%,42.11%
Weston,Frederick Glover (D),27,6,1,2,36,75.00%,5.56%
Windsor,Frederick Glover (D),108,6,6,9,129,83.72%,6.98%
Woodstock,Frederick Glover (D),31,1,4,8,44,70.45%,18.18%
