City/Town,Leading Candidate,Becca Balint (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Becca Balint (D) Percent Votes Cast,Overvotes Percent
Addison,Becca Balint (D),71,3,7,2,83,85.54%,2.41%
Albany,Becca Balint (D),40,3,1,5,49,81.63%,10.20%
Alburgh,Becca Balint (D),102,9,7,1,119,85.71%,0.84%
Andover,Becca Balint (D),35,5,10,8,58,60.34%,13.79%
Arlington,Becca Balint (D),32,10,2,0,44,72.73%,0.00%
Athens,Becca Balint (D),50,5,7,10,72,69.44%,13.89%
Bakersfield,Becca Balint (D),61,5,4,7,77,79.22%,9.09%
Baltimore,Becca Balint (D),90,3,8,1,102,88.24%,0.98%
Barnard,Becca Balint (D),41,6,1,6,54,75.93%,11.11%
Barnet,Becca Balint (D),43,5,2,1,51,84.31%,1.96%
Barre City,Becca Balint (D),61,3,6,2,72,84.72%,2.78%
Barre Town,Becca Balint (D),82,5,1,6,94,87.23%,6.38%
Barton,Becca Balint (D),60,0,6,4,70,85.71%,5.71%
Belvidere,Becca Balint (D),46,2,4,4,56,82.14%,7.14%
Bennington,Becca Balint (D),113,7,10,8,138,81.88%,5.80%
Benson,Becca Balint (D),6,3,1,1,11,54.55%,9.09%
Berkshire,Becca Balint (D),4,6,1,8,19,21.05%,42.11%
Berlin,Becca Balint (D),25,3,2,1,31,80.65%,3.23%
Bethel,Becca Balint (D),65,8,3,5,81,80.25%,6.17%
Bloomfield,Becca Balint (D),51,7,8,4,70,72.86%,5.71%
Bolton,Becca Balint (D),18,1,2,6,27,66.67%,22.22%
Bradford,Becca Balint (D),63,6,5,1,75,84.00%,1.33%
Braintree,Becca Balint (D),103,8,6,5,122,84.43%,4.10%
Brandon,Becca Balint (D),26,0,1,0,27,96.30%,0.00%
Brattleboro,Becca Balint (D),183,8,2,9,202,90.59%,4.46%
Bridgewater,Becca Balint (D),46,2,1,2,51,90.20%,3.92%
Bridport,Becca Balint (D),101,7,4,1,113,89.38%,0.88%
Brighton,Becca Balint (D),56,1,6,6,69,81.16%,8.70%
Bristol,Becca Balint (D),10,0,2,5,17,58.82%,29.41%
Brookfield,Becca Balint (D),93,4,1,8,106,87.74%,7.55%
Brookline,Becca Balint (D),88,8,2,8,106,83.02%,7.55%
Brownington,Becca Balint (D),67,3,1,10,81,82.72%,12.35%
Brunswick,Becca Balint (D),42,1,7,10,60,70.00%,16.67%
Burke,Becca Balint (D),65,1,1,9,76,85.53%,11.84%
Burlington,Becca Balint (D),402,7,8,10,427,94.15%,2.34%
