City/Town,Leading Candidate,BARBARA NOLFI,Write-Ins,Blanks,Overvotes,Total Votes Cast,BARBARA NOLFI Percent Votes Cast,Overvotes Percent
Addison,REP TO CONG ADDISON ADDISON-3,11,58,8,7,84,13.10%,8.33%
Albany,REP TO CONG ALBANY ORLEANS-4,37,114,7,10,168,22.02%,5.95%
Alburgh,REP TO CONG ALBURGH GRAND ISLE CHITTENDEN,35,81,8,8,132,26.52%,6.06%
Andover,REP TO CONG ANDOVER WINDHAM WINDSOR BENNINGTON,27,58,9,8,102,26.47%,7.84%
Arlington,REP TO CONG ARLINGTON BENNINGTON-4,30,85,8,7,130,23.08%,5.38%
Athens,BARBARA NOLFI,98,74,10,7,189,51.85%,3.70%
Bakersfield,BARBARA NOLFI,54,51,6,8,119,45.38%,6.72%
Baltimore,BARBARA NOLFI,45,36,5,4,90,50.00%,4.44%
Barnard,BARBARA NOLFI,25,20,7,8,60,41.67%,13.33%
Barnet,BARBARA NOLFI,96,101,7,6,210,45.71%,2.86%
Barre City,BARBARA NOLFI,73,44,4,3,124,58.87%,2.42%
Barre Town,BARBARA NOLFI,57,15,6,8,86,66.28%,9.30%
Barton,REP TO CONG BARTON ORLEANS-3,83,117,3,7,210,39.52%,3.33%
Belvidere,REP TO CONG BELVIDERE LAMOILLE-2,57,97,8,8,170,33.53%,4.71%
Bennington,REP TO CONG BENNINGTON BENNINGTON-2,60,163,7,6,236,25.42%,2.54%
Benson,BARBARA NOLFI,51,23,3,1,78,65.38%,1.28%
Berkshire,REP TO CONG BERKSHIRE FRANKLIN-5,1,89,9,4,103,0.97%,3.88%
Berlin,BARBARA NOLFI,81,33,6,6,126,64.29%,4.76%
Bethel,BARBARA NOLFI,107,84,8,6,205,52.20%,2.93%
Bloomfield,REP TO CONG BLOOMFIELD ESSEX CALEDONIA,11,118,5,6,140,7.86%,4.29%
Bolton,REP TO CONG BOLTON WASHINGTON CHITTENDEN,6,94,3,9,112,5.36%,8.04%
Bradford,REP TO CONG BRADFORD ORANGE-2,12,67,7,10,96,12.50%,10.42%
Braintree,REP TO CONG BRAINTREE ORANGE WASHINGTON ADDISON,95,105,9,6,215,44.19%,2.79%
Brandon,BARBARA NOLFI,61,41,2,7,111,54.95%,6.31%
Brattleboro,BARBARA NOLFI,154,236,10,10,410,37.56%,2.44%
Bridgewater,BARBARA NOLFI,102,86,3,9,200,51.00%,4.50%
Bridport,BARBARA NOLFI,16,18,10,9,53,30.19%,16.98%
Brighton,BARBARA NOLFI,69,51,5,8,133,51.88%,6.02%
Bristol,BARBARA NOLFI,62,37,3,10,112,55.36%,8.93%
Brookfield,BARBARA NOLFI,35,12,6,6,59,59.32%,10.17%
Brookline,REP TO CONG BROOKLINE WINDHAM-3,23,96,10,2,131,17.56%,1.53%
Brownington,BARBARA NOLFI,60,40,6,10,116,51.72%,8.62%
Brunswick,BARBARA NOLFI,78,47,10,3,138,56.52%,2.17%
Burke,REP TO CONG BURKE ESSEX CALEDONIA,25,45,10,5,85,29.41%,5.88%
Burlington,BARBARA NOLFI,279,260,10,8,557,50.09%,1.44%
Cabot,REP TO CONG CABOT CALEDONIA WASHINGTON,34,44,10,8,96,35.42%,8.33%
Calais,REP TO CONG CALAIS WASHINGTON-6,60,74,10,9,153,39.22%,5.88%
Cambridge,BARBARA NOLFI,78,30,4,7,119,65.55%,5.88%
Canaan,REP TO CONG CANAAN ESSEX ORLEANS,10,108,8,7,133,7.52%,5.26%
Castleton,BARBARA NOLFI,50,4,8,5,67,74.63%,7.46%
Cavendish,REP TO CONG CAVENDISH WINDSOR-2,19,63,5,5,92,20.65%,5.43%
Charleston,BARBARA NOLFI,41,3,1,6,51,80.39%,11.76%
Charlotte,BARBARA NOLFI,14,22,9,1,46,30.43%,2.17%
Chelsea,BARBARA NOLFI,78,61,6,10,155,50.32%,6.45%
Chester,REP TO CONG CHESTER WINDSOR WINDHAM,28,70,8,7,113,24.78%,6.19%
Chittenden,BARBARA NOLFI,86,33,6,2,127,67.72%,1.57%
Clarendon,BARBARA NOLFI,11,13,4,6,34,32.35%,17.65%
Colchester,BARBARA NOLFI,133,136,8,9,286,46.50%,3.15%
Concord,BARBARA NOLFI,59,9,8,8,84,70.24%,9.52%
Corinth,BARBARA NOLFI,73,47,9,4,133,54.89%,3.01%
Cornwall,BARBARA NOLFI,65,55,5,5,130,50.00%,3.85%
Coventry,BARBARA NOLFI,101,37,5,3,146,69.18%,2.05%
Craftsbury,BARBARA NOLFI,65,67,2,5,139,46.76%,3.60%
Danby,BARBARA NOLFI,68,10,7,8,93,73.12%,8.60%
Danville,BARBARA NOLFI,60,25,2,3,90,66.67%,3.33%
Derby,BARBARA NOLFI,49,38,9,7,103,47.57%,6.80%
Dorset,REP TO CONG DORSET BENNINGTON RUTLAND,55,73,10,9,147,37.41%,6.12%
Dover,BARBARA NOLFI,38,42,1,3,84,45.24%,3.57%
Dummerston,REP TO CONG DUMMERSTON WINDHAM-4,26,82,6,8,122,21.31%,6.56%
Duxbury,REP TO CONG DUXBURY WASHINGTON-2,78,94,8,8,188,41.49%,4.26%
East Haven,BARBARA NOLFI,96,56,3,10,165,58.18%,6.06%
East Montpelier,REP TO CONG EAST MONTPELIER WASHINGTON-5,27,50,7,3,87,31.03%,3.45%
Eden,BARBARA NOLFI,36,25,8,2,71,50.70%,2.82%
Elmore,BARBARA NOLFI,44,19,7,6,76,57.89%,7.89%
Enosburgh,BARBARA NOLFI,78,75,8,8,169,46.15%,4.73%
Essex Junction,BARBARA NOLFI,82,105,9,2,198,41.41%,1.01%
Essex,BARBARA NOLFI,86,76,8,10,180,47.78%,5.56%
Fair Haven,REP TO CONG FAIR HAVEN RUTLAND-10,58,118,3,5,184,31.52%,2.72%
Fairfax,BARBARA NOLFI,52,16,2,6,76,68.42%,7.89%
Fairfield,REP TO CONG FAIRFIELD FRANKLIN-6,5,32,10,10,57,8.77%,17.54%
Fairlee,BARBARA NOLFI,74,44,8,10,136,54.41%,7.35%
Fayston,BARBARA NOLFI,86,87,9,7,189,45.50%,3.70%
Ferrisburgh,BARBARA NOLFI,64,34,8,6,112,57.14%,5.36%
Fletcher,REP TO CONG FLETCHER FRANKLIN-6,60,89,8,3,160,37.50%,1.88%
Franklin,REP TO CONG FRANKLIN FRANKLIN-5,73,106,8,4,191,38.22%,2.09%
Georgia,REP TO CONG GEORGIA FRANKLIN-1,48,109,9,3,169,28.40%,1.78%
Glover,REP TO CONG GLOVER ORLEANS-4,16,55,10,3,84,19.05%,3.57%
Goshen,BARBARA NOLFI,75,48,4,10,137,54.74%,7.30%
Grafton,REP TO CONG GRAFTON WINDSOR WINDHAM,2,59,3,8,72,2.78%,11.11%
Granby,BARBARA NOLFI,31,15,9,7,62,50.00%,11.29%
Grand Isle,REP TO CONG GRAND ISLE GRAND ISLE CHITTENDEN,5,21,9,10,45,11.11%,22.22%
Granville,REP TO CONG GRANVILLE ORANGE WASHINGTON ADDISON,63,87,7,7,164,38.41%,4.27%
Greensboro,REP TO CONG GREENSBORO ORLEANS-4,23,84,7,8,122,18.85%,6.56%
Groton,REP TO CONG GROTON ORANGE CALEDONIA,49,87,4,2,142,34.51%,1.41%
Guildhall,BARBARA NOLFI,37,32,8,5,82,45.12%,6.10%
Guilford,BARBARA NOLFI,39,7,6,8,60,65.00%,13.33%
Halifax,BARBARA NOLFI,67,68,4,7,146,45.89%,4.79%
Hancock,REP TO CONG HANCOCK WINDSOR ADDISON,53,84,9,9,155,34.19%,5.81%
Hardwick,REP TO CONG HARDWICK CALEDONIA 2,2,91,6,10,109,1.83%,9.17%
Hartford,REP TO CONG HARTFORD WINDSOR-6,38,62,6,8,114,33.33%,7.02%
Hartland,BARBARA NOLFI,53,28,5,10,96,55.21%,10.42%
Highgate,REP TO CONG HIGHGATE FRANKLIN-5,7,59,6,7,79,8.86%,8.86%
