City/Town,Leading Candidate,Gerald Malloy (R),Mark Coester (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Gerald Malloy (R) Percent Votes Cast,Mark Coester (R) Percent Votes Cast,Overvotes Percent
Addison,Mark Coester (R),3,6,5,2,7,23,13.04%,26.09%,30.43%
Albany,Gerald Malloy (R),97,41,7,8,10,163,59.51%,25.15%,6.13%
Alburgh,Gerald Malloy (R),74,21,5,7,6,113,65.49%,18.58%,5.31%
Andover,Gerald Malloy (R),61,52,8,4,7,132,46.21%,39.39%,5.30%
Arlington,Mark Coester (R),12,99,10,5,7,133,9.02%,74.44%,5.26%
Athens,Gerald Malloy (R),74,39,2,8,7,130,56.92%,30.00%,5.38%
Bakersfield,Mark Coester (R),11,25,6,9,9,60,18.33%,41.67%,15.00%
Baltimore,Mark Coester (R),57,87,2,6,8,160,35.62%,54.38%,5.00%
Barnard,Gerald Malloy (R),52,9,10,8,9,88,59.09%,10.23%,10.23%
Barnet,Gerald Malloy (R),79,39,5,8,9,140,56.43%,27.86%,6.43%
Barre City,Gerald Malloy (R),54,38,6,8,7,113,47.79%,33.63%,6.19%
Barre Town,Gerald Malloy (R),71,4,1,8,7,91,78.02%,4.40%,7.69%
Barton,Gerald Malloy (R),17,2,10,4,8,41,41.46%,4.88%,19.51%
Belvidere,Gerald Malloy (R),33,28,8,8,5,82,40.24%,34.15%,6.10%
Bennington,Gerald Malloy (R),111,85,10,8,5,219,50.68%,38.81%,2.28%
Benson,Mark Coester (R),31,55,6,5,2,99,31.31%,55.56%,2.02%
Berkshire,Mark Coester (R),30,70,2,5,6,113,26.55%,61.95%,5.31%
Berlin,Gerald Malloy (R),87,18,6,7,6,124,70.16%,14.52%,4.84%
Bethel,Mark Coester (R),10,31,2,4,9,56,17.86%,55.36%,16.07%
Bloomfield,Gerald Malloy (R),80,11,7,3,7,108,74.07%,10.19%,6.48%
Bolton,Gerald Malloy (R),105,64,10,6,6,191,54.97%,33.51%,3.14%
Bradford,Gerald Malloy (R),71,23,4,10,2,110,64.55%,20.91%,1.82%
Braintree,Mark Coester (R),62,97,7,7,6,179,34.64%,54.19%,3.35%
Brandon,Gerald Malloy (R),35,2,6,9,4,56,62.50%,3.57%,7.14%
Brattleboro,Mark Coester (R),150,155,9,8,9,331,45.32%,46.83%,2.72%
Bridgewater,Mark Coester (R),15,35,8,10,3,71,21.13%,49.30%,4.23%
Bridport,Gerald Malloy (R),75,24,8,10,2,119,63.03%,20.17%,1.68%
Brighton,Gerald Malloy (R),56,55,10,1,10,132,42.42%,41.67%,7.58%
