City/Town,Leading Candidate,Brook Paige (R),Sarah Copeland Hanzas (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Brook Paige (R) Percent Votes Cast,Sarah Copeland Hanzas (D) Percent Votes Cast,OverVotes Percent
Addison,PAMALA SMITH,12345,12345,10,21,8,24729,49.92%,49.92%,0.03%
Addison,PAMALA SMITH,12345,12345,10,21,8,24729,49.92%,49.92%,0.03%
Albany,PAMALA SMITH,12345,12345,14,18,21,24743,49.89%,49.89%,0.08%
Albany,PAMALA SMITH,12345,12345,14,18,21,24743,49.89%,49.89%,0.08%
Alburgh,PAMALA SMITH,12345,12345,37068,43,34,61835,19.96%,19.96%,0.05%
Alburgh,PAMALA SMITH,12345,12345,37068,43,34,61835,19.96%,19.96%,0.05%
Andover,PAMALA SMITH,12345,12345,31,15,28,24764,49.85%,49.85%,0.11%
Andover,PAMALA SMITH,12345,12345,31,15,28,24764,49.85%,49.85%,0.11%
Arlington,PAMALA SMITH,12345,12345,24712,17,39,49458,24.96%,24.96%,0.08%
Arlington,PAMALA SMITH,12345,12345,24712,17,39,49458,24.96%,24.96%,0.08%
Athens,PAMALA SMITH,12345,12345,14,10,26,24740,49.90%,49.90%,0.11%
Athens,PAMALA SMITH,12345,12345,14,10,26,24740,49.90%,49.90%,0.11%
Bakersfield,PAMALA SMITH,12345,12345,15,27,9,24741,49.90%,49.90%,0.04%
Bakersfield,PAMALA SMITH,12345,12345,15,27,9,24741,49.90%,49.90%,0.04%
Baltimore,PAMALA SMITH,12345,12345,22,20,13,24745,49.89%,49.89%,0.05%
Baltimore,PAMALA SMITH,12345,12345,22,20,13,24745,49.89%,49.89%,0.05%
Barnard,PAMALA SMITH,12345,12345,24,17,14,24745,49.89%,49.89%,0.06%
Barnard,PAMALA SMITH,12345,12345,24,17,14,24745,49.89%,49.89%,0.06%
Barnet,PAMALA SMITH,12345,12345,12367,29,20,37106,33.27%,33.27%,0.05%
Barnet,PAMALA SMITH,12345,12345,12367,29,20,37106,33.27%,33.27%,0.05%
Barre City,PAMALA SMITH,12345,12345,37054,28,39,61811,19.97%,19.97%,0.06%
Barre City,PAMALA SMITH,12345,12345,37054,28,39,61811,19.97%,19.97%,0.06%
Barre Town,PAMALA SMITH,12345,12345,49433,36,22,74181,16.64%,16.64%,0.03%
Barre Town,PAMALA SMITH,12345,12345,49433,36,22,74181,16.64%,16.64%,0.03%
Barton,PAMALA SMITH,12345,12345,27,29,15,24761,49.86%,49.86%,0.06%
Barton,PAMALA SMITH,12345,12345,27,29,15,24761,49.86%,49.86%,0.06%
Belvidere,PAMALA SMITH,12345,12345,18,24,6,24738,49.90%,49.90%,0.02%
Belvidere,PAMALA SMITH,12345,12345,18,24,6,24738,49.90%,49.90%,0.02%
Bennington,PAMALA SMITH,24690,24690,135888,85,92,185445,13.31%,13.31%,0.05%
Bennington,PAMALA SMITH,24690,24690,135888,85,92,185445,13.31%,13.31%,0.05%
Benson,PAMALA SMITH,12345,12345,11,16,27,24744,49.89%,49.89%,0.11%
Benson,PAMALA SMITH,12345,12345,11,16,27,24744,49.89%,49.89%,0.11%
Berkshire,PAMALA SMITH,12345,12345,12364,25,20,37099,33.28%,33.28%,0.05%
Berkshire,PAMALA SMITH,12345,12345,12364,25,20,37099,33.28%,33.28%,0.05%
Berlin,PAMALA SMITH,12345,12345,49401,40,51,74182,16.64%,16.64%,0.07%
Berlin,PAMALA SMITH,12345,12345,49401,40,51,74182,16.64%,16.64%,0.07%
Bethel,PAMALA SMITH,12345,12345,19,21,8,24738,49.90%,49.90%,0.03%
Bethel,PAMALA SMITH,12345,12345,19,21,8,24738,49.90%,49.90%,0.03%
Bloomfield,PAMALA SMITH,12345,12345,17,24,24,24755,49.87%,49.87%,0.10%
Bloomfield,PAMALA SMITH,12345,12345,17,24,24,24755,49.87%,49.87%,0.10%
Bolton,PAMALA SMITH,12345,12345,30,16,20,24756,49.87%,49.87%,0.08%
Bolton,PAMALA SMITH,12345,12345,30,16,20,24756,49.87%,49.87%,0.08%
Bradford,PAMALA SMITH,12345,12345,37066,31,27,61814,19.97%,19.97%,0.04%
Bradford,PAMALA SMITH,12345,12345,37066,31,27,61814,19.97%,19.97%,0.04%
Braintree,PAMALA SMITH,12345,12345,23,9,17,24739,49.90%,49.90%,0.07%
Braintree,PAMALA SMITH,12345,12345,23,9,17,24739,49.90%,49.90%,0.07%
Brandon,PAMALA SMITH,12345,12345,12369,28,21,37108,33.27%,33.27%,0.06%
Brandon,PAMALA SMITH,12345,12345,12369,28,21,37108,33.27%,33.27%,0.06%
Brattleboro,PAMALA SMITH,37035,37035,74139,82,74,148365,24.96%,24.96%,0.05%
Brattleboro,PAMALA SMITH,37035,37035,74139,82,74,148365,24.96%,24.96%,0.05%
Bridgewater,PAMALA SMITH,12345,12345,12374,13,31,37108,33.27%,33.27%,0.08%
Bridgewater,PAMALA SMITH,12345,12345,12374,13,31,37108,33.27%,33.27%,0.08%
Bridport,PAMALA SMITH,12345,12345,19,20,18,24747,49.88%,49.88%,0.07%
Bridport,PAMALA SMITH,12345,12345,19,20,18,24747,49.88%,49.88%,0.07%
Brighton,PAMALA SMITH,12345,12345,9,19,25,24743,49.89%,49.89%,0.10%
Brighton,PAMALA SMITH,12345,12345,9,19,25,24743,49.89%,49.89%,0.10%
Bristol,PAMALA SMITH,12345,12345,18,17,20,24745,49.89%,49.89%,0.08%
Bristol,PAMALA SMITH,12345,12345,18,17,20,24745,49.89%,49.89%,0.08%
Brookfield,PAMALA SMITH,12345,12345,8,25,29,24752,49.87%,49.87%,0.12%
Brookfield,PAMALA SMITH,12345,12345,8,25,29,24752,49.87%,49.87%,0.12%
Brookline,PAMALA SMITH,12345,12345,26,17,24,24757,49.86%,49.86%,0.10%
Brookline,PAMALA SMITH,12345,12345,26,17,24,24757,49.86%,49.86%,0.10%
Brownington,PAMALA SMITH,12345,12345,19,17,11,24737,49.91%,49.91%,0.04%
Brownington,PAMALA SMITH,12345,12345,19,17,11,24737,49.91%,49.91%,0.04%
Brunswick,PAMALA SMITH,12345,12345,12,19,18,24739,49.90%,49.90%,0.07%
Brunswick,PAMALA SMITH,12345,12345,12,19,18,24739,49.90%,49.90%,0.07%
Burke,PAMALA SMITH,12345,12345,17,20,21,24748,49.88%,49.88%,0.08%
Burke,PAMALA SMITH,12345,12345,17,20,21,24748,49.88%,49.88%,0.08%
Burlington,PAMALA SMITH,86415,86415,247117,240,243,420430,20.55%,20.55%,0.06%
Burlington,PAMALA SMITH,86415,86415,247117,240,243,420430,20.55%,20.55%,0.06%
Cabot,PAMALA SMITH,12345,12345,19,25,18,24752,49.87%,49.87%,0.07%
Cabot,PAMALA SMITH,12345,12345,19,25,18,24752,49.87%,49.87%,0.07%
Calais,PAMALA SMITH,12345,12345,12367,12,20,37089,33.28%,33.28%,0.05%
Calais,PAMALA SMITH,12345,12345,12367,12,20,37089,33.28%,33.28%,0.05%
Cambridge,PAMALA SMITH,12345,12345,61762,53,40,86545,14.26%,14.26%,0.05%
Cambridge,PAMALA SMITH,12345,12345,61762,53,40,86545,14.26%,14.26%,0.05%
Canaan,PAMALA SMITH,12345,12345,12374,14,18,37096,33.28%,33.28%,0.05%
Canaan,PAMALA SMITH,12345,12345,12374,14,18,37096,33.28%,33.28%,0.05%
Castleton,PAMALA SMITH,12345,12345,24718,24,33,49465,24.96%,24.96%,0.07%
Castleton,PAMALA SMITH,12345,12345,24718,24,33,49465,24.96%,24.96%,0.07%
Cavendish,PAMALA SMITH,12345,12345,21,24,19,24754,49.87%,49.87%,0.08%
Cavendish,PAMALA SMITH,12345,12345,21,24,19,24754,49.87%,49.87%,0.08%
Charleston,PAMALA SMITH,12345,12345,37055,27,24,61796,19.98%,19.98%,0.04%
Charleston,PAMALA SMITH,12345,12345,37055,27,24,61796,19.98%,19.98%,0.04%
Charlotte,PAMALA SMITH,12345,12345,24711,39,34,49474,24.95%,24.95%,0.07%
Charlotte,PAMALA SMITH,12345,12345,24711,39,34,49474,24.95%,24.95%,0.07%
Chelsea,PAMALA SMITH,12345,12345,12366,17,15,37088,33.29%,33.29%,0.04%
