City/Town,Leading Candidate,Sarah Copeland Hanzas (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Sarah Copeland Hanzas (D) Percent Votes Cast,Overvotes Percent
Addison,Sarah Copeland Hanzas (D),41,10,1,8,60,68.33%,13.33%
Albany,Sarah Copeland Hanzas (D),8,5,9,0,22,36.36%,0.00%
Alburgh,Sarah Copeland Hanzas (D),65,1,5,4,75,86.67%,5.33%
Andover,Sarah Copeland Hanzas (D),66,3,6,4,79,83.54%,5.06%
Arlington,Sarah Copeland Hanzas (D),13,2,3,9,27,48.15%,33.33%
Athens,Sarah Copeland Hanzas (D),14,9,6,2,31,45.16%,6.45%
Bakersfield,Sarah Copeland Hanzas (D),14,1,2,0,17,82.35%,0.00%
Baltimore,Sarah Copeland Hanzas (D),9,7,7,8,31,29.03%,25.81%
Barnard,Sarah Copeland Hanzas (D),44,7,2,6,59,74.58%,10.17%
Barnet,Sarah Copeland Hanzas (D),8,5,4,1,18,44.44%,5.56%
Barre City,Sarah Copeland Hanzas (D),54,7,7,9,77,70.13%,11.69%
Barre Town,Sarah Copeland Hanzas (D),51,1,4,2,58,87.93%,3.45%
Barton,Sarah Copeland Hanzas (D),36,1,2,3,42,85.71%,7.14%
Belvidere,Sarah Copeland Hanzas (D),100,5,7,7,119,84.03%,5.88%
Bennington,Sarah Copeland Hanzas (D),69,10,10,5,94,73.40%,5.32%
Benson,Sarah Copeland Hanzas (D),4,1,4,3,12,33.33%,25.00%
Berkshire,Sarah Copeland Hanzas (D),10,6,4,2,22,45.45%,9.09%
Berlin,Sarah Copeland Hanzas (D),90,7,1,1,99,90.91%,1.01%
Bethel,Sarah Copeland Hanzas (D),72,1,2,8,83,86.75%,9.64%
Bloomfield,Sarah Copeland Hanzas (D),14,1,8,5,28,50.00%,17.86%
Bolton,Sarah Copeland Hanzas (D),22,1,2,6,31,70.97%,19.35%
Bradford,Sarah Copeland Hanzas (D),45,4,1,4,54,83.33%,7.41%
Braintree,Sarah Copeland Hanzas (D),72,1,6,7,86,83.72%,8.14%
Brandon,Sarah Copeland Hanzas (D),73,4,1,7,85,85.88%,8.24%
Brattleboro,Sarah Copeland Hanzas (D),181,10,9,7,207,87.44%,3.38%
Bridgewater,Sarah Copeland Hanzas (D),4,10,8,9,31,12.90%,29.03%
Bridport,Sarah Copeland Hanzas (D),68,6,5,9,88,77.27%,10.23%
Brighton,Sarah Copeland Hanzas (D),64,7,1,6,78,82.05%,7.69%
Bristol,Sarah Copeland Hanzas (D),8,9,0,1,18,44.44%,5.56%
Brookfield,Sarah Copeland Hanzas (D),74,4,6,3,87,85.06%,3.45%
Brookline,Sarah Copeland Hanzas (D),27,8,9,3,47,57.45%,6.38%
Brownington,Sarah Copeland Hanzas (D),26,3,8,7,44,59.09%,15.91%
Brunswick,Sarah Copeland Hanzas (D),14,6,8,3,31,45.16%,9.68%
Burke,Sarah Copeland Hanzas (D),89,2,10,3,104,85.58%,2.88%
Burlington,Sarah Copeland Hanzas (D),205,9,9,8,231,88.74%,3.46%
Cabot,Sarah Copeland Hanzas (D),94,6,1,1,102,92.16%,0.98%
Calais,Sarah Copeland Hanzas (D),67,1,2,4,74,90.54%,5.41%
Cambridge,Sarah Copeland Hanzas (D),8,3,0,1,12,66.67%,8.33%
Canaan,Sarah Copeland Hanzas (D),30,2,6,7,45,66.67%,15.56%
Castleton,Sarah Copeland Hanzas (D),31,5,0,8,44,70.45%,18.18%
Cavendish,Sarah Copeland Hanzas (D),50,10,2,1,63,79.37%,1.59%
Charleston,Sarah Copeland Hanzas (D),44,2,10,9,65,67.69%,13.85%
Charlotte,Sarah Copeland Hanzas (D),22,4,1,4,31,70.97%,12.90%
Chelsea,Sarah Copeland Hanzas (D),73,1,9,1,84,86.90%,1.19%
Chester,Sarah Copeland Hanzas (D),48,3,7,2,60,80.00%,3.33%
Chittenden,Sarah Copeland Hanzas (D),40,2,9,1,52,76.92%,1.92%
Clarendon,Sarah Copeland Hanzas (D),103,3,1,5,112,91.96%,4.46%
Colchester,Sarah Copeland Hanzas (D),161,7,6,7,181,88.95%,3.87%
Concord,Sarah Copeland Hanzas (D),27,1,3,7,38,71.05%,18.42%
Corinth,Sarah Copeland Hanzas (D),18,8,1,1,28,64.29%,3.57%
Cornwall,Sarah Copeland Hanzas (D),80,1,4,9,94,85.11%,9.57%
Coventry,Sarah Copeland Hanzas (D),11,10,6,3,30,36.67%,10.00%
Craftsbury,Sarah Copeland Hanzas (D),24,4,5,6,39,61.54%,15.38%
Danby,Sarah Copeland Hanzas (D),8,1,6,7,22,36.36%,31.82%
Danville,Sarah Copeland Hanzas (D),7,6,6,6,25,28.00%,24.00%
Derby,Sarah Copeland Hanzas (D),11,1,1,0,13,84.62%,0.00%
Dorset,Sarah Copeland Hanzas (D),84,5,8,9,106,79.25%,8.49%
Dover,Sarah Copeland Hanzas (D),17,6,6,6,35,48.57%,17.14%
