City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Addison,H. Brooke Paige (R),68,5,8,8,89,76.40%,8.99%
Albany,H. Brooke Paige (R),10,0,10,6,26,38.46%,23.08%
Alburgh,H. Brooke Paige (R),69,6,6,1,82,84.15%,1.22%
Andover,H. Brooke Paige (R),84,4,3,9,100,84.00%,9.00%
Arlington,H. Brooke Paige (R),21,7,3,4,35,60.00%,11.43%
Athens,H. Brooke Paige (R),30,4,8,1,43,69.77%,2.33%
Bakersfield,H. Brooke Paige (R),14,1,1,4,20,70.00%,20.00%
Baltimore,H. Brooke Paige (R),50,7,3,4,64,78.12%,6.25%
Barnard,H. Brooke Paige (R),97,8,3,5,113,85.84%,4.42%
Barnet,H. Brooke Paige (R),36,3,4,4,47,76.60%,8.51%
Barre City,H. Brooke Paige (R),69,7,1,2,79,87.34%,2.53%
Barre Town,H. Brooke Paige (R),84,2,3,8,97,86.60%,8.25%
Barton,H. Brooke Paige (R),73,0,2,8,83,87.95%,9.64%
Belvidere,H. Brooke Paige (R),28,2,5,4,39,71.79%,10.26%
Bennington,H. Brooke Paige (R),63,6,6,1,76,82.89%,1.32%
Benson,H. Brooke Paige (R),12,5,6,9,32,37.50%,28.12%
Berkshire,H. Brooke Paige (R),76,1,7,4,88,86.36%,4.55%
Berlin,H. Brooke Paige (R),25,1,5,3,34,73.53%,8.82%
Bethel,H. Brooke Paige (R),68,1,0,5,74,91.89%,6.76%
Bloomfield,H. Brooke Paige (R),91,4,0,5,100,91.00%,5.00%
Bolton,H. Brooke Paige (R),5,7,6,0,18,27.78%,0.00%
Bradford,H. Brooke Paige (R),5,10,3,1,19,26.32%,5.26%
Braintree,H. Brooke Paige (R),49,2,6,5,62,79.03%,8.06%
Brandon,H. Brooke Paige (R),29,7,1,6,43,67.44%,13.95%
Brattleboro,H. Brooke Paige (R),151,10,10,8,179,84.36%,4.47%
Bridgewater,H. Brooke Paige (R),33,1,4,9,47,70.21%,19.15%
Bridport,H. Brooke Paige (R),21,3,6,8,38,55.26%,21.05%
Brighton,H. Brooke Paige (R),8,7,9,7,31,25.81%,22.58%
Bristol,H. Brooke Paige (R),108,3,8,10,129,83.72%,7.75%
Brookfield,H. Brooke Paige (R),12,6,4,6,28,42.86%,21.43%
Brookline,H. Brooke Paige (R),68,10,4,8,90,75.56%,8.89%
Brownington,H. Brooke Paige (R),85,4,1,8,98,86.73%,8.16%
Brunswick,H. Brooke Paige (R),16,4,10,1,31,51.61%,3.23%
