City/Town,Leading Candidate,Michael R. Elmore (R),Ron Holmes (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Michael R. Elmore (R) Percent Votes Cast,Ron Holmes (R) Percent Votes Cast,Overvotes Percent
Addison,Michael R. Elmore (R),61,45,6,8,9,129,47.29%,34.88%,6.98%
Bridport,Ron Holmes (R),29,50,3,7,5,94,30.85%,53.19%,5.32%
Bristol,Ron Holmes (R),48,72,7,3,3,133,36.09%,54.14%,2.26%
Cornwall,Michael R. Elmore (R),101,38,10,6,8,163,61.96%,23.31%,4.91%
Ferrisburgh,Michael R. Elmore (R),88,81,10,5,5,189,46.56%,42.86%,2.65%
Goshen,Michael R. Elmore (R),46,32,8,5,7,98,46.94%,32.65%,7.14%
Granville,Michael R. Elmore (R),85,56,7,6,3,157,54.14%,35.67%,1.91%
Hancock,Ron Holmes (R),12,84,0,10,6,112,10.71%,75.00%,5.36%
Leicester,Michael R. Elmore (R),86,37,2,7,8,140,61.43%,26.43%,5.71%
Lincoln,Ron Holmes (R),69,77,6,5,10,167,41.32%,46.11%,5.99%
Middlebury,Ron Holmes (R),31,127,4,9,8,179,17.32%,70.95%,4.47%
Monkton,Michael R. Elmore (R),103,22,8,9,8,150,68.67%,14.67%,5.33%
New Haven,Ron Holmes (R),61,135,5,8,10,219,27.85%,61.64%,4.57%
Orwell,Michael R. Elmore (R),93,47,7,7,8,162,57.41%,29.01%,4.94%
Panton,Ron Holmes (R),28,44,10,4,6,92,30.43%,47.83%,6.52%
Ripton,Ron Holmes (R),39,43,5,3,2,92,42.39%,46.74%,2.17%
Salisbury,Ron Holmes (R),8,108,7,10,7,140,5.71%,77.14%,5.00%
Shoreham,Michael R. Elmore (R),73,10,5,5,5,98,74.49%,10.20%,5.10%
Starksboro,Michael R. Elmore (R),61,44,5,5,6,121,50.41%,36.36%,4.96%
Vergennes,Ron Holmes (R),42,64,1,8,3,118,35.59%,54.24%,2.54%
Waltham,Michael R. Elmore (R),85,52,1,8,9,155,54.84%,33.55%,5.81%
Weybridge,Ron Holmes (R),65,92,7,3,8,175,37.14%,52.57%,4.57%
Whiting,Ron Holmes (R),64,81,8,8,8,169,37.87%,47.93%,4.73%
