City/Town,Leading Candidate,James A. Gulley Jr (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,James A. Gulley Jr (D) Percent Votes Cast,Overvotes Percent
Arlington,James A. Gulley Jr (D),42,10,6,1,59,71.19%,1.69%
Bennington,James A. Gulley Jr (D),111,8,10,4,133,83.46%,3.01%
Dorset,James A. Gulley Jr (D),53,7,3,2,65,81.54%,3.08%
Landgrove,James A. Gulley Jr (D),38,8,1,3,50,76.00%,6.00%
Manchester,James A. Gulley Jr (D),74,7,5,7,93,79.57%,7.53%
Peru,James A. Gulley Jr (D),44,5,4,2,55,80.00%,3.64%
Pownal,James A. Gulley Jr (D),85,7,10,5,107,79.44%,4.67%
Readsboro,James A. Gulley Jr (D),91,0,2,3,96,94.79%,3.12%
Rupert,James A. Gulley Jr (D),42,3,9,2,56,75.00%,3.57%
Sandgate,James A. Gulley Jr (D),45,3,2,3,53,84.91%,5.66%
Searsburg,James A. Gulley Jr (D),3,1,7,5,16,18.75%,31.25%
Shaftsbury,James A. Gulley Jr (D),32,1,1,1,35,91.43%,2.86%
Stamford,James A. Gulley Jr (D),79,8,8,3,98,80.61%,3.06%
Sunderland,James A. Gulley Jr (D),204,4,6,4,218,93.58%,1.83%
Winhall,James A. Gulley Jr (D),69,4,5,5,83,83.13%,6.02%
Woodford,James A. Gulley Jr (D),72,0,1,8,81,88.89%,9.88%
