City/Town,Leading Candidate,Brandon C. Thrailkill (R),Robert S. Gerrish (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Brandon C. Thrailkill (R) Percent Votes Cast,Robert S. Gerrish (R) Percent Votes Cast,Overvotes Percent
Barnet,Brandon C. Thrailkill (R),93,24,0,10,0,127,73.23%,18.90%,0.00%
Burke,Brandon C. Thrailkill (R),83,22,0,0,0,105,79.05%,20.95%,0.00%
Danville,Brandon C. Thrailkill (R),105,24,0,10,0,139,75.54%,17.27%,0.00%
Groton,Brandon C. Thrailkill (R),30,25,0,5,0,60,50.00%,41.67%,0.00%
Hardwick,Brandon C. Thrailkill (R),46,36,1,5,0,88,52.27%,40.91%,0.00%
Kirby,Brandon C. Thrailkill (R),20,12,0,0,0,32,62.50%,37.50%,0.00%
Lyndon,Brandon C. Thrailkill (R),305,118,1,1,0,425,71.76%,27.76%,0.00%
Newark,Brandon C. Thrailkill (R),34,13,0,8,0,55,61.82%,23.64%,0.00%
Peacham,Brandon C. Thrailkill (R),28,7,0,3,1,39,71.79%,17.95%,2.56%
Ryegate,Brandon C. Thrailkill (R),36,15,0,6,0,57,63.16%,26.32%,0.00%
Saint Johnsbury,Brandon C. Thrailkill (R),279,126,1,18,1,425,65.65%,29.65%,0.24%
Sheffield,Brandon C. Thrailkill (R),46,16,0,1,0,63,73.02%,25.40%,0.00%
Stannard,Brandon C. Thrailkill (R),9,3,0,0,0,12,75.00%,25.00%,0.00%
Sutton,Brandon C. Thrailkill (R),64,14,0,0,0,78,82.05%,17.95%,0.00%
Walden,Brandon C. Thrailkill (R),25,12,0,4,1,42,59.52%,28.57%,2.38%
Waterford,Brandon C. Thrailkill (R),92,24,0,2,0,118,77.97%,20.34%,0.00%
Wheelock,Brandon C. Thrailkill (R),41,11,0,2,0,54,75.93%,20.37%,0.00%
