City/Town,Leading Candidate,Daniel Gamelin (D),Kevin Bloom (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Daniel Gamelin (D) Percent Votes Cast,Kevin Bloom (D) Percent Votes Cast,Overvotes Percent
Bolton,Daniel Gamelin (D),94,37,7,7,6,151,62.25%,24.50%,3.97%
Burlington,Daniel Gamelin (D),305,274,8,8,10,605,50.41%,45.29%,1.65%
Charlotte,Daniel Gamelin (D),62,8,6,8,5,89,69.66%,8.99%,5.62%
Colchester,Daniel Gamelin (D),165,123,7,8,7,310,53.23%,39.68%,2.26%
Essex Junction,Daniel Gamelin (D),136,107,8,6,9,266,51.13%,40.23%,3.38%
Essex,Kevin Bloom (D),11,143,10,6,10,180,6.11%,79.44%,5.56%
Hinesburg,Daniel Gamelin (D),182,138,4,7,8,339,53.69%,40.71%,2.36%
Huntington,Kevin Bloom (D),25,49,1,4,6,85,29.41%,57.65%,7.06%
Jericho,Daniel Gamelin (D),104,3,9,8,6,130,80.00%,2.31%,4.62%
Milton,Kevin Bloom (D),173,223,10,8,8,422,41.00%,52.84%,1.90%
Richmond,Kevin Bloom (D),4,48,5,9,10,76,5.26%,63.16%,13.16%
Saint George,Kevin Bloom (D),69,98,5,10,10,192,35.94%,51.04%,5.21%
Shelburne,Kevin Bloom (D),60,95,7,2,6,170,35.29%,55.88%,3.53%
South Burlington,Kevin Bloom (D),78,199,8,6,10,301,25.91%,66.11%,3.32%
Underhill,Kevin Bloom (D),58,83,9,8,3,161,36.02%,51.55%,1.86%
Westford,Kevin Bloom (D),19,89,7,4,4,123,15.45%,72.36%,3.25%
Williston,Daniel Gamelin (D),127,75,10,4,6,222,57.21%,33.78%,2.70%
Winooski,Daniel Gamelin (D),51,38,10,7,4,110,46.36%,34.55%,3.64%
