City/Town,Leading Candidate,Trevor Colby (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Trevor Colby (R) Percent Votes Cast,Overvotes Percent
Bloomfield,Trevor Colby (R),48,9,2,2,61,78.69%,3.28%
Brighton,Trevor Colby (R),5,7,1,5,18,27.78%,27.78%
Brunswick,Trevor Colby (R),58,8,7,10,83,69.88%,12.05%
Canaan,Trevor Colby (R),106,7,8,7,128,82.81%,5.47%
Concord,Trevor Colby (R),106,3,5,8,122,86.89%,6.56%
East Haven,Trevor Colby (R),0,0,8,1,9,0.00%,11.11%
Granby,Trevor Colby (R),5,3,6,2,16,31.25%,12.50%
Guildhall,Trevor Colby (R),59,6,4,7,76,77.63%,9.21%
Lemington,Trevor Colby (R),106,5,2,7,120,88.33%,5.83%
Lunenburg,Trevor Colby (R),18,0,7,5,30,60.00%,16.67%
Maidstone,Trevor Colby (R),81,5,6,7,99,81.82%,7.07%
Norton,Trevor Colby (R),56,3,1,1,61,91.80%,1.64%
Victory,Trevor Colby (R),49,8,5,3,65,75.38%,4.62%
